timestamp,temperature,pressure
2024-01-15 08:00:00,18.5,1012.3
2024-01-15 08:05:00,18.7,1012.5
2024-01-15 08:10:00,19.2,1012.8
2024-01-15 08:15:00,19.8,1013.1
2024-01-15 08:20:00,20.3,1013.4
2024-01-15 08:25:00,20.9,1013.7
2024-01-15 08:30:00,21.4,1014.0
2024-01-15 08:35:00,22.1,1014.3
2024-01-15 08:40:00,22.6,1014.5
2024-01-15 08:45:00,23.2,1014.8
2024-01-15 08:50:00,23.8,1015.1
2024-01-15 08:55:00,24.3,1015.4
2024-01-15 09:00:00,24.9,1015.6
2024-01-15 09:05:00,25.4,1015.9
2024-01-15 09:10:00,26.0,1016.1
2024-01-15 09:15:00,26.5,1016.4
2024-01-15 09:20:00,27.1,1016.6
2024-01-15 09:25:00,27.6,1016.8
2024-01-15 09:30:00,28.2,1017.0
2024-01-15 09:35:00,28.7,1017.2
2024-01-15 09:40:00,29.3,1017.4
2024-01-15 09:45:00,29.8,1017.6
2024-01-15 09:50:00,30.2,1017.8
2024-01-15 09:55:00,30.7,1017.9
2024-01-15 10:00:00,31.2,1018.1
2024-01-15 10:05:00,31.6,1018.2
2024-01-15 10:10:00,32.1,1018.3
2024-01-15 10:15:00,32.5,1018.4
2024-01-15 10:20:00,32.9,1018.5
2024-01-15 10:25:00,33.2,1018.6
2024-01-15 10:30:00,33.6,1018.7
2024-01-15 10:35:00,33.9,1018.7
2024-01-15 10:40:00,34.2,1018.8
2024-01-15 10:45:00,34.4,1018.8
2024-01-15 10:50:00,34.6,1018.8
2024-01-15 10:55:00,34.8,1018.9
2024-01-15 11:00:00,34.9,1018.9
2024-01-15 11:05:00,34.7,1018.8
2024-01-15 11:10:00,34.5,1018.7
2024-01-15 11:15:00,34.2,1018.6
2024-01-15 11:20:00,33.9,1018.5
2024-01-15 11:25:00,33.5,1018.4
2024-01-15 11:30:00,33.1,1018.2
2024-01-15 11:35:00,32.7,1018.0
2024-01-15 11:40:00,32.3,1017.8
2024-01-15 11:45:00,31.8,1017.6
2024-01-15 11:50:00,31.4,1017.4
2024-01-15 11:55:00,30.9,1017.2
2024-01-15 12:00:00,30.5,1017.0
2024-01-15 12:05:00,30.0,1016.8
2024-01-15 12:10:00,29.6,1016.6
2024-01-15 12:15:00,29.1,1016.4
2024-01-15 12:20:00,28.7,1016.2
2024-01-15 12:25:00,28.2,1016.0
2024-01-15 12:30:00,27.8,1015.8
2024-01-15 12:35:00,27.3,1015.6
2024-01-15 12:40:00,26.9,1015.4
2024-01-15 12:45:00,26.5,1015.2
2024-01-15 12:50:00,26.0,1015.0
2024-01-15 12:55:00,25.6,1014.8
2024-01-15 13:00:00,25.2,1014.6
2024-01-15 13:05:00,24.8,1014.4
2024-01-15 13:10:00,24.4,1014.2
2024-01-15 13:15:00,24.0,1014.0
2024-01-15 13:20:00,23.6,1013.8
2024-01-15 13:25:00,23.2,1013.6
2024-01-15 13:30:00,22.8,1013.4
2024-01-15 13:35:00,22.5,1013.2
2024-01-15 13:40:00,22.1,1013.0
2024-01-15 13:45:00,21.7,1012.8
2024-01-15 13:50:00,21.4,1012.6
2024-01-15 13:55:00,21.0,1012.4
2024-01-15 14:00:00,20.7,1012.2
