epoch,loss,accuracy,val_loss,val_accuracy,learning_rate
1,2.0145,0.7012,2.2867,0.6534,0.002
2,1.8923,0.7189,2.1456,0.6712,0.002
3,1.7654,0.7345,2.0234,0.6889,0.002
4,1.6432,0.7523,1.9123,0.7045,0.002
5,1.5389,0.7678,1.8234,0.7198,0.002
6,1.4456,0.7834,1.7456,0.7334,0.002
7,1.3645,0.7967,1.6789,0.7456,0.002
8,1.2934,0.8089,1.6123,0.7589,0.002
9,1.2287,0.8198,1.5534,0.7701,0.002
10,1.1723,0.8298,1.4989,0.7823,0.002
11,1.1234,0.8389,1.4512,0.7934,0.002
12,1.0789,0.8467,1.4078,0.8034,0.002
13,1.0378,0.8545,1.3689,0.8123,0.002
14,0.9989,0.8623,1.3334,0.8201,0.002
15,0.9634,0.8689,1.2998,0.8289,0.002
16,0.9312,0.8756,1.2689,0.8367,0.002
17,0.9012,0.8812,1.2398,0.8434,0.002
18,0.8734,0.8867,1.2123,0.8501,0.002
19,0.8478,0.8923,1.1867,0.8567,0.002
20,0.8234,0.8978,1.1623,0.8623,0.002
21,0.8012,0.9023,1.1398,0.8678,0.0018
22,0.7798,0.9067,1.1189,0.8734,0.0018
23,0.7598,0.9112,1.0989,0.8789,0.0018
24,0.7412,0.9156,1.0798,0.8834,0.0018
25,0.7234,0.9198,1.0623,0.8878,0.0018
26,0.7067,0.9234,1.0456,0.8923,0.0018
27,0.6912,0.9278,1.0298,0.8967,0.0018
28,0.6767,0.9312,1.0156,0.9001,0.0018
29,0.6623,0.9345,1.0023,0.9034,0.0018
30,0.6489,0.9378,0.9898,0.9067,0.0018
31,0.6367,0.9412,0.9778,0.9098,0.0016
32,0.6245,0.9445,0.9667,0.9123,0.0016
33,0.6134,0.9478,0.9556,0.9156,0.0016
34,0.6023,0.9501,0.9456,0.9189,0.0016
35,0.5923,0.9534,0.9367,0.9212,0.0016
36,0.5823,0.9556,0.9278,0.9234,0.0016
37,0.5734,0.9589,0.9198,0.9267,0.0016
38,0.5645,0.9612,0.9123,0.9289,0.0016
39,0.5567,0.9634,0.9045,0.9312,0.0016
40,0.5489,0.9656,0.8978,0.9334,0.0016
41,0.5412,0.9678,0.8912,0.9356,0.0014
42,0.5345,0.9701,0.8845,0.9378,0.0014
43,0.5278,0.9723,0.8789,0.9398,0.0014
44,0.5212,0.9734,0.8734,0.9412,0.0014
45,0.5156,0.9756,0.8678,0.9434,0.0014
46,0.5098,0.9767,0.8623,0.9445,0.0014
47,0.5045,0.9789,0.8578,0.9467,0.0014
48,0.4989,0.9801,0.8534,0.9478,0.0014
49,0.4945,0.9812,0.8489,0.9489,0.0014
50,0.4898,0.9823,0.8445,0.9501,0.0014
51,0.4856,0.9834,0.8398,0.9512,0.0012
52,0.4812,0.9845,0.8356,0.9523,0.0012
53,0.4778,0.9856,0.8312,0.9534,0.0012
54,0.4734,0.9867,0.8278,0.9545,0.0012
55,0.4698,0.9878,0.8234,0.9556,0.0012
56,0.4656,0.9889,0.8198,0.9567,0.0012
57,0.4623,0.9898,0.8167,0.9578,0.0012
58,0.4589,0.9901,0.8134,0.9589,0.0012
59,0.4556,0.9912,0.8098,0.9598,0.0012
60,0.4523,0.9923,0.8067,0.9601,0.0012
61,0.4489,0.9934,0.8034,0.9612,0.001
62,0.4467,0.9945,0.8012,0.9623,0.001
63,0.4434,0.9956,0.7989,0.9634,0.001
64,0.4398,0.9956,0.7956,0.9645,0.001
65,0.4378,0.9967,0.7934,0.9656,0.001
66,0.4345,0.9967,0.7912,0.9667,0.001
67,0.4323,0.9978,0.7889,0.9678,0.001
68,0.4289,0.9978,0.7867,0.9689,0.001
69,0.4267,0.9989,0.7845,0.9698,0.001
70,0.4245,0.9989,0.7823,0.9701,0.001
71,0.4223,0.9989,0.7801,0.9712,0.0008
72,0.4201,0.9989,0.7789,0.9723,0.0008
73,0.4189,0.9989,0.7767,0.9734,0.0008
74,0.4167,0.9989,0.7745,0.9745,0.0008
75,0.4145,0.9989,0.7734,0.9756,0.0008
76,0.4134,0.9989,0.7712,0.9767,0.0008
77,0.4112,0.9989,0.7698,0.9778,0.0008
78,0.4098,0.9989,0.7678,0.9789,0.0008
79,0.4078,0.9989,0.7667,0.9798,0.0008
80,0.4067,0.9989,0.7645,0.9801,0.0008
