cell_id,pseudotime,cluster
CELL_001,0.23,0
CELL_002,0.45,0
CELL_003,0.67,0
CELL_004,0.89,0
CELL_005,0.12,0
CELL_006,0.34,0
CELL_007,0.56,0
CELL_008,0.78,0
CELL_009,0.91,0
CELL_010,0.15,0
CELL_011,0.38,0
CELL_012,0.62,0
CELL_013,0.84,0
CELL_014,0.19,0
CELL_015,0.41,0
CELL_016,0.73,0
CELL_017,0.95,0
CELL_018,0.27,0
CELL_019,0.49,0
CELL_020,0.71,0
CELL_021,0.93,0
CELL_022,0.17,0
CELL_023,0.39,0
CELL_024,0.61,0
CELL_025,0.83,0
CELL_026,0.29,0
CELL_027,0.51,0
CELL_028,0.75,0
CELL_029,0.97,0
CELL_030,0.21,0
CELL_031,1.23,0
CELL_032,1.45,1
CELL_033,1.67,1
CELL_034,1.89,1
CELL_035,2.12,1
CELL_036,2.34,1
CELL_037,2.56,1
CELL_038,2.78,1
CELL_039,2.91,1
CELL_040,3.15,1
CELL_041,3.38,1
CELL_042,3.62,1
CELL_043,3.84,1
CELL_044,4.19,1
CELL_045,4.41,1
CELL_046,4.73,1
CELL_047,4.95,1
CELL_048,5.27,1
CELL_049,5.49,1
CELL_050,5.71,1
CELL_051,5.93,2
CELL_052,6.17,2
CELL_053,6.39,2
CELL_054,6.61,2
CELL_055,6.83,2
CELL_056,7.29,2
CELL_057,7.51,2
CELL_058,7.75,2
CELL_059,7.97,2
CELL_060,8.21,2
CELL_061,8.43,2
CELL_062,8.65,2
CELL_063,8.87,2
CELL_064,9.12,2
CELL_065,9.34,2
CELL_066,9.56,2
CELL_067,9.78,2
CELL_068,10.02,2
CELL_069,10.24,2
CELL_070,10.46,2
CELL_071,10.68,2
CELL_072,10.91,2
CELL_073,11.13,3
CELL_074,11.35,3
CELL_075,11.57,3
CELL_076,11.79,3
CELL_077,12.03,3
CELL_078,12.25,3
CELL_079,12.47,3
CELL_080,12.69,3
CELL_081,12.92,3
CELL_082,13.14,3
CELL_083,13.36,3
CELL_084,13.58,3
CELL_085,13.81,3
CELL_086,14.03,3
CELL_087,14.25,3
CELL_088,14.47,3
CELL_089,14.69,3
CELL_090,14.92,3
CELL_091,15.14,3
CELL_092,15.36,3
CELL_093,15.58,3
CELL_094,15.81,3
CELL_095,16.03,3
CELL_096,16.25,3
CELL_097,16.47,3
CELL_098,16.69,4
CELL_099,16.92,4
CELL_100,17.14,4
CELL_101,17.36,4
CELL_102,17.58,4
CELL_103,17.81,4
CELL_104,18.03,4
CELL_105,18.25,4
CELL_106,18.47,4
CELL_107,18.69,4
CELL_108,18.92,4
CELL_109,19.14,4
CELL_110,19.36,4
CELL_111,19.58,4
CELL_112,18.21,4
CELL_113,18.43,4
CELL_114,18.65,4
CELL_115,18.87,4
CELL_116,19.12,4
CELL_117,19.34,4
CELL_118,19.56,4
CELL_119,19.78,4
CELL_120,18.15,4
CELL_121,18.37,4
CELL_122,18.59,4
CELL_123,18.81,4
CELL_124,19.05,4
CELL_125,19.27,4
CELL_126,19.49,4
CELL_127,19.71,4
CELL_128,18.19,4
CELL_129,18.41,4
CELL_130,18.63,4
CELL_131,18.85,4
CELL_132,19.09,4
CELL_133,19.31,4
CELL_134,19.53,4
CELL_135,19.75,4
CELL_136,18.23,4
CELL_137,18.45,4
CELL_138,18.67,4
CELL_139,18.89,4
CELL_140,19.13,4
CELL_141,19.35,4
CELL_142,19.57,4
CELL_143,19.79,4
CELL_144,18.27,4
CELL_145,18.49,4
CELL_146,18.71,4
CELL_147,18.93,4
CELL_148,19.17,4
CELL_149,19.39,4
CELL_150,19.61,4
CELL_151,19.83,4
CELL_152,18.31,4
CELL_153,18.53,4
CELL_154,18.75,4
CELL_155,18.97,4
CELL_156,19.21,4
CELL_157,19.43,4
CELL_158,19.65,4
CELL_159,19.87,4
CELL_160,2.45,1
CELL_161,3.67,1
CELL_162,4.89,1
CELL_163,5.12,1
CELL_164,6.34,2
CELL_165,7.56,2
CELL_166,8.78,2
CELL_167,9.91,2
CELL_168,10.15,2
CELL_169,11.38,3
CELL_170,12.62,3
CELL_171,13.84,3
CELL_172,14.19,3
CELL_173,15.41,3
CELL_174,16.73,4
CELL_175,17.95,4
CELL_176,1.27,1
CELL_177,2.49,1
CELL_178,3.71,1
CELL_179,4.93,1
CELL_180,6.17,2
CELL_181,7.39,2
CELL_182,8.61,2
CELL_183,9.83,2
CELL_184,10.29,2
CELL_185,11.51,3
CELL_186,12.75,3
CELL_187,13.97,3
CELL_188,15.19,3
CELL_189,16.41,4
CELL_190,17.63,4
CELL_191,1.85,1
CELL_192,3.09,1
CELL_193,4.31,1
CELL_194,5.53,1
CELL_195,6.75,2
CELL_196,7.97,2
CELL_197,9.19,2
CELL_198,10.41,2
CELL_199,11.63,3
CELL_200,12.85,3
CELL_201,14.07,3
CELL_202,15.29,3
CELL_203,16.51,4
CELL_204,17.73,4
CELL_205,2.15,1
CELL_206,3.37,1
CELL_207,4.59,1
CELL_208,5.81,1
CELL_209,7.03,2
CELL_210,8.25,2
CELL_211,9.47,2
CELL_212,10.69,2
CELL_213,11.91,3
CELL_214,13.13,3
CELL_215,14.35,3
CELL_216,15.57,3
CELL_217,16.79,4
CELL_218,18.01,4
CELL_219,1.42,1
CELL_220,2.64,1
CELL_221,3.86,1
CELL_222,5.08,1
CELL_223,6.31,2
CELL_224,7.53,2
CELL_225,8.75,2
CELL_226,9.97,2
CELL_227,11.19,3
CELL_228,12.41,3
CELL_229,13.63,3
CELL_230,14.85,3
CELL_231,16.07,3
CELL_232,17.29,4
CELL_233,1.53,1
CELL_234,2.75,1
CELL_235,3.97,1
CELL_236,5.19,1
CELL_237,6.42,2
CELL_238,7.64,2
CELL_239,8.86,2
CELL_240,10.08,2
CELL_241,11.31,3
CELL_242,12.53,3
CELL_243,13.75,3
CELL_244,14.97,3
CELL_245,16.19,3
CELL_246,17.41,4
CELL_247,1.64,1
CELL_248,2.86,1
CELL_249,4.08,1
CELL_250,5.31,1
CELL_251,6.53,2
CELL_252,7.75,2
CELL_253,8.97,2
CELL_254,10.19,2
CELL_255,11.42,3
CELL_256,12.64,3
CELL_257,13.86,3
CELL_258,15.08,3
CELL_259,16.31,4
CELL_260,17.53,4
CELL_261,1.75,1
CELL_262,2.97,1
CELL_263,4.19,1
CELL_264,5.42,1
CELL_265,6.64,2
CELL_266,7.86,2
CELL_267,9.08,2
CELL_268,10.31,2
CELL_269,11.53,3
CELL_270,12.75,3
CELL_271,13.97,3
CELL_272,15.19,3
CELL_273,16.42,4
CELL_274,17.64,4
CELL_275,1.86,1
CELL_276,3.08,1
CELL_277,4.31,1
CELL_278,5.53,1
CELL_279,6.75,2
CELL_280,7.97,2
CELL_281,9.19,2
CELL_282,10.42,2
CELL_283,11.64,3
CELL_284,12.86,3
CELL_285,14.08,3
CELL_286,15.31,3
CELL_287,16.53,4
CELL_288,17.75,4
CELL_289,1.97,1
CELL_290,3.19,1
CELL_291,4.42,1
CELL_292,5.64,1
CELL_293,6.86,2
CELL_294,8.08,2
CELL_295,9.31,2
CELL_296,10.53,2
CELL_297,11.75,3
CELL_298,12.97,3
CELL_299,14.19,3
CELL_300,15.42,3
CELL_301,16.64,4
CELL_302,17.86,4
CELL_303,2.08,1
CELL_304,3.31,1
CELL_305,4.53,1
CELL_306,5.75,1
CELL_307,6.97,2
CELL_308,8.19,2
CELL_309,9.42,2
CELL_310,10.64,2
CELL_311,11.86,3
CELL_312,13.08,3
CELL_313,14.31,3
CELL_314,15.53,3
CELL_315,16.75,4
CELL_316,17.97,4
CELL_317,2.19,1
CELL_318,3.42,1
CELL_319,4.64,1
CELL_320,5.86,1
CELL_321,7.08,2
CELL_322,8.31,2
CELL_323,9.53,2
CELL_324,10.75,2
CELL_325,11.97,3
CELL_326,13.19,3
CELL_327,14.42,3
CELL_328,15.64,3
CELL_329,16.86,4
CELL_330,18.08,4
CELL_331,2.31,1
CELL_332,3.53,1
CELL_333,4.75,1
CELL_334,5.97,1
CELL_335,7.19,2
CELL_336,8.42,2
CELL_337,9.64,2
CELL_338,10.86,2
CELL_339,12.08,3
CELL_340,13.31,3
CELL_341,14.53,3
CELL_342,15.75,3
CELL_343,16.97,4
CELL_344,18.19,4
CELL_345,2.42,1
CELL_346,3.64,1
CELL_347,4.86,1
CELL_348,6.08,2
CELL_349,7.31,2
CELL_350,8.53,2
CELL_351,9.75,2
CELL_352,10.97,2
CELL_353,12.19,3
CELL_354,13.42,3
CELL_355,14.64,3
CELL_356,15.86,3
CELL_357,17.08,4
CELL_358,18.31,4
CELL_359,2.53,1
CELL_360,3.75,1
CELL_361,4.97,1
CELL_362,6.19,2
CELL_363,7.42,2
CELL_364,8.64,2
CELL_365,9.86,2
CELL_366,11.08,3
CELL_367,12.31,3
CELL_368,13.53,3
CELL_369,14.75,3
CELL_370,15.97,3
CELL_371,17.19,4
CELL_372,18.42,4
CELL_373,2.64,1
CELL_374,3.86,1
CELL_375,5.08,1
CELL_376,6.31,2
CELL_377,7.53,2
CELL_378,8.75,2
CELL_379,9.97,2
CELL_380,11.19,3
CELL_381,12.42,3
CELL_382,13.64,3
CELL_383,14.86,3
CELL_384,16.08,3
CELL_385,17.31,4
CELL_386,18.53,4
CELL_387,2.75,1
CELL_388,3.97,1
CELL_389,5.19,1
CELL_390,6.42,2
CELL_391,7.64,2
CELL_392,8.86,2
CELL_393,10.08,2
CELL_394,11.31,3
CELL_395,12.53,3
CELL_396,13.75,3
CELL_397,14.97,3
CELL_398,16.19,3
CELL_399,17.42,4
CELL_400,18.64,4
CELL_401,2.86,1
CELL_402,4.08,1
CELL_403,5.31,1
CELL_404,6.53,2
CELL_405,7.75,2
CELL_406,8.97,2
CELL_407,10.19,2
CELL_408,11.42,3
CELL_409,12.64,3
CELL_410,13.86,3
CELL_411,15.08,3
CELL_412,16.31,4
CELL_413,17.53,4
CELL_414,18.75,4
CELL_415,2.97,1
CELL_416,4.19,1
CELL_417,5.42,1
CELL_418,6.64,2
CELL_419,7.86,2
CELL_420,9.08,2
CELL_421,10.31,2
CELL_422,11.53,3
CELL_423,12.75,3
CELL_424,13.97,3
