feature1,feature2,feature3,feature4,feature5,actual_score
2.5,3.1,-1.2,4.5,2.8,45.3
-3.2,1.5,2.3,-0.5,3.1,-12.7
4.1,-2.3,5.2,1.8,-3.5,18.9
1.8,4.2,3.5,-2.1,1.9,32.4
-2.7,-1.8,2.9,3.6,-4.2,-8.3
5.3,2.9,-3.1,1.2,4.7,38.2
-1.5,3.8,1.7,-3.9,2.4,1.8
3.9,-4.1,4.8,2.3,-1.6,22.7
-4.2,2.1,-2.5,4.1,1.8,-15.4
2.1,5.3,2.8,1.7,3.2,52.9
-5.1,-3.2,1.9,-2.8,4.3,-35.7
4.7,1.8,5.1,-1.3,2.9,41.8
1.2,-2.9,3.4,4.8,-2.1,15.3
-3.8,4.5,-1.8,2.7,5.2,12.6
6.2,3.7,2.1,3.4,1.5,62.1
-2.3,-4.8,4.2,-1.9,-3.7,-28.4
3.4,2.6,-4.3,5.1,2.8,29.5
-1.9,5.1,3.2,-4.2,1.7,8.3
4.8,-1.7,1.9,2.8,4.1,35.6
-4.5,1.2,-3.6,3.9,-2.8,-22.1
2.9,4.8,5.3,1.4,2.1,56.7
-3.1,-2.5,-1.7,4.6,3.8,-5.9
5.6,2.3,3.8,-2.4,1.9,42.3
1.7,-3.8,2.6,5.2,-1.4,18.7
-2.8,3.9,-2.1,1.8,4.6,8.9
4.3,5.7,1.4,2.9,3.7,61.8
-5.3,-1.9,3.7,-3.1,2.4,-28.6
3.7,1.4,-3.9,4.2,5.1,32.4
-1.6,4.3,2.9,-2.7,1.8,12.5
5.1,-2.6,4.5,1.9,-3.2,26.8
-3.9,2.8,-1.4,5.3,2.6,-3.7
2.4,6.1,3.6,2.1,4.2,64.3
-4.7,-3.6,1.8,-1.5,-4.8,-42.9
4.9,3.2,2.7,4.6,1.8,58.4
1.3,-4.2,5.1,-2.9,3.5,12.1
-2.6,5.4,-2.8,3.2,2.9,15.8
5.8,1.9,4.2,2.7,-2.1,44.6
-1.8,-2.1,3.5,5.7,4.1,18.3
3.6,4.6,-1.9,1.4,2.7,38.9
-4.1,3.1,-4.2,2.8,-1.9,-18.4
2.7,2.9,5.7,3.8,1.6,57.2
-5.6,-4.3,2.1,-2.4,3.7,-38.1
4.2,5.1,1.8,-3.5,4.9,45.7
1.9,-1.8,4.3,4.1,-2.6,23.8
-3.4,2.6,-3.1,1.9,5.3,2.1
6.3,4.2,3.4,2.6,2.8,68.9
-2.1,-5.2,1.6,-4.1,-2.9,-35.2
3.8,1.7,-2.7,5.4,3.1,36.7
-1.4,6.2,2.4,-1.8,2.6,28.4
5.4,-3.1,3.9,1.7,4.3,38.2
-4.8,1.9,-2.3,4.7,-3.4,-19.6
2.6,3.8,4.6,2.9,1.9,51.3
-3.7,-2.8,3.1,-3.6,2.8,-18.9
4.6,2.1,5.4,3.2,-1.8,48.7
1.5,-4.6,2.8,5.9,3.4,22.1
-2.9,4.7,-1.6,2.3,4.2,16.8
5.9,5.3,2.9,1.8,3.6,68.2
-5.2,-1.7,-2.9,3.4,1.9,-32.4
3.1,2.4,-4.1,4.8,2.7,28.6
-1.7,5.8,3.7,-2.6,1.4,21.9
4.7,-2.9,1.6,2.1,5.2,32.4
-4.3,3.4,-3.8,1.6,-2.7,-24.1
2.8,4.1,5.2,4.3,2.4,62.8
-3.6,-3.9,2.7,-1.9,4.6,-15.3
5.2,1.6,3.1,5.6,1.7,56.9
1.8,-3.4,4.9,-3.2,2.9,8.7
-2.4,2.9,-2.6,4.9,3.7,12.4
4.1,6.3,1.7,2.8,4.1,64.7
-5.7,-2.6,3.8,-2.1,-3.8,-41.2
3.9,3.7,-3.4,3.6,5.4,42.9
-1.3,4.9,2.1,-4.7,1.9,4.8
5.6,-1.9,5.3,1.4,2.8,48.3
-4.6,2.3,-1.8,5.2,2.1,-8.9
2.3,5.6,4.1,2.7,3.8,61.2
-3.3,-4.7,1.9,-3.4,-1.6,-38.7
4.4,2.8,2.4,4.9,1.3,52.1
1.6,-2.7,5.6,3.1,-2.9,21.4
-2.7,3.6,-4.3,1.7,4.9,3.6
6.1,4.9,3.8,3.2,2.6,74.8
-1.9,-3.1,2.3,5.4,3.2,8.6
3.2,1.8,-2.9,2.4,5.7,28.4
-4.9,5.2,-3.1,2.9,-1.8,-6.3
5.3,2.7,4.7,1.9,3.4,56.2
-5.4,-1.4,1.7,-4.2,2.6,-36.8
2.9,6.7,2.6,3.5,1.8,64.1
1.4,-5.1,3.4,4.6,-3.7,8.2
-3.5,2.1,-2.7,3.8,5.1,4.9
4.8,4.3,5.1,2.1,2.9,62.7
-2.2,-2.9,4.6,-2.8,1.7,-8.4
5.7,3.1,1.9,5.3,4.2,64.9
-1.5,4.6,3.9,-3.9,2.3,11.7
3.7,-3.6,2.7,1.8,4.7,24.8
-4.4,1.7,-4.6,4.1,-2.3,-26.9
2.1,5.2,5.8,2.4,3.1,62.3
-5.8,-3.4,2.4,-1.7,3.9,-34.2
4.5,2.9,-1.7,5.7,1.6,48.6
1.7,-4.8,4.2,3.4,-1.9,12.3
-2.8,3.2,-3.6,2.6,4.3,4.1
6.4,5.6,2.3,4.1,3.7,78.2
-3.1,-5.6,1.8,-2.9,-4.2,-44.7
3.4,1.3,-5.2,3.7,2.8,18.6
-1.8,6.4,2.9,-2.1,1.7,26.9
5.1,-2.3,3.6,2.8,5.3,43.7
-4.7,2.6,-2.1,5.6,1.9,-4.8
2.7,4.8,4.9,1.6,2.7,56.4
-3.9,-1.9,3.2,-4.3,3.6,-16.7
4.3,3.4,1.4,4.2,4.8,54.9
1.2,-3.9,5.4,2.7,-3.1,14.6
-2.5,5.7,-1.9,3.9,2.4,22.8
5.9,2.4,5.6,3.4,1.9,64.7
-5.3,-2.7,-3.2,1.8,2.9,-34.6
3.6,4.7,-2.6,2.9,5.6,48.3
-1.6,3.8,4.1,-5.1,1.4,3.9
4.9,-1.6,2.8,5.1,3.7,52.8
-4.2,1.4,-3.9,2.3,-3.8,-31.4
2.4,6.2,3.7,4.6,2.1,68.9
-3.6,-4.1,2.6,-3.1,4.7,-19.8
5.4,3.6,4.3,1.7,2.4,58.7
1.9,-2.4,1.7,5.8,3.9,34.2
-2.1,4.2,-4.7,2.1,5.2,6.8
6.7,5.1,2.7,3.8,3.2,77.4
-1.3,-3.6,3.8,4.3,-2.7,-2.1
3.8,2.1,-3.1,4.7,4.9,42.6
-5.1,6.1,-2.4,1.9,2.7,8.4
5.6,1.7,5.9,2.6,1.8,57.3
-4.8,-2.1,1.3,-2.6,3.4,-28.9
2.6,3.9,4.4,5.2,2.8,64.7
1.7,-5.3,2.9,3.7,-4.1,4.8
-3.2,2.8,-1.7,4.6,5.9,18.3
4.6,5.9,3.1,2.4,3.6,67.8
-2.9,-3.2,5.1,-1.8,2.1,-6.7
5.8,4.1,1.6,5.4,4.7,71.9
-1.7,3.4,2.4,-3.6,1.9,6.2
3.1,-4.2,4.6,1.9,5.1,28.7
-4.5,1.8,-5.1,3.2,-1.7,-32.8
2.8,5.4,5.7,3.9,2.3,68.4
-5.9,-1.6,2.1,-4.7,1.8,-42.3
4.2,2.6,-2.8,5.9,3.4,46.8
1.4,-3.7,3.6,2.1,4.6,21.9
-2.6,4.9,-3.4,1.4,3.7,8.6
6.2,3.8,4.7,4.3,1.9,74.2
-3.4,-5.9,1.7,-2.3,-3.1,-48.6
3.9,1.9,-4.6,2.8,5.8,32.1
-1.9,5.6,3.4,-4.8,2.6,14.7
5.3,-2.8,2.1,4.2,3.1,42.9
-4.3,3.7,-2.9,5.7,-2.4,-8.3
2.1,4.3,5.2,2.7,4.9,61.8
-3.8,-2.6,4.3,-3.9,1.6,-18.4
4.7,5.2,2.9,3.6,2.7,64.9
1.8,-4.9,1.4,5.3,3.8,24.6
-2.3,2.4,-5.3,3.1,4.2,-4.7
5.9,6.8,3.2,1.7,3.4,74.8
-5.6,-3.8,2.8,-1.9,-4.7,-48.2
3.3,2.7,-1.9,4.9,1.4,38.7
-1.4,4.1,4.8,-2.9,5.3,28.4
4.8,-1.9,5.4,2.3,2.9,48.6
