entity_id,timestamp,daily_logins,daily_transactions,daily_revenue,avg_session_duration
1001,2024-01-10T08:00:00,5,12,450.50,45.2
1001,2024-01-11T09:15:00,7,18,890.25,52.3
1001,2024-01-12T14:30:00,8,25,1250.75,62.8
1001,2024-01-13T11:00:00,6,15,720.00,48.5
1001,2024-01-14T16:45:00,9,30,1580.90,71.2
1001,2024-01-15T10:30:00,11,22,945.60,55.7
1001,2024-01-16T13:20:00,10,28,1340.80,68.9
1001,2024-01-17T08:45:00,7,19,825.40,50.1
1001,2024-01-18T15:00:00,12,35,1890.50,78.4
1001,2024-01-19T12:00:00,8,21,1025.30,59.6
1002,2024-01-10T10:30:00,3,8,320.75,38.5
1002,2024-01-11T14:00:00,4,11,485.20,42.1
1002,2024-01-13T09:30:00,5,14,620.50,46.8
1002,2024-01-14T17:15:00,6,19,835.90,53.2
1002,2024-01-16T11:45:00,4,10,455.30,40.7
1002,2024-01-17T16:00:00,7,22,1105.60,61.4
1002,2024-01-19T10:15:00,5,16,745.80,49.3
1003,2024-01-10T12:00:00,15,42,2340.80,89.5
1003,2024-01-11T13:30:00,18,48,2890.50,95.2
1003,2024-01-12T10:45:00,14,38,2105.70,82.6
1003,2024-01-13T15:20:00,16,45,2650.30,91.8
1003,2024-01-14T09:00:00,19,50,3120.90,102.3
1003,2024-01-15T14:15:00,17,46,2745.60,93.7
1003,2024-01-16T11:30:00,15,41,2280.40,87.1
1003,2024-01-17T16:45:00,20,52,3340.20,108.5
1003,2024-01-18T10:00:00,16,44,2580.70,90.4
1003,2024-01-19T13:45:00,18,49,2995.80,98.6
1004,2024-01-10T15:30:00,2,5,185.40,28.3
1004,2024-01-12T11:00:00,3,7,265.80,32.7
1004,2024-01-14T14:30:00,4,9,385.50,36.9
1004,2024-01-16T09:45:00,2,6,215.20,30.1
1004,2024-01-18T16:15:00,5,11,445.90,41.5
1004,2024-01-20T10:30:00,3,8,325.60,34.8
1005,2024-01-10T09:00:00,10,28,1450.30,65.4
1005,2024-01-11T12:30:00,12,32,1780.90,72.8
1005,2024-01-12T16:00:00,11,30,1620.50,69.1
1005,2024-01-13T10:15:00,13,35,1925.70,76.5
1005,2024-01-14T13:45:00,14,38,2140.80,81.2
1005,2024-01-15T09:30:00,10,27,1380.40,63.7
1005,2024-01-16T15:20:00,15,40,2280.60,85.9
1005,2024-01-17T11:00:00,12,33,1850.20,74.3
1005,2024-01-18T14:30:00,16,42,2450.90,89.6
1005,2024-01-19T10:45:00,11,29,1590.70,67.8
1006,2024-01-10T13:15:00,6,16,725.80,47.9
1006,2024-01-12T09:45:00,8,21,965.40,56.3
1006,2024-01-14T15:30:00,7,19,845.60,52.1
1006,2024-01-16T12:00:00,9,24,1125.30,61.7
1006,2024-01-18T10:30:00,6,17,785.90,49.8
1006,2024-01-20T14:15:00,10,26,1245.70,65.2
1007,2024-01-10T11:45:00,4,10,425.60,39.4
1007,2024-01-11T15:00:00,5,13,585.20,44.8
1007,2024-01-12T08:30:00,6,15,695.80,48.2
1007,2024-01-13T16:30:00,4,11,485.40,41.6
1007,2024-01-14T10:00:00,7,18,825.90,53.5
1007,2024-01-15T13:15:00,5,14,625.30,46.1
1007,2024-01-16T09:00:00,8,20,945.70,58.9
1007,2024-01-17T14:45:00,6,16,745.50,50.3
1007,2024-01-18T11:30:00,9,22,1065.80,62.7
1007,2024-01-19T15:45:00,7,19,885.40,55.8
1008,2024-01-10T14:00:00,13,36,1985.40,79.6
1008,2024-01-11T10:30:00,15,40,2340.80,86.3
1008,2024-01-12T13:45:00,14,38,2150.60,82.7
1008,2024-01-13T09:15:00,16,42,2520.90,91.5
1008,2024-01-14T15:00:00,17,45,2785.30,96.2
1008,2024-01-15T11:45:00,13,37,2080.70,81.4
1008,2024-01-16T14:30:00,18,48,2940.50,99.8
1008,2024-01-17T10:15:00,15,41,2380.20,87.9
1008,2024-01-18T13:00:00,19,50,3125.60,104.3
1008,2024-01-19T09:30:00,14,39,2245.80,84.6
1009,2024-01-10T16:15:00,1,3,125.30,22.5
1009,2024-01-13T12:00:00,2,5,195.70,26.8
1009,2024-01-15T14:45:00,1,4,145.20,24.1
1009,2024-01-17T10:30:00,3,6,245.90,29.3
1009,2024-01-19T16:00:00,2,5,185.50,27.6
1010,2024-01-10T10:00:00,9,25,1320.50,60.8
1010,2024-01-11T14:30:00,11,29,1565.80,68.4
1010,2024-01-12T11:15:00,10,27,1440.30,64.7
1010,2024-01-13T16:00:00,12,31,1720.90,72.1
1010,2024-01-14T12:30:00,13,34,1895.60,77.5
1010,2024-01-15T15:45:00,10,28,1485.40,66.2
1010,2024-01-16T10:45:00,14,36,2045.70,80.9
1010,2024-01-17T13:30:00,11,30,1640.80,70.3
1010,2024-01-18T09:15:00,15,38,2185.90,84.7
1010,2024-01-19T14:00:00,12,32,1780.50,73.8
1001,2024-01-20T09:30:00,10,24,1145.70,60.5
1002,2024-01-20T13:45:00,6,17,785.40,51.2
1003,2024-01-20T11:15:00,17,47,2820.30,96.1
1005,2024-01-20T15:00:00,13,36,2025.80,79.4
1006,2024-01-19T16:30:00,8,22,1045.60,58.7
1007,2024-01-20T12:00:00,8,21,985.20,60.1
1008,2024-01-20T14:45:00,16,43,2635.70,93.4
1010,2024-01-20T10:15:00,11,31,1725.90,71.6
