Date,Product,Amount,Quantity
2024-01-10,Gadget X,1580.25,20
2024-01-11,Widget A,720.00,12
2024-01-12,Gadget Y,1950.50,35
2024-01-13,Widget B,890.75,15
2024-01-14,Gadget X,2150.00,28
2024-01-15,Widget C,1320.50,22
2024-01-16,Gadget Y,1780.25,31
2024-01-17,Widget A,950.00,18
2024-01-18,Gadget X,2340.75,40
2024-01-19,Widget B,1150.50,20
2024-01-20,Gadget Y,2680.00,44
2024-01-21,Widget C,1540.25,26
2024-01-22,Gadget X,1890.50,33
2024-01-23,Widget A,780.00,14
2024-01-24,Gadget Y,2120.75,38
2024-01-25,Widget B,1260.00,23
2024-01-26,Gadget X,2450.50,42
2024-01-27,Widget C,1680.25,29
2024-01-28,Gadget Y,2290.00,39
2024-01-29,Widget A,1050.75,19
