Date,Product,Amount,Quantity
2024-01-01,Widget A,1850.50,32
2024-01-02,Gadget X,2100.75,45
2024-01-03,Widget B,1420.00,28
2024-01-04,Gadget Y,980.25,19
2024-01-05,Widget C,2250.00,40
2024-01-06,Gadget Y,1120.75,18
2024-01-07,Widget A,1680.50,28
2024-01-08,Widget B,2890.00,47
2024-01-09,Gadget X,1750.25,35
2024-01-10,Widget C,2420.75,42
2024-01-11,Gadget Y,890.50,16
2024-01-12,Widget A,2680.00,44
2024-01-13,Widget B,1340.25,26
2024-01-14,Gadget X,2150.75,38
2024-01-15,Widget C,1920.50,34
2024-01-16,Gadget Y,1580.00,29
2024-01-17,Widget A,2340.75,41
2024-01-18,Widget B,1780.25,31
2024-01-19,Gadget X,2520.00,48
2024-01-20,Widget C,1150.50,22
