Function,Memory Bandwidth (GB/sec),CPU Time (sec),Memory Access Count,L1 Miss Rate (%),L3 Miss Rate (%)
compute_matrix_product,23.7,2.45,8945672345,12.3,8.7
vector_transform,15.8,1.23,5234891234,8.5,5.2
data_aggregation,8.4,0.87,3456789012,15.2,3.4
sort_buffer,12.6,1.95,6782341089,18.7,6.9
memcpy_wrapper,19.2,0.65,4123456789,5.4,2.1
filter_dataset,6.7,1.42,2987654321,22.3,4.8
accumulate_results,4.3,0.34,1876543210,9.8,2.7
parallel_reduction,11.5,1.78,5432109876,14.6,7.3
hash_table_lookup,3.8,0.52,987654321,28.4,5.6
transpose_matrix,9.1,1.06,3210987654,11.2,4.1
normalize_vectors,7.2,0.91,2543210987,16.8,3.9
compress_data,5.9,0.68,1654321098,19.5,6.2
deserialize_stream,2.4,0.29,876543210,24.1,8.4
bitwise_operations,1.8,0.15,543210987,31.2,10.5
string_processing,0.9,0.08,234567890,38.7,12.3
