sample_id,actual_class
S001,Healthy
S002,Rust
S003,Blight
S004,Mildew
S005,Healthy
S006,unknown
S007,Rust
S008,Blight
S009,Healthy
S010,Mildew
S011,Rust
S012,Healthy
S013,Blight
S014,Mildew
S015,Healthy
S016,Rust
S017,Blight
S018,unknown
S019,Healthy
S020,Mildew
S021,Rust
S022,Healthy
S023,Blight
S024,Mildew
S025,Rust
S026,Healthy
S027,Blight
S028,Mildew
S029,unknown
S030,Rust
S031,Healthy
S032,Blight
S033,Mildew
S034,Rust
S035,Healthy
S036,Blight
S037,Mildew
S038,Rust
S039,Healthy
S040,unknown
S041,Blight
S042,Mildew
S043,Rust
S044,Healthy
S045,Blight
S046,Mildew
S047,Rust
S048,Healthy
S049,Blight
S050,Mildew
S051,unknown
S052,Rust
S053,Healthy
S054,Blight
S055,Mildew
S056,Rust
S057,Healthy
S058,Blight
S059,Mildew
S060,Rust
S061,Healthy
S062,unknown
S063,Blight
S064,Mildew
S065,Rust
S066,Healthy
S067,Blight
S068,Mildew
S069,Rust
S070,Healthy
S071,Blight
S072,Mildew
S073,Rust
S074,Healthy
S075,unknown
S076,Blight
S077,Mildew
S078,Rust
S079,Healthy
S080,Blight
S081,Mildew
S082,Rust
S083,Healthy
S084,Blight
S085,Mildew
S086,Rust
S087,Healthy
S088,unknown
S089,Blight
S090,Mildew
S091,Rust
S092,Healthy
S093,Blight
S094,Mildew
S095,Rust
S096,Healthy
S097,Blight
S098,Mildew
S099,Rust
S100,Healthy
S101,Blight
S102,Mildew
S103,Rust
S104,Healthy
S105,Blight
S106,Mildew
S107,Rust
S108,Healthy
S109,Blight
S110,unknown
S111,Mildew
S112,Rust
S113,Healthy
S114,Blight
S115,Mildew
S116,Rust
S117,Healthy
S118,Blight
S119,Mildew
S120,unknown
