day_id,temperature
1,18.2
2,19.9
3,22.5
4,21.8
5,20.3
6,19.5
7,18.7
8,17.9
9,16.4
10,15.8
11,14.2
12,13.6
13,12.9
14,11.5
15,10.8
16,9.7
17,8.4
18,7.6
19,6.9
20,5.3
21,4.8
22,3.5
23,2.1
24,1.4
25,0.6
26,-0.8
27,-1.5
28,-2.3
29,-3.1
30,-3.9
31,-4.5
32,-5.2
33,-4.8
34,-3.6
35,-2.4
36,-1.1
37,0.5
38,2.3
39,4.1
40,5.9
41,7.6
42,9.4
43,11.2
44,13.0
45,14.8
46,16.5
47,18.3
48,20.1
49,21.9
50,23.7
51,25.4
52,27.2
53,28.9
54,30.6
55,32.3
56,33.8
57,35.2
58,36.5
59,37.6
60,38.4
61,39.1
62,38.9
63,38.2
64,37.4
65,36.3
66,35.1
67,33.8
68,32.4
69,30.9
70,29.3
71,27.8
72,26.2
73,24.7
74,23.1
75,21.6
76,20.0
77,18.5
78,17.1
79,15.6
80,14.2
81,12.9
82,11.5
83,10.2
84,8.9
85,7.7
86,6.5
87,5.4
88,4.3
89,3.2
90,2.2
91,1.3
92,0.5
93,-0.3
94,-1.0
95,-1.6
96,-2.1
97,-2.5
98,-2.8
99,-3.0
100,-3.1
