product_id,product_name,category,price
1,Product 1,Electronics,299.99
2,Product 2,Clothing,45.50
3,Product 3,Home,125.00
4,Product 4,Food,12.99
5,Product 5,Electronics,599.99
6,Product 6,Clothing,89.99
7,Product 7,Home,245.00
8,Product 8,Food,8.50
9,Product 9,Electronics,799.99
10,Product 10,Clothing,65.00
11,Product 11,Home,175.50
12,Product 12,Food,15.99
13,Product 13,Electronics,399.99
14,Product 14,Clothing,55.00
15,Product 15,Home,99.99
16,Product 16,Food,22.50
17,Product 17,Electronics,899.99
18,Product 18,Clothing,75.00
19,Product 19,Home,150.00
20,Product 20,Food,18.99
21,Product 21,Electronics,499.99
22,Product 22,Clothing,35.00
23,Product 23,Home,200.00
24,Product 24,Food,9.99
25,Product 25,Electronics,699.99
26,Product 26,Clothing,95.00
27,Product 27,Home,275.00
28,Product 28,Food,11.50
29,Product 29,Electronics,349.99
30,Product 30,Clothing,49.99
31,Product 31,Home,185.00
32,Product 32,Food,14.99
33,Product 33,Electronics,999.99
34,Product 34,Clothing,69.99
35,Product 35,Home,225.00
36,Product 36,Food,7.99
37,Product 37,Electronics,449.99
38,Product 38,Clothing,85.00
39,Product 39,Home,165.00
40,Product 40,Food,19.99
41,Product 41,Electronics,549.99
42,Product 42,Clothing,59.99
43,Product 43,Home,195.00
44,Product 44,Food,13.50
45,Product 45,Electronics,649.99
46,Product 46,Clothing,79.99
47,Product 47,Home,235.00
48,Product 48,Food,10.99
49,Product 49,Electronics,749.99
50,Product 50,Clothing,39.99
51,Product 51,Home,155.00
52,Product 52,Food,16.99
53,Product 53,Electronics,429.99
54,Product 54,Clothing,99.99
55,Product 55,Home,265.00
56,Product 56,Food,6.50
57,Product 57,Electronics,529.99
58,Product 58,Clothing,72.00
59,Product 59,Home,215.00
60,Product 60,Food,21.99
61,Product 61,Electronics,629.99
62,Product 62,Clothing,52.00
63,Product 63,Home,145.00
64,Product 64,Food,17.50
65,Product 65,Electronics,829.99
66,Product 66,Clothing,62.00
67,Product 67,Home,255.00
68,Product 68,Food,5.99
69,Product 69,Electronics,379.99
70,Product 70,Clothing,88.00
71,Product 71,Home,190.00
72,Product 72,Food,24.99
73,Product 73,Electronics,719.99
74,Product 74,Clothing,41.00
75,Product 75,Home,285.00
76,Product 76,Food,20.50
77,Product 77,Electronics,469.99
78,Product 78,Clothing,67.00
79,Product 79,Home,135.00
80,Product 80,Food,23.99
