sensor_id,latitude,longitude,temperature,humidity,pressure
sensor_0001,45.2341,12.3421,18.5,62.3,1013.2
sensor_0002,45.2389,12.3567,18.7,63.1,1013.5
sensor_0003,45.2156,12.3289,18.3,61.8,1013.0
sensor_0004,45.2412,12.3678,18.9,64.2,1013.8
sensor_0005,45.2267,12.3534,18.6,62.7,1013.4
sensor_0006,45.2298,12.3445,18.4,62.0,1013.1
sensor_0007,45.2523,12.3712,19.1,64.8,1014.0
sensor_0008,45.2178,12.3398,18.2,61.5,1012.9
sensor_0009,45.2445,12.3589,18.8,63.5,1013.6
sensor_0010,45.2334,12.3467,18.6,62.4,1013.3
sensor_0011,45.2401,12.3623,18.9,63.9,1013.7
sensor_0012,45.2189,12.3312,18.1,61.2,1012.8
sensor_0013,45.2478,12.3701,19.0,64.5,1013.9
sensor_0014,45.2256,12.3423,18.5,62.1,1013.2
sensor_0015,45.2367,12.3556,18.7,63.2,1013.5
sensor_0016,45.2423,12.3645,18.9,64.0,1013.8
sensor_0017,45.2201,12.3367,18.3,61.6,1012.9
sensor_0018,45.2489,12.3734,19.2,65.1,1014.1
sensor_0019,45.2312,12.3489,18.6,62.5,1013.3
sensor_0020,45.2378,12.3578,18.8,63.4,1013.6
sensor_0021,32.7845,-96.7889,28.3,71.2,1015.4
sensor_0022,32.7912,-96.7756,28.5,72.0,1015.7
sensor_0023,32.7723,-96.7934,28.1,70.8,1015.2
sensor_0024,32.7867,-96.7812,28.4,71.5,1015.5
sensor_0025,32.7789,-96.7867,28.2,71.0,1015.3
sensor_0026,32.7934,-96.7723,28.6,72.3,1015.8
sensor_0027,32.7678,-96.7989,27.9,70.4,1015.0
sensor_0028,32.7856,-96.7845,28.3,71.3,1015.4
sensor_0029,32.7801,-96.7901,28.2,71.1,1015.3
sensor_0030,32.7923,-96.7734,28.5,72.1,1015.7
sensor_0031,32.7745,-96.7956,28.0,70.7,1015.1
sensor_0032,32.7889,-96.7789,28.4,71.6,1015.6
sensor_0033,32.7812,-96.7878,28.3,71.2,1015.4
sensor_0034,32.7945,-96.7712,28.7,72.5,1015.9
sensor_0035,32.7667,-96.8001,27.8,70.2,1014.9
sensor_0036,32.7878,-96.7823,28.4,71.4,1015.5
sensor_0037,32.7790,-96.7890,28.2,71.0,1015.3
sensor_0038,32.7956,-96.7745,28.6,72.2,1015.8
sensor_0039,32.7734,-96.7967,28.0,70.6,1015.1
