timestamp,temperature,humidity,pressure
2024-01-15 13:00:00,80.1,38.5,1008.9
2024-01-15 13:01:00,80.4,38.9,1008.8
2024-01-15 13:02:00,80.7,39.2,1009.0
2024-01-15 13:03:00,80.3,39.5,1009.2
2024-01-15 13:04:00,80.9,39.8,1009.4
2024-01-15 13:05:00,81.2,40.1,1009.3
2024-01-15 13:06:00,81.5,40.4,1009.5
2024-01-15 13:07:00,81.8,40.7,1009.7
2024-01-15 13:08:00,82.1,41.0,1009.6
2024-01-15 13:09:00,82.4,41.3,1009.8
2024-01-15 13:10:00,82.7,41.6,1010.0
2024-01-15 13:11:00,83.0,41.9,1010.2
2024-01-15 13:12:00,83.3,42.2,1010.1
2024-01-15 13:13:00,83.6,42.5,1010.3
2024-01-15 13:14:00,83.9,42.8,1010.5
2024-01-15 13:15:00,84.2,43.1,1010.4
2024-01-15 13:16:00,84.5,43.4,1010.6
2024-01-15 13:17:00,84.8,43.7,1010.8
2024-01-15 13:18:00,85.1,44.0,1010.7
2024-01-15 13:19:00,85.4,44.3,1010.9
2024-01-15 13:20:00,85.7,44.6,1011.1
2024-01-15 13:21:00,86.0,44.9,1011.0
2024-01-15 13:22:00,86.3,45.2,1011.2
2024-01-15 13:23:00,86.6,45.5,1011.4
2024-01-15 13:24:00,86.9,45.8,1011.3
2024-01-15 13:25:00,87.2,46.1,1011.5
2024-01-15 13:26:00,87.5,46.4,1011.7
2024-01-15 13:27:00,87.8,46.7,1011.6
2024-01-15 13:28:00,88.1,47.0,1011.8
2024-01-15 13:29:00,88.4,47.3,1012.0
2024-01-15 13:30:00,88.7,47.6,1011.9
2024-01-15 13:31:00,89.0,47.9,1012.1
2024-01-15 13:32:00,89.3,48.2,1012.3
2024-01-15 13:33:00,89.6,48.5,1012.2
2024-01-15 13:34:00,89.9,48.8,1012.4
2024-01-15 13:35:00,90.2,49.1,1012.6
2024-01-15 13:36:00,90.5,49.4,1012.5
2024-01-15 13:37:00,90.8,49.7,1012.7
2024-01-15 13:38:00,91.1,50.0,1012.9
2024-01-15 13:39:00,91.4,50.3,1012.8
2024-01-15 13:40:00,91.7,50.6,1013.0
2024-01-15 13:41:00,92.0,50.9,1013.2
2024-01-15 13:42:00,92.3,51.2,1013.1
2024-01-15 13:43:00,92.6,51.5,1013.3
2024-01-15 13:44:00,92.9,51.8,1013.5
2024-01-15 13:45:00,93.2,52.1,1013.4
2024-01-15 13:46:00,93.5,52.4,1013.6
2024-01-15 13:47:00,93.8,52.7,1013.8
2024-01-15 13:48:00,94.1,53.0,1013.7
