sale_id,date,product_name,category,quantity,unit_price,total_amount,region,sales_rep
1001,2024-01-05,Laptop Pro 15,Electronics,2,1299.99,2599.98,North,John Smith
1002,2024-01-07,Wireless Mouse,Accessories,15,29.99,449.85,South,Jane Doe
1003,2024-01-10,USB-C Hub,Peripherals,8,49.99,399.92,East,Mike Johnson
1004,2024-01-12,Monitor 27",Electronics,3,399.99,1199.97,West,Sarah Williams
1005,2024-01-15,Keyboard Mechanical,Peripherals,12,89.99,1079.88,Central,Tom Brown
1006,2024-01-18,Webcam HD,Electronics,20,79.99,1599.80,North,Emily Davis
1007,2024-01-20,Headset Bluetooth,Accessories,25,59.99,1499.75,South,John Smith
1008,2024-01-22,Docking Station,Peripherals,5,149.99,749.95,East,Jane Doe
1009,2024-01-25,SSD 1TB,Storage,10,129.99,1299.90,West,Mike Johnson
1010,2024-01-28,RAM 16GB,Components,18,79.99,1439.82,Central,Sarah Williams
1011,2024-01-30,Laptop Pro 15,Electronics,1,1299.99,1299.99,North,Tom Brown
1012,2024-02-01,Wireless Mouse,Accessories,30,29.99,899.70,South,Emily Davis
1013,2024-02-03,USB-C Hub,Peripherals,14,49.99,699.86,East,John Smith
1014,2024-02-05,Monitor 27",Electronics,4,399.99,1599.96,West,Jane Doe
1015,2024-02-07,Keyboard Mechanical,Peripherals,9,89.99,809.91,Central,Mike Johnson
1016,2024-02-10,Webcam HD,Electronics,22,79.99,1759.78,North,Sarah Williams
1017,2024-02-12,Headset Bluetooth,Accessories,16,59.99,959.84,South,Tom Brown
1018,2024-02-14,Docking Station,Peripherals,7,149.99,1049.93,East,Emily Davis
1019,2024-02-16,SSD 1TB,Storage,13,129.99,1689.87,West,John Smith
1020,2024-02-18,RAM 16GB,Components,21,79.99,1679.79,Central,Jane Doe
1021,2024-02-20,Laptop Pro 15,Electronics,2,1299.99,2599.98,North,Mike Johnson
1022,2024-02-22,Wireless Mouse,Accessories,35,29.99,1049.65,South,Sarah Williams
1023,2024-02-24,USB-C Hub,Peripherals,11,49.99,549.89,East,Tom Brown
1024,2024-02-26,Monitor 27",Electronics,5,399.99,1999.95,West,Emily Davis
1025,2024-02-28,Keyboard Mechanical,Peripherals,19,89.99,1709.81,Central,John Smith
1026,2024-03-01,Webcam HD,Electronics,24,79.99,1919.76,North,Jane Doe
1027,2024-03-03,Headset Bluetooth,Accessories,28,59.99,1679.72,South,Mike Johnson
1028,2024-03-05,Docking Station,Peripherals,6,149.99,899.94,East,Sarah Williams
1029,2024-03-07,SSD 1TB,Storage,15,129.99,1949.85,West,Tom Brown
1030,2024-03-09,RAM 16GB,Components,23,79.99,1839.77,Central,Emily Davis
1031,2024-03-11,Laptop Pro 15,Electronics,3,1299.99,3899.97,North,John Smith
