lhs,op,rhs,mi,epc,sepc.all
item1,~~,item2,34.52,0.42,0.28
item3,~~,item4,28.91,0.38,0.25
item5,=~,Factor2,25.67,-0.35,-0.22
item6,~~,item7,23.44,0.31,0.21
item8,~~,item9,21.89,0.29,0.19
item10,=~,Factor1,19.76,0.33,0.24
item11,~~,item12,18.32,0.27,0.18
item13,~~,item14,17.55,0.26,0.17
item2,~~,item5,16.88,0.25,0.16
item15,~~,item16,15.99,0.24,0.15
item17,=~,Factor3,15.12,0.28,0.19
item1,~~,item3,14.67,0.23,0.14
item18,~~,item19,14.21,0.22,0.13
item4,~~,item6,13.89,0.21,0.12
item20,~~,item1,13.45,0.20,0.11
item7,~~,item10,12.98,0.19,0.10
item2,=~,Factor1,12.54,0.27,0.18
item9,~~,item11,12.11,0.18,0.09
item14,~~,item15,11.87,0.17,0.08
item3,~~,item8,11.56,0.16,0.07
item12,~~,item13,11.23,0.15,0.06
item16,~~,item17,10.98,0.14,0.05
item5,~~,item7,10.76,0.13,0.04
item19,~~,item20,10.54,0.12,0.03
item6,=~,Factor2,10.32,0.25,0.17
item8,~~,item12,10.11,0.11,0.02
Factor1,~~,Factor2,9.87,-0.22,-0.15
item10,~~,item14,9.65,0.10,0.01
item1,~~,item5,9.43,0.09,-0.01
item4,~~,item9,9.21,0.08,-0.02
item11,~~,item15,8.99,0.07,-0.03
item13,=~,Factor3,8.77,0.23,0.16
item2,~~,item6,8.55,0.06,-0.04
item18,~~,item20,8.33,0.05,-0.05
item3,~~,item7,8.11,0.04,-0.06
item16,~~,item19,7.89,0.03,-0.07
item9,~~,item13,7.67,0.02,-0.08
item12,~~,item16,7.45,0.01,-0.09
item5,~~,item10,7.23,-0.01,-0.10
item14,~~,item18,7.01,-0.02,-0.11
item1,~~,item8,6.79,-0.03,-0.12
item17,~~,item20,6.57,-0.04,-0.13
item4,~~,item11,6.35,-0.05,-0.14
item7,~~,item15,6.13,-0.06,-0.15
item19,=~,Factor1,5.91,0.19,0.13
item2,~~,item9,5.69,-0.07,-0.16
item6,~~,item12,5.47,-0.08,-0.17
item3,~~,item13,5.25,-0.09,-0.18
item10,~~,item16,5.03,-0.10,-0.19
item8,~~,item14,4.81,-0.11,-0.20
item15,~~,item18,4.59,-0.12,-0.21
item11,~~,item17,4.37,-0.13,-0.22
item1,~~,item9,4.15,-0.14,-0.23
item5,~~,item12,3.93,-0.15,-0.24
item4,~~,item13,3.71,-0.16,-0.25
item7,~~,item16,3.49,-0.17,-0.26
item20,=~,Factor2,3.27,0.15,0.10
item2,~~,item10,3.05,-0.18,-0.27
item14,~~,item19,2.83,-0.19,-0.28
item6,~~,item15,2.61,-0.20,-0.29
item3,~~,item11,2.39,-0.21,-0.30
item9,~~,item17,2.17,-0.22,-0.29
item18,=~,Factor3,1.95,0.12,0.08
item1,~~,item12,1.73,-0.23,-0.28
item5,~~,item13,1.51,-0.24,-0.27
item8,~~,item16,1.29,-0.25,-0.26
item4,~~,item14,1.07,-0.26,-0.25
item10,~~,item18,0.85,-0.27,-0.24
item7,~~,item19,0.63,-0.28,-0.23
Factor1,~~,Factor3,42.18,0.45,0.29
Factor2,~~,Factor3,38.76,0.41,0.27
item2,~~,item3,36.34,0.39,0.26
item6,~~,item8,31.22,0.36,0.24
item11,~~,item14,27.89,0.34,0.23
item1,~~,item7,24.56,0.32,0.21
item15,~~,item17,22.33,0.30,0.20
item4,~~,item5,20.11,0.28,0.19
item9,~~,item10,18.88,0.26,0.17
item12,~~,item14,17.65,0.24,0.16
item3,~~,item6,16.42,0.22,0.15
item16,~~,item18,15.19,0.20,0.14
item7,~~,item9,13.96,0.18,0.13
item10,~~,item12,12.73,0.16,0.12
item13,~~,item16,11.50,0.14,0.11
item1,~~,item4,10.27,0.12,0.10
item19,~~,item2,9.04,0.10,0.09
item5,~~,item8,7.81,0.08,0.08
item14,~~,item17,6.58,0.06,0.07
item11,~~,item13,5.35,0.04,0.06
item15,~~,item20,4.12,0.02,0.05
item6,~~,item9,2.89,0.01,0.04
e1,~~,e2,26.43,0.37,0.23
e3,~~,e4,22.67,0.33,0.22
e5,~~,e6,19.88,0.30,0.20
e7,~~,e8,17.22,0.28,0.18
e9,~~,e10,14.55,0.26,0.17
e11,~~,e12,12.88,0.24,0.16
e13,~~,e14,11.21,0.22,0.15
e15,~~,e16,9.54,0.20,0.14
e17,~~,e18,7.87,0.18,0.13
e19,~~,e20,6.20,0.16,0.12
e1,~~,e3,5.53,0.14,0.11
e2,~~,e4,4.86,0.12,0.10
e5,~~,e7,4.19,0.10,0.09
e6,~~,e8,3.52,0.08,0.08
e9,~~,e11,2.85,0.06,0.07
e10,~~,e12,2.18,0.04,0.06
e13,~~,e15,1.51,0.02,0.05
item8,=~,Factor1,40.23,0.44,0.28
item14,=~,Factor2,35.88,0.40,0.27
item3,=~,Factor1,32.45,0.38,0.25
item17,~~,item19,29.67,0.36,0.24
item1,~~,item6,26.89,0.34,0.22
item9,~~,item15,24.11,0.32,0.21
item5,~~,item11,21.33,0.30,0.20
item12,~~,item18,18.55,0.28,0.19
