Volatility Foundation Volatility Framework 2.6.1

************************************************************************
Process: System pid: 4
Command line: 

Base                             Size          LoadCount LoadTime                 Path
0x0000000000000000              0x400000                0 -                        [kernel]
0x00007ff8a2340000              0x1f2000             0xffff -                        \Windows\System32\ntoskrnl.exe

************************************************************************
Process: smss.exe pid: 256
Command line: \SystemRoot\System32\smss.exe

Base                             Size          LoadCount LoadTime                 Path
0x00007ff7e8a10000              0x23000               12 2024-01-15 08:23:11 UTC  C:\Windows\System32\smss.exe
0x00007ff8a2120000              0x1a3000             0xffff 2024-01-15 08:23:11 UTC  C:\Windows\System32\ntdll.dll

************************************************************************
Process: csrss.exe pid: 384
Command line: %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows

Base                             Size          LoadCount LoadTime                 Path
0x00007ff7b2450000              0x2f000               8 2024-01-15 08:23:15 UTC  C:\Windows\System32\csrss.exe
0x00007ff8a2120000              0x1a3000             0xffff 2024-01-15 08:23:15 UTC  C:\Windows\System32\ntdll.dll
0x00007ff89fa20000              0x134000              156 2024-01-15 08:23:15 UTC  C:\Windows\System32\kernel32.dll
0x00007ff89d850000              0x2f1000              298 2024-01-15 08:23:15 UTC  C:\Windows\System32\kernelbase.dll

************************************************************************
Process: svchost.exe pid: 612
Command line: C:\Windows\system32\svchost.exe -k DcomLaunch -p

Base                             Size          LoadCount LoadTime                 Path
0x00007ff7b1230000              0x14000               4 2024-01-15 08:23:45 UTC  C:\Windows\System32\svchost.exe
0x00007ff8a2120000              0x1a3000             0xffff 2024-01-15 08:23:45 UTC  C:\Windows\System32\ntdll.dll
0x00007ff89fa20000              0x134000              156 2024-01-15 08:23:45 UTC  C:\Windows\System32\kernel32.dll
0x00007ff89d850000              0x2f1000              298 2024-01-15 08:23:45 UTC  C:\Windows\System32\kernelbase.dll
0x00007ff89fc00000              0xf2000               78 2024-01-15 08:23:45 UTC  C:\Windows\System32\advapi32.dll
0x00007ff8a0120000              0xc4000               124 2024-01-15 08:23:45 UTC  C:\Windows\System32\msvcrt.dll
0x00007ff89fb20000              0xd1000               96 2024-01-15 08:23:45 UTC  C:\Windows\System32\sechost.dll
0x00007ff89fd20000              0xed000               112 2024-01-15 08:23:45 UTC  C:\Windows\System32\rpcrt4.dll
0x00007ff89e450000              0x172000              87 2024-01-15 08:23:45 UTC  C:\Windows\System32\ole32.dll
0x00007ff89d670000              0x1c8000              94 2024-01-15 08:23:45 UTC  C:\Windows\System32\combase.dll
0x00007ff89e2a0000              0x19f000              45 2024-01-15 08:23:45 UTC  C:\Windows\System32\ucrtbase.dll
0x00007ff89bc30000              0x2a000               23 2024-01-15 08:23:45 UTC  C:\Windows\System32\bcrypt.dll
0x00007ff89c120000              0x1d000               18 2024-01-15 08:23:45 UTC  C:\Windows\System32\shlwapi.dll
0x00007ff89a340000              0xb2000               32 2024-01-15 08:23:45 UTC  C:\Windows\System32\shcore.dll
0x00007ff89cb50000              0x89000               21 2024-01-15 08:23:45 UTC  C:\Windows\System32\clbcatq.dll

************************************************************************
Process: svchost.exe pid: 3428
Command line: C:\Windows\system32\svchost.exe -k NetworkService

Base                             Size          LoadCount LoadTime                 Path
0x00007ff7b1230000              0x14000               4 2024-01-15 14:42:18 UTC  C:\Windows\System32\svchost.exe
0x00007ff8a2120000              0x1a3000             0xffff 2024-01-15 14:42:18 UTC  C:\Windows\System32\ntdll.dll
0x00007ff89fa20000              0x134000              156 2024-01-15 14:42:18 UTC  C:\Windows\System32\kernel32.dll
0x00007ff89d850000              0x2f1000              298 2024-01-15 14:42:18 UTC  C:\Windows\System32\kernelbase.dll
0x00007ff89fc00000              0xf2000               78 2024-01-15 14:42:18 UTC  C:\Windows\System32\advapi32.dll
0x00007ff8a0120000              0xc4000               124 2024-01-15 14:42:18 UTC  C:\Windows\System32\msvcrt.dll
0x00007ff89fb20000              0xd1000               96 2024-01-15 14:42:18 UTC  C:\Windows\System32\sechost.dll
0x00007ff89fd20000              0xed000               112 2024-01-15 14:42:18 UTC  C:\Windows\System32\rpcrt4.dll
0x00007ff89e450000              0x172000              87 2024-01-15 14:42:18 UTC  C:\Windows\System32\ole32.dll
0x00007ff89d670000              0x1c8000              94 2024-01-15 14:42:18 UTC  C:\Windows\System32\combase.dll
0x00007ff89e2a0000              0x19f000              45 2024-01-15 14:42:18 UTC  C:\Windows\System32\ucrtbase.dll
0x00007ff8a0340000              0x146000              89 2024-01-15 14:42:18 UTC  C:\Windows\System32\user32.dll
0x00007ff89d340000              0x2f000               67 2024-01-15 14:42:18 UTC  C:\Windows\System32\gdi32.dll
0x00007ff89bc30000              0x2a000               23 2024-01-15 14:42:19 UTC  C:\Windows\System32\bcrypt.dll
0x00007ff89c120000              0x1d000               18 2024-01-15 14:42:19 UTC  C:\Windows\System32\shlwapi.dll
0x00007ff89a340000              0xb2000               32 2024-01-15 14:42:19 UTC  C:\Windows\System32\shcore.dll
0x00007ff89cb50000              0x89000               21 2024-01-15 14:42:19 UTC  C:\Windows\System32\clbcatq.dll
0x00007ff898d20000              0x1bc000              43 2024-01-15 14:42:19 UTC  C:\Windows\System32\wininet.dll
0x00007ff899450000              0xc8000               38 2024-01-15 14:42:19 UTC  C:\Windows\System32\winhttp.dll
0x00007ff89bb10000              0x42000               52 2024-01-15 14:42:19 UTC  C:\Windows\System32\ws2_32.dll
0x00007ff89c8a0000              0x1a000               29 2024-01-15 14:42:19 UTC  C:\Windows\System32\nsi.dll
0x00007ff898a20000              0x89000               24 2024-01-15 14:42:19 UTC  C:\Windows\System32\dnsapi.dll
0x00007ff896d40000              0x56000               18 2024-01-15 14:42:19 UTC  C:\Windows\System32\iphlpapi.dll
0x00007ff897230000              0x1d000               15 2024-01-15 14:42:19 UTC  C:\Windows\System32\dhcpcsvc.dll
0x00007ff896820000              0x23000               12 2024-01-15 14:42:19 UTC  C:\Windows\System32\dhcpcsvc6.dll
0x00007ff895f10000              0x3e000               8 2024-01-15 14:42:20 UTC  C:\Windows\System32\winnsi.dll
0x00007ff894d80000              0x45000               11 2024-01-15 14:42:20 UTC  C:\Windows\System32\mswsock.dll
0x00007ff893b20000              0x72000               9 2024-01-15 14:42:20 UTC  C:\Windows\System32\fwpuclnt.dll
0x00007ff892450000              0x1f000               6 2024-01-15 14:42:20 UTC  C:\Windows\System32\rasadhlp.dll
0x00007ff891320000              0x89000               14 2024-01-15 14:42:20 UTC  C:\Windows\System32\cryptsp.dll
0x00007ff890d40000              0x3c000               10 2024-01-15 14:42:20 UTC  C:\Windows\System32\rsaenh.dll
0x00007ff890a20000              0x2d000               7 2024-01-15 14:42:20 UTC  C:\Windows\System32\cryptbase.dll
0x00007ff88f850000              0xbc000               13 2024-01-15 14:42:20 UTC  C:\Windows\System32\ncrypt.dll
0x00007ff88f120000              0x45000               8 2024-01-15 14:42:20 UTC  C:\Windows\System32\ntasn1.dll
0x00007ff88e9a0000              0x178000              16 2024-01-15 14:42:20 UTC  C:\Windows\System32\crypt32.dll
0x00007ff88e450000              0x12000               5 2024-01-15 14:42:21 UTC  C:\Windows\System32\msasn1.dll
0x00007ff88dd20000              0x8e000               9 2024-01-15 14:42:21 UTC  C:\Windows\System32\bcryptprimitives.dll
0x00007ff88d340000              0x24000               4 2024-01-15 14:42:21 UTC  C:\Windows\System32\wship6.dll
0x00007ff88ca50000              0x17000               3 2024-01-15 14:42:21 UTC  C:\Windows\System32\rasapi32.dll
0x00007ff88c120000              0x2f000               6 2024-01-15 14:42:21 UTC  C:\Windows\System32\rasman.dll
0x00007ff88ba40000              0x1c000               4 2024-01-15 14:42:21 UTC  C:\Windows\System32\rtutils.dll
0x00007ff88b230000              0x45000               7 2024-01-15 14:42:21 UTC  C:\Windows\System32\netapi32.dll
0x00007ff88aa10000              0x89000               5 2024-01-15 14:42:21 UTC  C:\Windows\System32\wkscli.dll
0x00007ff88a340000              0x1a000               3 2024-01-15 14:42:21 UTC  C:\Windows\System32\netutils.dll
0x00007ff889d20000              0x56000               8 2024-01-15 14:42:22 UTC  C:\Windows\System32\schannel.dll
0x00007ff889850000              0x3d000               6 2024-01-15 14:42:22 UTC  C:\Windows\System32\mskeyprotect.dll
