EMPLOYEE_ID,DATE,CLOCK_IN,CLOCK_OUT,HOURLY_RATE
E001,2024-01-15,08:30,17:00,25.00
E002,2024-01-15,09:00,18:30,30.00
E003,2024-01-15,07:45,16:15,28.50
E004,2024-01-15,23:00,23:59,22.00
E005,2024-01-16,00:30,09:00,26.00
E006,2024-01-16,05:15,14:30,24.50
E007,2024-01-16,06:00,15:00,27.00
E008,2024-01-16,14:30,22:45,31.50
E009,2024-01-17,02:45,11:30,23.00
E010,2024-01-17,03:00,12:00,29.50
E011,2024-01-17,08:00,17:30,26.50
E012,2024-01-17,13:00,21:00,32.00
E013,2024-01-18,01:15,10:00,25.50
E014,2024-01-18,04:30,13:45,28.00
E015,2024-01-18,09:30,18:00,30.50
E016,2024-01-18,11:00,19:30,27.50
E017,2024-01-19,00:00,08:00,24.00
E018,2024-01-19,07:00,16:00,29.00
E019,2024-01-19,15:00,23:30,33.00
E020,2024-01-19,20:00,23:45,35.00
