transaction_id,date,product,quantity,price,customer_id
TXN001,2024-01-15,Laptop,1,1299.99,CUST001
TXN002,2024-01-16,Mouse,2,25.50,CUST002
TXN003,2024-01-16,Keyboard,1,89.99,CUST003
TXN004,2024-01-17,Monitor,1,449.99,CUST001
TXN005,2024-01-18,Headphones,3,79.99,CUST004
TXN006,2024-01-19,Laptop,1,1499.99,CUST005
TXN007,2024-01-20,Mouse,5,19.99,CUST002
TXN008,2024-01-21,Keyboard,2,109.99,CUST006
TXN009,2024-01-22,Monitor,1,599.99,CUST007
TXN010,2024-01-23,Headphones,1,149.99,CUST003
TXN011,2024-01-24,Laptop,1,1199.99,CUST008
TXN012,2024-01-25,Mouse,4,29.99,CUST009
TXN013,2024-01-26,Keyboard,1,69.99,CUST010
TXN014,2024-01-27,Monitor,2,399.99,CUST004
TXN015,2024-01-28,Headphones,2,99.99,CUST011
TXN016,2024-02-01,Laptop,1,1399.99,CUST012
TXN017,2024-02-02,Mouse,3,22.50,CUST013
TXN018,2024-02-03,Keyboard,1,119.99,CUST014
TXN019,2024-02-04,Monitor,1,499.99,CUST015
TXN020,2024-02-05,Headphones,4,59.99,CUST001
TXN021,2024-02-06,Laptop,2,1299.99,CUST016
TXN022,2024-02-07,Mouse,1,34.99,CUST017
TXN023,2024-02-08,Keyboard,3,79.99,CUST002
TXN024,2024-02-09,Monitor,1,549.99,CUST018
TXN025,2024-02-10,Headphones,2,89.99,CUST019
TXN026,2024-02-11,Laptop,1,1599.99,CUST020
TXN027,2024-02-12,Mouse,6,18.99,CUST003
TXN028,2024-02-13,Keyboard,1,99.99,CUST021
TXN029,2024-02-14,Monitor,2,449.99,CUST022
TXN030,2024-02-15,Headphones,1,129.99,CUST023
TXN031,2024-03-01,Laptop,1,1249.99,CUST024
TXN032,2024-03-02,Mouse,2,27.50,CUST025
TXN033,2024-03-03,Keyboard,1,89.99,CUST004
TXN034,2024-03-04,Monitor,1,599.99,CUST026
TXN035,2024-03-05,Headphones,3,69.99,CUST027
TXN036,2024-03-06,Laptop,1,1449.99,CUST005
TXN037,2024-03-07,Mouse,4,24.99,CUST028
TXN038,2024-03-08,Keyboard,2,109.99,CUST029
TXN039,2024-03-09,Monitor,1,479.99,CUST030
TXN040,2024-03-10,Headphones,2,119.99,CUST006
TXN041,2024-03-11,Laptop,1,1349.99,CUST031
TXN042,2024-03-12,Mouse,3,21.99,CUST032
TXN043,2024-03-13,Keyboard,1,94.99,CUST033
TXN044,2024-03-14,Monitor,2,529.99,CUST007
TXN045,2024-03-15,Headphones,1,139.99,CUST034
TXN046,2024-04-01,Laptop,1,1299.99,CUST035
TXN047,2024-04-02,Mouse,5,19.99,CUST008
TXN048,2024-04-03,Keyboard,1,79.99,CUST036
TXN049,2024-04-04,Monitor,1,449.99,CUST037
TXN050,2024-04-05,Headphones,2,99.99,CUST038
TXN051,2024-04-06,Laptop,2,1499.99,CUST009
TXN052,2024-04-07,Mouse,1,29.99,CUST039
TXN053,2024-04-08,Keyboard,3,89.99,CUST040
TXN054,2024-04-09,Monitor,1,599.99,CUST010
TXN055,2024-04-10,Headphones,4,79.99,CUST041
TXN056,2024-05-01,Laptop,1,1399.99,CUST042
TXN057,2024-05-02,Mouse,2,26.50,CUST043
TXN058,2024-05-03,Keyboard,1,99.99,CUST011
TXN059,2024-05-04,Monitor,2,499.99,CUST044
TXN060,2024-05-05,Headphones,1,109.99,CUST045
TXN061,2024-05-06,Laptop,1,1249.99,CUST046
TXN062,2024-05-07,Mouse,4,23.99,CUST012
TXN063,2024-05-08,Keyboard,1,119.99,CUST047
TXN064,2024-05-09,Monitor,1,549.99,CUST048
TXN065,2024-05-10,Headphones,3,89.99,CUST013
TXN066,2024-06-01,Laptop,1,1449.99,CUST049
TXN067,2024-06-02,Mouse,6,18.99,CUST050
TXN068,2024-06-03,Keyboard,2,79.99,CUST014
TXN069,2024-06-04,Monitor,1,479.99,CUST015
TXN070,2024-06-05,Headphones,2,99.99,CUST016
TXN071,2024-06-06,Laptop,1,1599.99,CUST017
TXN072,2024-06-07,Mouse,3,22.50,CUST018
TXN073,2024-06-08,Keyboard,1,109.99,CUST019
TXN074,2024-06-09,Monitor,2,449.99,CUST020
TXN075,2024-06-10,Headphones,1,129.99,CUST021
