CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
1001,42,12,65.50,786.00,Month-to-month,Electronic check,0
1002,35,48,89.25,4284.00,Two year,Credit card,0
1003,28,3,45.00,135.00,Month-to-month,Mailed check,1
1004,56,60,95.75,5745.00,Two year,Bank transfer,0
1005,31,24,72.30,1735.20,One year,Credit card,0
1006,45,36,81.50,2934.00,One year,Bank transfer,0
1007,23,2,38.00,76.00,Month-to-month,Electronic check,1
1008,67,72,110.00,7920.00,Two year,Credit card,0
1009,39,18,67.80,1220.40,Month-to-month,Mailed check,0
1010,52,54,98.50,5319.00,Two year,Bank transfer,0
1011,29,6,52.25,313.50,Month-to-month,Electronic check,1
1012,44,42,85.00,3570.00,One year,Credit card,0
1013,58,66,105.75,6979.50,Two year,Bank transfer,0
1014,33,30,76.50,2295.00,One year,Mailed check,0
1015,26,4,41.20,164.80,Month-to-month,Electronic check,1
1016,49,45,92.00,4140.00,Two year,Credit card,0
1017,37,21,69.50,1459.50,One year,Bank transfer,0
1018,61,69,108.25,7469.25,Two year,Credit card,0
1019,25,1,35.50,35.50,Month-to-month,Mailed check,1
1020,54,57,99.80,5688.60,Two year,Bank transfer,0
1021,40,27,73.75,1991.25,One year,Credit card,0
1022,48,51,94.50,4819.50,Two year,Bank transfer,0
1023,32,15,63.20,948.00,Month-to-month,Electronic check,0
1024,70,70,112.50,7875.00,Two year,Credit card,0
1025,36,33,79.00,2607.00,One year,Bank transfer,0
1026,27,5,46.75,233.75,Month-to-month,Electronic check,1
1027,55,63,102.30,6444.90,Two year,Credit card,0
1028,41,39,83.50,3256.50,One year,Bank transfer,0
1029,30,9,55.60,500.40,Month-to-month,Mailed check,0
1030,65,68,109.75,7463.00,Two year,Credit card,0
1031,34,12,61.00,732.00,Month-to-month,Electronic check,0
1032,50,48,91.25,4380.00,Two year,Bank transfer,0
1033,43,36,80.50,2898.00,One year,Credit card,0
1034,22,2,37.25,74.50,Month-to-month,Electronic check,1
1035,59,60,103.00,6180.00,Two year,Bank transfer,0
1036,38,24,71.50,1716.00,One year,Credit card,0
1037,46,42,87.75,3685.50,One year,Bank transfer,0
1038,28,7,49.80,348.60,Month-to-month,Mailed check,0
1039,63,65,107.50,6987.50,Two year,Credit card,0
1040,35,18,66.25,1192.50,Month-to-month,Electronic check,0
1041,51,54,96.00,5184.00,Two year,Bank transfer,0
1042,24,3,40.50,121.50,Month-to-month,Electronic check,1
1043,57,57,100.75,5742.75,Two year,Credit card,0
1044,39,30,75.25,2257.50,One year,Bank transfer,0
1045,47,45,89.50,4027.50,Two year,Credit card,0
1046,31,12,59.00,708.00,Month-to-month,Mailed check,0
1047,68,71,111.25,7898.75,Two year,Bank transfer,0
1048,33,21,68.75,1443.75,One year,Credit card,0
1049,26,4,43.50,174.00,Month-to-month,Electronic check,1
1050,53,51,95.00,4845.00,Two year,Bank transfer,0
1051,41,36,81.00,2916.00,One year,Credit card,0
1052,45,39,84.50,3295.50,One year,Bank transfer,0
1053,29,9,54.25,488.25,Month-to-month,Mailed check,0
