product_id,sku,name,category,price,stock_quantity,last_sync
LEGACY_99887,SKU-12345,Wireless Computer Mouse,Electronics,28.99,200,2023-11-10 08:45:00
LEGACY_11234,PROD-7890,HDMI Cable,Accessories,15.50,45,2024-01-05 16:30:00
LEGACY_55678,P-111,Monitor Arm,Hardware,89.99,30,2023-09-22 11:20:00
LEGACY_22456,sku-0067890,USB Keyboard,Peripherals,35.75,120,2023-12-15 09:30:00
LEGACY_33789,PROD-00234,Laptop Stand,Accessories,45.00,85,2023-10-18 14:22:00
LEGACY_44123,SKU-456,Webcam HD,Electronics,65.99,55,2024-01-12 10:15:00
LEGACY_55901,P-789,External Hard Drive,Hardware,120.00,40,2023-08-30 13:45:00
LEGACY_66234,12345,Mouse Pad XL,Accessories,12.99,300,2023-11-25 16:00:00
LEGACY_77567,SKU-9999,Docking Station,Electronics,189.99,25,2023-07-14 11:30:00
LEGACY_88890,PROD-5555,Ethernet Cable 10ft,Accessories,8.50,150,2024-01-08 15:20:00
LEGACY_99123,sku-00111,Mechanical Keyboard RGB,Peripherals,95.00,70,2023-12-01 08:00:00
LEGACY_10456,P-0222,USB-C Hub,Electronics,42.50,90,2023-10-05 12:45:00
LEGACY_20789,SKU-333,Wireless Headset,Electronics,78.99,60,2023-11-20 14:30:00
LEGACY_30112,PROD-444,Screen Protector,Accessories,9.99,200,2024-01-15 09:00:00
LEGACY_40445,67890,Gaming Mouse,Peripherals,55.00,110,2023-09-10 16:15:00
LEGACY_50778,SKU-0008888,Portable SSD,Hardware,145.00,35,2023-12-20 10:30:00
LEGACY_60111,P-777,Cable Management Kit,Accessories,18.75,180,2023-08-15 13:00:00
LEGACY_70444,sku-666,Laptop Backpack,Accessories,49.99,95,2024-01-10 11:45:00
LEGACY_80777,PROD-00999,Bluetooth Speaker,Electronics,32.50,125,2023-11-05 15:30:00
LEGACY_91110,SKU-1111,Desk Lamp LED,Hardware,29.99,140,2023-10-28 09:15:00
LEGACY_02443,234,Phone Stand,Accessories,14.99,220,2023-12-10 14:00:00
LEGACY_13776,P-0555,USB Flash Drive 64GB,Hardware,19.99,175,2023-09-25 10:45:00
LEGACY_24109,SKU-00777,Wireless Charger,Electronics,25.50,105,2024-01-03 16:00:00
LEGACY_35442,PROD-8888,DisplayPort Cable,Accessories,22.00,80,2023-11-15 12:30:00
LEGACY_46775,sku-3333,Ergonomic Mouse,Peripherals,38.99,130,2023-08-20 08:45:00
LEGACY_57108,111,Microphone USB,Electronics,68.00,45,2023-12-28 15:15:00
LEGACY_68441,SKU-2222,Travel Adapter,Accessories,16.50,190,2023-10-12 11:00:00
LEGACY_79774,P-4444,Cooling Pad,Hardware,34.99,75,2024-01-18 13:30:00
LEGACY_81007,PROD-00666,VGA Cable,Accessories,11.25,160,2023-09-05 09:30:00
LEGACY_92340,SKU-0005555,Webcam Cover,Accessories,5.99,400,2023-11-30 14:45:00
LEGACY_03673,sku-4444,Tablet Stand,Hardware,24.99,100,2023-12-05 10:00:00
LEGACY_15006,456,Surge Protector,Electronics,28.50,115,2023-08-25 16:30:00
LEGACY_26339,P-00888,HDMI Splitter,Electronics,38.00,65,2024-01-20 12:00:00
LEGACY_37672,SKU-7777,Wrist Rest,Accessories,13.75,210,2023-10-20 08:30:00
LEGACY_49005,PROD-1111,Monitor Riser,Hardware,52.00,85,2023-11-18 15:00:00
LEGACY_50338,sku-00999,Graphics Tablet,Electronics,125.00,40,2023-09-15 11:15:00
LEGACY_61671,789,Cable Clips Set,Accessories,7.50,250,2023-12-22 13:45:00
LEGACY_73004,SKU-0006666,Laptop Sleeve,Accessories,21.99,155,2024-01-06 09:45:00
LEGACY_84337,P-9999,KVM Switch,Electronics,95.00,30,2023-10-30 14:15:00
LEGACY_95670,,Bluetooth Adapter,Electronics,12.50,180,2023-11-22 10:30:00
LEGACY_07003,SKU-8888,Document Camera,Electronics,165.00,20,2023-08-10 16:45:00
LEGACY_18336,PROD-00333,Power Bank 20000mAh,Electronics,42.99,95,2024-01-14 11:30:00
LEGACY_29669,sku-5555,Screen Cleaner Kit,Accessories,8.99,270,2023-12-18 15:45:00
LEGACY_31002,999,Anti-Glare Filter,Accessories,31.50,70,2023-09-28 12:15:00
LEGACY_42335,P-0001,Desk Organizer,Accessories,19.99,145,2023-11-08 08:15:00
LEGACY_53668,SKU-00444,Presentation Remote,Electronics,29.50,100,2024-01-22 14:30:00
LEGACY_65001,PROD-2222,Privacy Screen,Accessories,44.99,60,2023-10-15 10:00:00
LEGACY_76334,sku-00123,Numeric Keypad,Peripherals,22.50,125,2023-12-12 16:15:00
LEGACY_87667,,Drawing Tablet,Electronics,89.99,35,2023-08-05 13:15:00
LEGACY_99000,SKU-321,Laptop Cooling Stand,Hardware,39.99,110,2024-01-25 09:30:00
LEGACY_10333,P-555,Card Reader USB,Electronics,15.75,195,2023-11-28 12:45:00
LEGACY_21666,PROD-00789,Stylus Pen,Accessories,18.50,165,2023-10-08 15:30:00
LEGACY_32999,sku-777,LED Strip Lights,Electronics,26.99,135,2023-12-30 11:00:00
LEGACY_44332,333,Audio Splitter,Accessories,9.25,240,2023-09-18 14:00:00
LEGACY_55665,SKU-0009999,Barcode Scanner,Electronics,75.00,50,2024-01-28 10:45:00
LEGACY_66998,P-00333,Laptop Lock,Hardware,24.50,120,2023-11-12 13:00:00
LEGACY_78331,PROD-5678,Wireless Presenter,Electronics,34.99,80,2023-10-25 09:00:00
LEGACY_89664,sku-1234,Multi-Device Keyboard,Peripherals,68.50,90,2024-01-30 15:15:00
LEGACY_90997,555,Phone Charger Cable,Accessories,10.99,310,2023-12-08 12:30:00
LEGACY_02330,SKU-555,Touchpad Wireless,Peripherals,41.00,75,2023-08-28 10:15:00
