product_id,sku,name,category,price,stock_quantity,last_sync
MAIN_10001,SKU-0012345,Wireless Mouse,Electronics,29.99,150,2024-02-15 10:30:00
MAIN_10002,PROD-456,USB Cable,Accessories,12.99,75,2024-01-20 14:22:00
MAIN_10003,sku-789,Laptop Stand,Office Supplies,45.00,0,2023-12-10 09:15:00
MAIN_10004,SKU-00567,Mechanical Keyboard,Electronics,89.99,200,2024-03-01 08:45:00
MAIN_10005,P-890,HDMI Cable,Accessories,15.99,120,2024-02-28 16:20:00
MAIN_10006,1234,Desk Lamp,Office Supplies,35.00,50,2024-01-15 11:30:00
MAIN_10007,SKU-0098765,Wireless Headphones,Electronics,79.99,85,2024-02-20 13:45:00
MAIN_10008,PROD-0321,Monitor Stand,Office Supplies,55.00,40,2024-03-05 09:00:00
MAIN_10009,sku-4567,USB Hub,Electronics,25.99,300,2024-02-10 14:30:00
MAIN_10010,SKU-00111,Webcam,Electronics,65.00,95,2024-01-25 10:15:00
MAIN_10011,P-222,Phone Charger,Accessories,19.99,250,2024-02-18 15:40:00
MAIN_10012,3456,Bluetooth Speaker,Electronics,45.99,180,2024-03-02 11:20:00
MAIN_10013,SKU-007890,Gaming Mouse,Electronics,59.99,110,2024-02-25 08:30:00
MAIN_10014,PROD-0555,Laptop Bag,Accessories,39.99,70,2024-01-30 13:00:00
MAIN_10015,sku-6789,Portable SSD,Electronics,129.99,45,2024-03-10 10:45:00
MAIN_10016,SKU-00333,Mouse Pad,Accessories,9.99,500,2024-02-05 16:00:00
MAIN_10017,P-444,Ethernet Cable,Accessories,8.99,400,2024-01-18 09:30:00
MAIN_10018,5678,Desk Organizer,Office Supplies,22.00,160,2024-02-22 14:15:00
MAIN_10019,SKU-009999,Wireless Charger,Electronics,29.99,90,2024-03-08 11:00:00
MAIN_10020,PROD-0777,USB-C Adapter,Accessories,14.99,220,2024-02-12 15:30:00
MAIN_10021,sku-8888,Laptop Cooler,Electronics,35.00,55,2024-01-22 10:00:00
MAIN_10022,SKU-001111,External Hard Drive,Electronics,89.99,65,2024-03-03 13:20:00
MAIN_10023,P-9999,Screen Protector,Accessories,12.99,350,2024-02-08 08:45:00
MAIN_10024,2468,Cable Management,Office Supplies,18.00,280,2024-01-28 16:30:00
MAIN_10025,SKU-002222,Docking Station,Electronics,149.99,30,2024-03-12 09:15:00
MAIN_10026,,Notepad Set,Office Supplies,5.99,100,2024-02-01 14:00:00
MAIN_10027,PROD-1357,Stylus Pen,Accessories,24.99,175,2024-01-12 11:45:00
MAIN_10028,sku-2468,Keyboard Wrist Rest,Accessories,15.00,200,2024-02-27 10:30:00
MAIN_10029,SKU-003333,Surge Protector,Electronics,32.99,140,2024-03-06 15:00:00
MAIN_10030,P-1212,Card Reader,Electronics,11.99,260,2024-02-14 09:20:00
MAIN_10031,9876,File Folders,Office Supplies,7.99,450,2024-01-16 13:40:00
MAIN_10032,SKU-004444,Webcam Cover,Accessories,4.99,380,2024-02-24 11:10:00
MAIN_10033,PROD-3690,Display Port Cable,Accessories,18.99,190,2024-03-09 14:50:00
MAIN_10034,sku-1357,Laptop Sleeve,Accessories,28.00,125,2024-01-20 10:25:00
MAIN_10035,SKU-005555,Microphone,Electronics,95.00,35,2024-03-11 08:15:00
MAIN_10036,P-7788,Power Bank,Electronics,39.99,155,2024-02-16 15:45:00
MAIN_10037,4321,Pen Holder,Office Supplies,12.00,240,2024-01-24 12:00:00
MAIN_10038,SKU-006666,VGA Cable,Accessories,9.99,310,2024-02-26 09:50:00
MAIN_10039,PROD-4567,LED Strip Lights,Electronics,25.99,105,2024-03-04 13:30:00
MAIN_10040,sku-9012,Monitor Arm,Office Supplies,79.99,25,2024-01-14 11:20:00
MAIN_10041,SKU-007777,Cleaning Kit,Accessories,16.99,270,2024-02-19 16:10:00
MAIN_10042,P-3456,Security Key,Electronics,49.99,80,2024-03-07 10:40:00
MAIN_10043,8765,Desk Mat,Office Supplies,29.99,135,2024-01-26 14:25:00
MAIN_10044,SKU-008888,Cable Clips,Accessories,6.99,420,2024-02-11 08:55:00
MAIN_10045,PROD-7890,Tablet Stand,Office Supplies,32.00,95,2024-03-13 15:20:00
MAIN_10046,sku-3456,Gaming Headset,Electronics,119.99,60,2024-01-19 12:35:00
MAIN_10047,SKU-009876,Laptop Riser,Office Supplies,42.99,75,2024-02-23 09:40:00
MAIN_10048,,Sticky Notes,Office Supplies,3.99,500,2024-01-11 16:50:00
MAIN_10049,P-5678,Anti-Glare Filter,Accessories,27.99,110,2024-02-29 11:25:00
MAIN_10050,6543,Whiteboard,Office Supplies,65.00,40,2024-03-01 13:55:00
MAIN_10051,SKU-001234,Presentation Clicker,Electronics,22.99,145,2024-01-17 10:05:00
MAIN_10052,PROD-8888,Drawing Tablet,Electronics,199.99,20,2024-02-21 14:45:00
MAIN_10053,sku-5678,Label Maker,Office Supplies,48.00,85,2024-03-14 08:30:00
MAIN_10054,SKU-002468,Desk Fan,Electronics,29.99,120,2024-01-23 15:15:00
MAIN_10055,P-9012,Book Stand,Office Supplies,18.99,165,2024-02-13 12:50:00
MAIN_10056,7890,Stapler Set,Office Supplies,14.99,320,2024-01-29 09:25:00
MAIN_10057,SKU-003690,Smart Plug,Electronics,24.99,200,2024-02-17 16:35:00
MAIN_10058,PROD-9999,Ergonomic Mouse,Electronics,44.99,90,2024-03-15 11:40:00
MAIN_10059,sku-7890,Paper Shredder,Office Supplies,89.99,30,2024-01-21 13:10:00
MAIN_10060,SKU-004321,Multi-Tool,Accessories,19.99,185,2024-02-09 10:20:00
MAIN_10061,P-1122,Laptop Lock,Accessories,15.99,230,2024-03-05 14:00:00
MAIN_10062,3210,Calculator,Office Supplies,12.99,275,2024-01-27 08:50:00
MAIN_10063,SKU-005432,Wireless Presenter,Electronics,34.99,115,2024-02-28 15:25:00
MAIN_10064,PROD-1122,Footrest,Office Supplies,39.99,70,2024-03-10 12:15:00
MAIN_10065,sku-8901,LED Desk Lamp,Electronics,52.99,95,2024-01-13 11:05:00
MAIN_10066,SKU-006543,Phone Stand,Accessories,13.99,290,2024-02-06 09:45:00
MAIN_10067,P-3344,Privacy Screen,Accessories,31.99,125,2024-03-12 16:20:00
MAIN_10068,5432,Binder Clips,Office Supplies,5.99,460,2024-01-31 14:30:00
MAIN_10069,SKU-007654,Cable Tester,Electronics,21.99,150,2024-02-07 10:55:00
MAIN_10070,PROD-5566,Document Scanner,Electronics,175.00,25,2024-03-16 13:40:00
