account_age_days,monthly_usage_minutes,support_tickets_count,plan_type,contract_length_months
542,1654,3,basic,14
789,2103,1,premium,18
234,1289,4,basic,9
1023,2456,2,premium,22
456,1723,5,basic,11
678,1987,2,premium,16
890,2234,3,basic,19
345,1456,1,premium,13
567,1834,4,basic,15
1234,2678,2,enterprise,24
432,1567,3,basic,12
765,2012,1,premium,17
298,1345,5,basic,8
1087,2389,2,premium,21
543,1712,3,basic,14
876,2156,1,enterprise,20
401,1623,4,premium,10
689,1945,2,basic,16
1156,2567,3,premium,23
512,1789,1,basic,13
734,2045,4,premium,18
289,1423,5,basic,7
945,2278,2,enterprise,19
623,1856,3,premium,15
812,2134,1,basic,17
467,1634,4,premium,11
1001,2401,2,basic,21
578,1767,3,premium,14
891,2189,1,basic,18
356,1489,5,premium,9
723,1923,2,enterprise,16
634,1801,3,basic,15
987,2312,1,premium,20
445,1598,4,basic,12
768,2067,2,premium,17
301,1378,5,basic,8
1123,2489,3,enterprise,22
589,1734,1,premium,14
834,2145,4,basic,18
412,1567,2,premium,10
701,1989,3,basic,16
1189,2601,1,enterprise,24
523,1712,4,premium,13
856,2178,2,basic,19
378,1445,5,premium,9
689,1867,3,basic,15
1034,2367,1,enterprise,21
601,1789,4,premium,14
823,2123,2,basic,17
456,1623,3,premium,11
734,1956,1,basic,16
298,1389,5,premium,7
967,2289,2,enterprise,20
612,1812,3,basic,15
889,2201,4,premium,19
423,1589,1,basic,10
756,2034,2,premium,17
1167,2534,3,enterprise,23
534,1745,4,basic,13
867,2167,1,premium,18
389,1478,5,basic,9
712,1923,2,premium,16
645,1834,3,basic,15
1012,2378,1,enterprise,21
567,1712,4,premium,13
845,2156,2,basic,18
401,1534,3,premium,10
723,1989,1,basic,16
312,1423,5,premium,8
1089,2456,2,enterprise,22
589,1778,3,basic,14
878,2189,4,premium,19
445,1612,1,basic,11
767,2045,2,premium,17
1201,2612,3,enterprise,24
545,1723,4,basic,14
889,2178,1,premium,19
378,1489,5,basic,9
701,1934,2,premium,16
634,1845,3,basic,15
1045,2401,1,enterprise,21
578,1756,4,premium,14
856,2167,2,basic,18
423,1578,3,premium,11
745,2012,1,basic,17
289,1367,5,premium,7
989,2312,2,enterprise,20
612,1801,3,basic,15
901,2223,4,premium,19
456,1634,1,basic,12
778,2067,2,premium,17
1178,2567,3,enterprise,23
556,1734,4,basic,14
867,2189,1,premium,18
401,1512,5,basic,10
723,1967,2,premium,16
645,1856,3,basic,15
1023,2389,1,enterprise,21
589,1778,4,premium,14
845,2156,2,basic,18
434,1589,3,premium,11
756,2023,1,basic,17
301,1401,5,premium,8
1067,2445,2,enterprise,22
601,1789,3,basic,15
889,2201,4,premium,19
467,1623,1,basic,12
789,2078,2,premium,17
1156,2534,3,enterprise,23
534,1723,4,basic,13
878,2178,1,premium,18
389,1489,5,basic,9
712,1945,2,premium,16
656,1834,3,basic,15
1001,2367,1,enterprise,21
578,1767,4,premium,14
834,2145,2,basic,18
423,1578,3,premium,11
734,2001,1,basic,16
312,1389,5,premium,8
978,2289,2,enterprise,20
623,1812,3,basic,15
901,2212,4,premium,19
445,1612,1,basic,11
767,2056,2,premium,17
1189,2589,3,enterprise,24
545,1734,4,basic,14
867,2167,1,premium,18
378,1478,5,basic,9
701,1923,2,premium,16
634,1845,3,basic,15
1034,2378,1,enterprise,21
589,1778,4,premium,14
845,2156,2,basic,18
434,1589,3,premium,11
745,2023,1,basic,17
298,1378,5,premium,7
989,2301,2,enterprise,20
612,1801,3,basic,15
889,2201,4,premium,19
456,1623,1,basic,12
778,2067,2,premium,17
1167,2556,3,enterprise,23
545,1734,4,basic,14
867,2178,1,premium,18
401,1512,5,basic,10
723,1956,2,premium,16
645,1845,3,basic,15
