customer_id,transaction_id,amount,transaction_date,product_category
1001,10001,150.50,2023-01-15,Electronics
1002,10002,89.99,2023-01-16,Clothing
1001,10003,299.99,2023-02-20,Electronics
1003,10004,45.00,2023-01-18,Books
1004,10005,1200.00,2023-01-19,Electronics
1005,10006,67.50,2023-01-20,Sports
1006,10007,234.99,2023-01-21,Home
1007,10008,89.00,2023-01-22,Clothing
1008,10009,456.75,2023-01-23,Electronics
1009,10010,23.50,2023-01-24,Books
1010,10011,890.00,2023-01-25,Home
1001,10012,175.25,2023-02-01,Electronics
1011,10013,45.99,2023-01-27,Sports
1012,10014,670.00,2023-01-28,Electronics
1013,10015,123.45,2023-01-29,Clothing
1014,10016,234.56,2023-01-30,Home
1015,10017,789.99,2023-01-31,Electronics
1004,10018,450.00,2023-02-02,Electronics
1016,10019,56.78,2023-02-03,Books
1017,10020,345.67,2023-02-04,Sports
1018,10021,1500.00,2023-02-05,Electronics
1019,10022,78.90,2023-02-06,Clothing
1020,10023,456.78,2023-02-07,Home
1021,10024,234.50,2023-02-08,Electronics
1022,10025,890.00,2023-02-09,Clothing
1023,10026,123.00,2023-02-10,Books
1024,10027,567.89,2023-02-11,Sports
1025,10028,2300.00,2023-02-12,Electronics
1004,10029,780.00,2023-02-13,Home
1026,10030,345.00,2023-02-14,Electronics
1027,10031,123.45,2023-02-15,Clothing
1028,10032,890.50,2023-02-16,Books
1029,10033,456.00,2023-02-17,Sports
1030,10034,1200.00,2023-02-18,Electronics
1031,10035,234.99,2023-02-19,Home
1001,10036,567.80,2023-03-01,Electronics
1032,10037,123.00,2023-02-21,Clothing
1033,10038,890.00,2023-02-22,Books
1034,10039,345.67,2023-02-23,Sports
1035,10040,1500.00,2023-02-24,Electronics
1036,10041,234.56,2023-02-25,Home
1037,10042,789.99,2023-02-26,Electronics
1038,10043,123.45,2023-02-27,Clothing
1018,10044,670.00,2023-02-28,Electronics
1039,10045,456.78,2023-03-02,Books
1040,10046,234.50,2023-03-03,Sports
1041,10047,890.00,2023-03-04,Home
1042,10048,567.89,2023-03-05,Electronics
1043,10049,123.00,2023-03-06,Clothing
1044,10050,2100.00,2023-03-07,Electronics
1045,10051,345.67,2023-03-08,Books
1046,10052,789.99,2023-03-09,Sports
1047,10053,234.56,2023-03-10,Home
1048,10054,1200.00,2023-03-11,Electronics
1049,10055,567.80,2023-03-12,Clothing
1050,10056,123.45,2023-03-13,Books
1025,10057,890.00,2023-03-14,Electronics
1051,10058,456.78,2023-03-15,Sports
1052,10059,234.50,2023-03-16,Home
1053,10060,1500.00,2023-03-17,Electronics
1054,10061,789.99,2023-03-18,Clothing
1055,10062,123.00,2023-03-19,Books
1056,10063,567.89,2023-03-20,Sports
1057,10064,345.67,2023-03-21,Electronics
1058,10065,890.00,2023-03-22,Home
1059,10066,234.56,2023-03-23,Clothing
1060,10067,1200.00,2023-03-24,Electronics
1018,10068,567.80,2023-03-25,Books
1061,10069,123.45,2023-03-26,Sports
1062,10070,890.00,2023-03-27,Home
1063,10071,456.78,2023-03-28,Electronics
1064,10072,234.50,2023-03-29,Clothing
1065,10073,789.99,2023-03-30,Books
1066,10074,345.67,2023-03-31,Sports
1067,10075,1500.00,2023-04-01,Electronics
1068,10076,234.56,2023-04-02,Home
1069,10077,890.00,2023-04-03,Clothing
1070,10078,123.00,2023-04-04,Books
1071,10079,567.89,2023-04-05,Sports
1072,10080,2200.00,2023-04-06,Electronics
1004,10081,345.67,2023-04-07,Home
1073,10082,789.99,2023-04-08,Clothing
1074,10083,234.56,2023-04-09,Books
1075,10084,1200.00,2023-04-10,Electronics
1076,10085,567.80,2023-04-11,Sports
1077,10086,123.45,2023-04-12,Home
1078,10087,890.00,2023-04-13,Clothing
1079,10088,456.78,2023-04-14,Electronics
1080,10089,234.50,2023-04-15,Books
1081,10090,1500.00,2023-04-16,Sports
1082,10091,789.99,2023-04-17,Home
1083,10092,123.00,2023-04-18,Electronics
1084,10093,567.89,2023-04-19,Clothing
1085,10094,345.67,2023-04-20,Books
1086,10095,890.00,2023-04-21,Sports
1087,10096,234.56,2023-04-22,Electronics
1088,10097,1200.00,2023-04-23,Home
1089,10098,567.80,2023-04-24,Clothing
1090,10099,123.45,2023-04-25,Books
1091,10100,890.00,2023-04-26,Sports
1025,10101,456.78,2023-04-27,Electronics
1092,10102,234.50,2023-04-28,Home
1093,10103,789.99,2023-04-29,Clothing
1094,10104,345.67,2023-04-30,Books
1095,10105,1500.00,2023-05-01,Electronics
1096,10106,234.56,2023-05-02,Sports
1097,10107,890.00,2023-05-03,Home
1098,10108,123.00,2023-05-04,Clothing
1099,10109,567.89,2023-05-05,Books
1100,10110,2400.00,2023-05-06,Electronics
1101,10111,345.67,2023-05-07,Sports
1102,10112,789.99,2023-05-08,Home
1103,10113,234.56,2023-05-09,Clothing
1104,10114,1200.00,2023-05-10,Electronics
1105,10115,567.80,2023-05-11,Books
1106,10116,123.45,2023-05-12,Sports
1107,10117,890.00,2023-05-13,Home
1018,10118,456.78,2023-05-14,Electronics
1108,10119,234.50,2023-05-15,Clothing
1109,10120,1500.00,2023-05-16,Books
1110,10121,789.99,2023-05-17,Sports
1111,10122,123.00,2023-05-18,Home
1112,10123,567.89,2023-05-19,Electronics
1113,10124,345.67,2023-05-20,Clothing
1114,10125,890.00,2023-05-21,Books
1115,10126,234.56,2023-05-22,Sports
1116,10127,1200.00,2023-05-23,Electronics
1117,10128,567.80,2023-05-24,Home
1118,10129,123.45,2023-05-25,Clothing
1119,10130,890.00,2023-05-26,Books
1120,10131,456.78,2023-05-27,Sports
1121,10132,234.50,2023-05-28,Electronics
1122,10133,789.99,2023-05-29,Home
1123,10134,345.67,2023-05-30,Clothing
1124,10135,1500.00,2023-05-31,Electronics
1125,10136,234.56,2023-06-01,Books
1126,10137,890.00,2023-06-02,Sports
1127,10138,123.00,2023-06-03,Home
1128,10139,567.89,2023-06-04,Electronics
1129,10140,2600.00,2023-06-05,Clothing
1130,10141,345.67,2023-06-06,Books
1131,10142,789.99,2023-06-07,Sports
1132,10143,234.56,2023-06-08,Home
1133,10144,1200.00,2023-06-09,Electronics
1134,10145,567.80,2023-06-10,Clothing
1135,10146,123.45,2023-06-11,Books
1136,10147,890.00,2023-06-12,Sports
1137,10148,456.78,2023-06-13,Home
1138,10149,234.50,2023-06-14,Electronics
1001,10150,1500.00,2023-06-15,Clothing
1139,10151,789.99,2023-06-16,Books
1140,10152,123.00,2023-06-17,Sports
1141,10153,567.89,2023-06-18,Home
1142,10154,345.67,2023-06-19,Electronics
1143,10155,890.00,2023-06-20,Clothing
1144,10156,234.56,2023-06-21,Books
1145,10157,1200.00,2023-06-22,Sports
1146,10158,567.80,2023-06-23,Home
1147,10159,123.45,2023-06-24,Electronics
1148,10160,890.00,2023-06-25,Clothing
1149,10161,456.78,2023-06-26,Books
1150,10162,234.50,2023-06-27,Sports
1151,10163,789.99,2023-06-28,Home
1152,10164,345.67,2023-06-29,Electronics
1153,10165,1500.00,2023-06-30,Clothing
1154,10166,234.56,2023-07-01,Books
1155,10167,890.00,2023-07-02,Sports
1156,10168,123.00,2023-07-03,Home
1157,10169,567.89,2023-07-04,Electronics
1158,10170,2800.00,2023-07-05,Clothing
1159,10171,345.67,2023-07-06,Books
1160,10172,789.99,2023-07-07,Sports
1161,10173,234.56,2023-07-08,Home
1162,10174,1200.00,2023-07-09,Electronics
1163,10175,567.80,2023-07-10,Clothing
1164,10176,123.45,2023-07-11,Books
1165,10177,890.00,2023-07-12,Sports
1166,10178,456.78,2023-07-13,Home
1167,10179,234.50,2023-07-14,Electronics
1168,10180,1500.00,2023-07-15,Clothing
1169,10181,789.99,2023-07-16,Books
1025,10182,123.00,2023-07-17,Sports
1170,10183,567.89,2023-07-18,Home
1171,10184,345.67,2023-07-19,Electronics
1172,10185,890.00,2023-07-20,Clothing
1173,10186,234.56,2023-07-21,Books
1174,10187,1200.00,2023-07-22,Sports
1175,10188,567.80,2023-07-23,Home
1176,10189,123.45,2023-07-24,Electronics
1177,10190,890.00,2023-07-25,Clothing
1178,10191,456.78,2023-07-26,Books
1179,10192,234.50,2023-07-27,Sports
1180,10193,789.99,2023-07-28,Home
1181,10194,345.67,2023-07-29,Electronics
1182,10195,1500.00,2023-07-30,Clothing
1183,10196,234.56,2023-07-31,Books
1184,10197,890.00,2023-08-01,Sports
1185,10198,123.00,2023-08-02,Home
1186,10199,567.89,2023-08-03,Electronics
1187,10200,3000.00,2023-08-04,Clothing
1188,10201,345.67,2023-08-05,Books
1189,10202,789.99,2023-08-06,Sports
1190,10203,234.56,2023-08-07,Home
1191,10204,1200.00,2023-08-08,Electronics
1192,10205,567.80,2023-08-09,Clothing
1193,10206,123.45,2023-08-10,Books
1194,10207,890.00,2023-08-11,Sports
1195,10208,456.78,2023-08-12,Home
1196,10209,234.50,2023-08-13,Electronics
1197,10210,1500.00,2023-08-14,Clothing
1198,10211,789.99,2023-08-15,Books
1199,10212,123.00,2023-08-16,Sports
1200,10213,567.89,2023-08-17,Home
1004,10214,345.67,2023-08-18,Electronics
1201,10215,890.00,2023-08-19,Clothing
1202,10216,234.56,2023-08-20,Books
1203,10217,1200.00,2023-08-21,Sports
1204,10218,567.80,2023-08-22,Home
1205,10219,123.45,2023-08-23,Electronics
1206,10220,890.00,2023-08-24,Clothing
1207,10221,456.78,2023-08-25,Books
1208,10222,234.50,2023-08-26,Sports
1209,10223,789.99,2023-08-27,Home
1210,10224,345.67,2023-08-28,Electronics
1211,10225,1500.00,2023-08-29,Clothing
1212,10226,234.56,2023-08-30,Books
1213,10227,890.00,2023-08-31,Sports
1214,10228,123.00,2023-09-01,Home
1215,10229,567.89,2023-09-02,Electronics
1216,10230,3200.00,2023-09-03,Clothing
1217,10231,345.67,2023-09-04,Books
1218,10232,789.99,2023-09-05,Sports
1219,10233,234.56,2023-09-06,Home
1220,10234,1200.00,2023-09-07,Electronics
1221,10235,567.80,2023-09-08,Clothing
1222,10236,123.45,2023-09-09,Books
1223,10237,890.00,2023-09-10,Sports
1224,10238,456.78,2023-09-11,Home
1225,10239,234.50,2023-09-12,Electronics
1226,10240,1500.00,2023-09-13,Clothing
1227,10241,789.99,2023-09-14,Books
1228,10242,123.00,2023-09-15,Sports
1229,10243,567.89,2023-09-16,Home
1230,10244,345.67,2023-09-17,Electronics
1231,10245,890.00,2023-09-18,Clothing
1232,10246,234.56,2023-09-19,Books
1233,10247,1200.00,2023-09-20,Sports
1234,10248,567.80,2023-09-21,Home
1235,10249,123.45,2023-09-22,Electronics
1018,10250,890.00,2023-09-23,Clothing
1236,10251,456.78,2023-09-24,Books
1237,10252,234.50,2023-09-25,Sports
1238,10253,789.99,2023-09-26,Home
1239,10254,345.67,2023-09-27,Electronics
1240,10255,1500.00,2023-09-28,Clothing
1241,10256,234.56,2023-09-29,Books
1242,10257,890.00,2023-09-30,Sports
1243,10258,123.00,2023-10-01,Home
1244,10259,567.89,2023-10-02,Electronics
1245,10260,3400.00,2023-10-03,Clothing
1246,10261,345.67,2023-10-04,Books
1247,10262,789.99,2023-10-05,Sports
1248,10263,234.56,2023-10-06,Home
1249,10264,1200.00,2023-10-07,Electronics
1250,10265,567.80,2023-10-08,Clothing
1251,10266,123.45,2023-10-09,Books
1252,10267,890.00,2023-10-10,Sports
1253,10268,456.78,2023-10-11,Home
1254,10269,234.50,2023-10-12,Electronics
1255,10270,1500.00,2023-10-13,Clothing
1256,10271,789.99,2023-10-14,Books
1257,10272,123.00,2023-10-15,Sports
1258,10273,567.89,2023-10-16,Home
1259,10274,345.67,2023-10-17,Electronics
1260,10275,890.00,2023-10-18,Clothing
1261,10276,234.56,2023-10-19,Books
1262,10277,1200.00,2023-10-20,Sports
1263,10278,567.80,2023-10-21,Home
1264,10279,123.45,2023-10-22,Electronics
1265,10280,890.00,2023-10-23,Clothing
1266,10281,456.78,2023-10-24,Books
1267,10282,234.50,2023-10-25,Sports
1268,10283,789.99,2023-10-26,Home
1269,10284,345.67,2023-10-27,Electronics
1270,10285,1500.00,2023-10-28,Clothing
1271,10286,234.56,2023-10-29,Books
1272,10287,890.00,2023-10-30,Sports
1273,10288,123.00,2023-10-31,Home
1274,10289,567.89,2023-11-01,Electronics
1275,10290,3600.00,2023-11-02,Clothing
