reduction_interval,activity_threshold,glue_threshold,avg_solving_time,peak_memory,num_conflicts
1000,0.1,2,45.2,385.4,12450
1000,0.1,3,42.8,368.2,11890
1000,0.1,4,41.5,352.6,11230
1000,0.1,5,43.2,340.8,10980
1000,0.1,6,46.8,335.2,10750
1000,0.2,2,48.3,392.5,13120
1000,0.2,3,44.6,375.8,12350
1000,0.2,4,42.1,358.4,11680
1000,0.2,5,40.8,345.2,11120
1000,0.2,6,44.5,338.6,10890
1000,0.3,2,51.2,398.7,13680
1000,0.3,3,46.9,381.5,12890
1000,0.3,4,43.7,364.2,12140
1000,0.3,5,41.5,350.8,11580
1000,0.3,6,43.8,342.4,11250
2000,0.1,2,38.5,345.8,10890
2000,0.1,3,36.2,332.4,10320
2000,0.1,4,34.8,318.6,9780
2000,0.1,5,35.9,308.2,9450
2000,0.1,6,38.4,302.5,9280
2000,0.2,2,40.1,352.3,11240
2000,0.2,3,37.5,338.9,10580
2000,0.2,4,35.8,324.5,9980
2000,0.2,5,36.4,312.8,9620
2000,0.2,6,39.2,306.4,9410
2000,0.3,2,42.6,358.6,11680
2000,0.3,3,39.2,345.2,10950
2000,0.3,4,37.1,330.8,10280
2000,0.3,5,37.5,318.4,9880
2000,0.3,6,40.1,311.2,9620
3000,0.1,2,35.8,325.4,10120
3000,0.1,3,33.2,314.2,9580
3000,0.1,4,31.5,302.8,9050
3000,0.1,5,32.4,294.6,8750
3000,0.1,6,35.1,289.8,8590
3000,0.2,2,37.2,331.5,10450
3000,0.2,3,34.5,320.3,9850
3000,0.2,4,32.6,308.5,9280
3000,0.2,5,33.2,299.8,8920
3000,0.2,6,36.4,294.2,8730
3000,0.3,2,39.1,337.8,10850
3000,0.3,3,36.2,326.4,10180
3000,0.3,4,34.1,314.2,9580
3000,0.3,5,34.5,304.9,9180
3000,0.3,6,37.8,298.6,8950
4000,0.1,2,33.5,312.4,9680
4000,0.1,3,30.8,302.8,9120
4000,0.1,4,29.2,292.4,8590
4000,0.1,5,30.1,285.2,8320
4000,0.1,6,33.2,281.6,8180
4000,0.2,2,35.1,318.2,9950
4000,0.2,3,32.2,308.6,9350
4000,0.2,4,30.4,298.1,8780
4000,0.2,5,31.1,290.4,8480
4000,0.2,6,34.5,286.2,8320
4000,0.3,2,36.8,324.5,10280
4000,0.3,3,33.7,314.8,9640
4000,0.3,4,31.8,304.2,9050
4000,0.3,5,32.4,295.8,8710
4000,0.3,6,35.9,291.2,8540
5000,0.1,2,32.1,305.8,9320
5000,0.1,3,29.5,297.4,8780
5000,0.1,4,28.1,288.6,8250
5000,0.1,5,29.2,282.8,7980
5000,0.1,6,32.5,279.8,7850
5000,0.2,2,33.8,311.4,9580
5000,0.2,3,31.1,302.8,9020
5000,0.2,4,29.6,293.8,8460
5000,0.2,5,30.5,287.6,8150
5000,0.2,6,33.9,284.2,7990
5000,0.3,2,35.6,317.2,9920
5000,0.3,3,32.8,308.5,9320
5000,0.3,4,31.2,299.2,8740
5000,0.3,5,31.9,292.4,8410
5000,0.3,6,35.4,288.5,8230
5000,0.4,2,38.2,323.6,10350
5000,0.4,3,35.1,314.9,9720
5000,0.4,4,33.4,305.4,9110
5000,0.4,5,34.2,298.2,8750
5000,0.4,6,37.8,293.8,8560
6000,0.2,2,32.5,308.6,9420
6000,0.2,3,30.2,301.2,8890
6000,0.2,4,28.9,292.8,8350
6000,0.2,5,30.1,287.2,8050
6000,0.2,6,33.6,284.5,7920
6000,0.3,2,34.4,314.8,9750
6000,0.3,3,31.9,306.9,9150
6000,0.3,4,30.5,298.2,8590
6000,0.3,5,31.6,291.8,8270
6000,0.3,6,35.2,287.9,8090
6000,0.4,2,37.1,321.5,10180
6000,0.4,3,34.2,313.2,9550
6000,0.4,4,32.6,304.2,8960
6000,0.4,5,33.5,297.4,8610
6000,0.4,6,37.4,292.8,8420
6000,0.5,2,40.5,328.9,10720
6000,0.5,3,37.3,320.4,10050
6000,0.5,4,35.4,311.2,9420
6000,0.5,5,36.2,303.8,9050
6000,0.5,6,40.1,298.6,8840
7000,0.2,2,31.8,306.4,9280
7000,0.2,3,29.8,299.8,8760
7000,0.2,4,28.6,291.9,8230
7000,0.2,5,30.0,286.8,7940
7000,0.2,6,33.8,284.2,7820
7000,0.3,2,33.9,312.6,9620
7000,0.3,3,31.6,305.4,9040
7000,0.3,4,30.3,297.2,8480
7000,0.3,5,31.5,291.2,8170
7000,0.3,6,35.5,287.4,8000
7000,0.4,2,36.8,319.8,10050
7000,0.4,3,34.1,312.1,9440
7000,0.4,4,32.7,303.6,8860
7000,0.4,5,33.7,296.8,8520
7000,0.4,6,37.9,292.2,8340
7000,0.5,2,40.2,327.4,10590
7000,0.5,3,37.1,319.2,9940
7000,0.5,4,35.3,310.4,9320
7000,0.5,5,36.4,303.2,8970
7000,0.5,6,40.6,298.1,8770
8000,0.3,2,33.2,311.2,9520
8000,0.3,3,31.2,304.8,8960
8000,0.3,4,30.1,296.9,8420
8000,0.3,5,31.7,291.6,8120
8000,0.3,6,36.1,288.2,7960
8000,0.4,2,36.4,318.6,9940
8000,0.4,3,34.0,311.8,9360
8000,0.4,4,32.8,303.9,8790
8000,0.4,5,34.1,297.5,8470
8000,0.4,6,38.5,293.1,8300
8000,0.5,2,39.8,326.2,10480
8000,0.5,3,37.0,318.6,9850
8000,0.5,4,35.4,310.1,9260
8000,0.5,5,36.8,303.6,8920
8000,0.5,6,41.2,299.2,8730
8000,0.6,2,44.2,334.8,11050
8000,0.6,3,40.9,327.2,10380
8000,0.6,4,38.8,318.4,9750
8000,0.6,5,40.1,311.2,9380
8000,0.6,6,45.3,306.4,9170
9000,0.3,2,32.8,310.2,9450
9000,0.3,3,31.0,304.2,8920
9000,0.3,4,30.2,296.8,8390
9000,0.3,5,32.1,292.1,8100
9000,0.3,6,36.8,289.1,7950
9000,0.4,2,36.1,317.8,9880
9000,0.4,3,33.9,311.4,9310
9000,0.4,4,32.9,304.2,8760
9000,0.4,5,34.5,298.2,8450
9000,0.4,6,39.2,294.2,8290
9000,0.5,2,39.5,325.6,10420
9000,0.5,3,37.2,318.4,9810
9000,0.5,4,35.7,310.6,9230
9000,0.5,5,37.3,304.2,8900
9000,0.5,6,42.1,300.1,8710
9000,0.6,2,43.8,334.2,10990
9000,0.6,3,41.1,326.9,10340
9000,0.6,4,39.2,318.8,9730
9000,0.6,5,40.8,311.8,9370
9000,0.6,6,46.2,307.2,9170
10000,0.4,2,35.9,317.2,9850
10000,0.4,3,34.1,311.2,9290
10000,0.4,4,33.2,304.6,8750
10000,0.4,5,34.9,298.9,8450
10000,0.4,6,39.8,295.2,8300
10000,0.5,2,39.3,325.2,10390
10000,0.5,3,37.4,318.8,9790
10000,0.5,4,36.1,311.2,9220
10000,0.5,5,37.9,305.1,8900
10000,0.5,6,42.9,301.2,8720
10000,0.6,2,43.5,333.8,10970
10000,0.6,3,41.3,327.2,10330
