epoch=1 train_loss=2.4531 val_loss=2.3891 val_accuracy=0.2341
epoch=2 train_loss=2.1872 val_loss=2.1234 val_accuracy=0.2867
epoch=3 train_loss=1.9823 val_loss=1.9456 val_accuracy=0.3421
epoch=4 train_loss=1.8234 val_loss=1.8012 val_accuracy=0.3889
epoch=5 train_loss=1.6945 val_loss=1.6834 val_accuracy=0.4312
epoch=6 train_loss=1.5823 val_loss=1.5691 val_accuracy=0.4756
epoch=7 train_loss=1.4891 val_loss=1.4823 val_accuracy=0.5123
epoch=8 train_loss=1.4012 val_loss=1.3945 val_accuracy=0.5487
epoch=9 train_loss=1.3334 val_loss=1.3289 val_accuracy=0.5789
epoch=10 train_loss=1.2756 val_loss=1.2634 val_accuracy=0.6012
epoch=11 train_loss=1.2289 val_loss=1.2145 val_accuracy=0.6234
epoch=12 train_loss=1.1823 val_loss=1.1678 val_accuracy=0.6389
epoch=13 train_loss=1.1445 val_loss=1.1312 val_accuracy=0.6512
epoch=14 train_loss=1.1123 val_loss=1.1023 val_accuracy=0.6623
epoch=15 train_loss=1.0834 val_loss=1.0789 val_accuracy=0.6734
epoch=16 train_loss=1.0567 val_loss=1.0534 val_accuracy=0.6856
epoch=17 train_loss=1.0312 val_loss=1.0312 val_accuracy=0.6945
epoch=18 train_loss=1.0089 val_loss=1.0123 val_accuracy=0.7023
epoch=19 train_loss=0.9878 val_loss=0.9945 val_accuracy=0.7112
epoch=20 train_loss=0.9645 val_loss=0.9756 val_accuracy=0.7201
epoch=21 train_loss=0.9423 val_loss=0.9589 val_accuracy=0.7289
epoch=22 train_loss=0.9234 val_loss=0.9445 val_accuracy=0.7345
epoch=23 train_loss=0.9012 val_loss=0.9267 val_accuracy=0.7423
epoch=24 train_loss=0.8823 val_loss=0.9112 val_accuracy=0.7489
epoch=25 train_loss=0.8645 val_loss=0.8967 val_accuracy=0.7556
epoch=26 train_loss=0.8467 val_loss=0.8823 val_accuracy=0.7623
epoch=27 train_loss=0.8312 val_loss=0.8689 val_accuracy=0.7678
epoch=28 train_loss=0.8145 val_loss=0.8534 val_accuracy=0.7734
epoch=29 train_loss=0.7989 val_loss=0.8401 val_accuracy=0.7789
epoch=30 train_loss=0.7823 val_loss=0.8267 val_accuracy=0.7845
epoch=31 train_loss=0.7678 val_loss=0.8145 val_accuracy=0.7901
epoch=32 train_loss=0.7534 val_loss=0.8023 val_accuracy=0.7956
epoch=33 train_loss=0.7389 val_loss=0.7889 val_accuracy=0.8012
epoch=34 train_loss=0.7256 val_loss=0.7767 val_accuracy=0.8067
epoch=35 train_loss=0.7123 val_loss=0.7645 val_accuracy=0.8123
epoch=36 train_loss=0.6989 val_loss=0.7534 val_accuracy=0.8178
epoch=37 train_loss=0.6867 val_loss=0.7423 val_accuracy=0.8223
epoch=38 train_loss=0.6745 val_loss=0.7312 val_accuracy=0.8267
epoch=39 train_loss=0.6623 val_loss=0.7223 val_accuracy=0.8312
epoch=40 train_loss=0.6512 val_loss=0.7145 val_accuracy=0.8345
epoch=41 train_loss=0.6389 val_loss=0.7067 val_accuracy=0.8378
epoch=42 train_loss=0.6278 val_loss=0.6989 val_accuracy=0.8412
epoch=43 train_loss=0.6167 val_loss=0.6923 val_accuracy=0.8434
epoch=44 train_loss=0.6067 val_loss=0.6867 val_accuracy=0.8456
epoch=45 train_loss=0.5967 val_loss=0.6812 val_accuracy=0.8478
epoch=46 train_loss=0.5878 val_loss=0.6767 val_accuracy=0.8489
