CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,OnlineSecurity,TechSupport,PaymentMethod,Churn
CUST001,34,Male,12,65.5,786.0,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST002,45,Female,48,89.3,4286.4,Two year,DSL,Yes,Yes,Credit card,No
CUST003,28,Male,6,45.2,271.2,Month-to-month,DSL,No,No,Mailed check,Yes
CUST004,52,Female,60,95.7,5742.0,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST005,39,Male,24,72.4,1737.6,One year,Fiber optic,No,Yes,Credit card,No
CUST006,23,Female,3,38.5,115.5,Month-to-month,DSL,No,No,Electronic check,Yes
CUST007,61,Male,72,110.2,7934.4,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST008,31,Female,8,52.3,,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST009,47,Male,36,78.9,2840.4,One year,DSL,Yes,No,Credit card,No
CUST010,29,Female,15,61.2,918.0,Month-to-month,Fiber optic,No,Yes,Mailed check,No
CUST011,55,Male,54,98.4,5313.6,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST012,26,Female,4,42.7,170.8,Month-to-month,DSL,No,No,Electronic check,Yes
CUST013,43,Male,28,75.6,2116.8,One year,Fiber optic,Yes,No,Credit card,No
CUST014,38,Female,18,68.3,1229.4,Month-to-month,DSL,No,Yes,Electronic check,Yes
CUST015,50,Male,66,105.8,6982.8,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST016,24,Female,2,35.9,71.8,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST017,57,Male,42,85.2,3578.4,One year,DSL,Yes,Yes,Bank transfer,No
CUST018,33,Female,10,55.7,557.0,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST019,46,Male,30,80.1,2403.0,One year,Fiber optic,No,Yes,Credit card,No
CUST020,27,Female,5,48.3,241.5,Month-to-month,DSL,No,No,Mailed check,Yes
CUST021,,Male,58,92.6,5370.8,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST022,35,Female,14,63.8,893.2,Month-to-month,DSL,No,No,Electronic check,Yes
CUST023,49,Male,44,88.5,3894.0,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST024,30,Female,7,50.2,351.4,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST025,53,Male,62,100.3,6218.6,Two year,DSL,Yes,Yes,Bank transfer,No
CUST026,25,Female,3,40.1,120.3,Month-to-month,DSL,No,No,Electronic check,Yes
CUST027,59,Male,70,108.9,7623.0,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST028,32,Female,9,54.6,491.4,Month-to-month,Fiber optic,No,Yes,Mailed check,Yes
CUST029,44,Male,38,82.7,3142.6,One year,Fiber optic,Yes,No,Bank transfer,No
CUST030,28,Female,6,47.5,,Month-to-month,DSL,No,No,Electronic check,Yes
CUST031,56,Male,56,96.8,5420.8,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST032,22,Female,1,32.5,32.5,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST033,48,Male,40,86.4,3456.0,Two year,DSL,Yes,Yes,Bank transfer,No
CUST034,36,Female,16,66.9,1070.4,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST035,51,Male,64,102.5,6560.0,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST036,29,Female,8,53.1,424.8,Month-to-month,DSL,No,Yes,Electronic check,No
CUST037,60,Male,68,107.2,7289.6,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST038,31,Female,11,58.4,642.4,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST039,45,Male,34,79.8,2713.2,One year,Fiber optic,Yes,Yes,Credit card,No
CUST040,26,Female,4,43.9,175.6,Month-to-month,DSL,No,No,Mailed check,Yes
CUST041,54,Male,50,94.1,4705.0,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST042,37,Female,19,69.7,1324.3,Month-to-month,DSL,No,Yes,Electronic check,Yes
CUST043,42,Male,26,76.3,1983.8,One year,Fiber optic,No,Yes,Credit card,No
CUST044,30,Female,7,51.8,362.6,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST045,58,Male,60,99.5,5970.0,Two year,DSL,Yes,Yes,Credit card,No
CUST046,24,Female,2,37.2,74.4,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST047,47,Male,46,90.6,4167.6,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST048,33,Female,13,62.5,812.5,Month-to-month,DSL,No,No,Electronic check,Yes
CUST049,52,Male,52,97.3,5059.6,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST050,27,Female,5,46.8,234.0,Month-to-month,DSL,No,No,Mailed check,Yes
CUST051,55,Male,58,98.9,5736.2,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST052,34,Female,15,64.7,,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
CUST053,49,Male,41,87.2,3575.2,One year,DSL,Yes,Yes,Credit card,No
CUST054,28,Female,6,49.3,295.8,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST055,61,Male,71,109.5,7774.5,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST056,25,Female,3,41.4,124.2,Month-to-month,DSL,No,No,Electronic check,Yes
CUST057,53,Male,55,95.2,5236.0,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST058,32,Female,10,56.9,569.0,Month-to-month,Fiber optic,No,No,Mailed check,Yes
CUST059,46,Male,37,81.5,3015.5,One year,Fiber optic,Yes,No,Bank transfer,No
CUST060,29,Female,8,52.7,421.6,Month-to-month,DSL,No,Yes,Electronic check,No
CUST061,57,Male,63,103.8,6539.4,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST062,23,Female,1,34.8,34.8,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST063,50,Male,47,91.4,4295.8,Two year,DSL,Yes,Yes,Bank transfer,No
CUST064,35,Female,17,67.5,1147.5,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST065,48,Male,39,84.9,3311.1,One year,Fiber optic,Yes,Yes,Credit card,No
CUST066,31,Female,9,55.3,497.7,Month-to-month,DSL,No,No,Electronic check,Yes
CUST067,59,Male,67,106.4,7128.8,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST068,26,Female,4,44.6,178.4,Month-to-month,Fiber optic,No,Yes,Mailed check,Yes
CUST069,54,Male,59,100.7,5941.3,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST070,38,Female,20,70.8,1416.0,Month-to-month,DSL,No,No,Electronic check,Yes
CUST071,43,Male,29,77.9,2259.1,One year,Fiber optic,No,Yes,Bank transfer,No
CUST072,30,Female,7,53.4,,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST073,56,Male,61,101.9,6215.9,Two year,DSL,Yes,Yes,Credit card,No
CUST074,24,Female,2,38.7,77.4,Month-to-month,DSL,No,No,Electronic check,Yes
CUST075,51,Male,53,96.5,5114.5,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST076,27,Female,5,48.9,244.5,Month-to-month,DSL,No,No,Mailed check,Yes
CUST077,60,Male,69,108.1,7458.9,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST078,33,Female,12,60.3,723.6,Month-to-month,Fiber optic,No,Yes,Electronic check,No
CUST079,47,Male,43,88.7,3814.1,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST080,29,Female,8,54.1,432.8,Month-to-month,DSL,No,No,Electronic check,Yes
CUST081,55,Male,57,97.6,5563.2,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST082,22,Female,1,33.9,33.9,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST083,49,Male,45,89.8,4041.0,Two year,DSL,Yes,Yes,Bank transfer,No
CUST084,36,Female,18,68.9,1240.2,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST085,52,Male,51,95.8,4885.8,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST086,28,Female,6,50.7,304.2,Month-to-month,Fiber optic,No,No,Mailed check,Yes
CUST087,58,Male,65,104.3,6779.5,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST088,32,Female,11,59.2,651.2,Month-to-month,DSL,No,Yes,Electronic check,Yes
CUST089,45,Male,35,80.6,2821.0,One year,Fiber optic,Yes,No,Credit card,No
CUST090,26,Female,4,45.3,181.2,Month-to-month,DSL,No,No,Electronic check,Yes
CUST091,53,Male,54,98.2,5302.8,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST092,37,Female,19,71.4,,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
CUST093,42,Male,27,78.5,2119.5,One year,DSL,Yes,Yes,Credit card,No
CUST094,31,Female,9,56.8,511.2,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST095,57,Male,62,102.1,6330.2,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST096,25,Female,3,42.5,127.5,Month-to-month,DSL,No,No,Mailed check,Yes
CUST097,50,Male,48,92.3,4430.4,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST098,34,Female,14,65.1,911.4,Month-to-month,DSL,No,No,Electronic check,Yes
CUST099,46,Male,36,83.4,3002.4,One year,Fiber optic,No,Yes,Credit card,No
CUST100,30,Female,8,55.9,447.2,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST101,59,Male,66,105.2,6943.2,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST102,23,Female,2,39.4,78.8,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST103,48,Male,42,87.9,3691.8,Two year,DSL,Yes,Yes,Credit card,No
CUST104,35,Female,16,66.3,1060.8,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST105,51,Male,50,94.7,4735.0,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST106,27,Female,5,49.8,249.0,Month-to-month,DSL,No,Yes,Mailed check,Yes
CUST107,56,Male,60,99.8,5988.0,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST108,32,Female,10,58.6,586.0,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST109,44,Male,32,79.2,2534.4,One year,Fiber optic,Yes,Yes,Bank transfer,No
CUST110,29,Female,7,52.9,370.3,Month-to-month,DSL,No,No,Electronic check,Yes
CUST111,54,Male,56,96.1,5381.6,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST112,24,Female,2,40.8,81.6,Month-to-month,DSL,No,No,Electronic check,Yes
CUST113,49,Male,44,90.1,3964.4,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST114,36,Female,17,69.4,,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
CUST115,52,Male,53,97.8,5183.4,Two year,DSL,Yes,Yes,Credit card,No
CUST116,28,Female,6,51.2,307.2,Month-to-month,Fiber optic,No,No,Mailed check,Yes
CUST117,60,Male,70,110.7,7749.0,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST118,31,Female,11,61.8,679.8,Month-to-month,DSL,No,No,Electronic check,No
CUST119,45,Male,38,85.8,3260.4,One year,Fiber optic,Yes,No,Credit card,No
CUST120,26,Female,4,46.7,186.8,Month-to-month,DSL,No,No,Electronic check,Yes
CUST121,55,Male,59,99.3,5858.7,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST122,33,Female,13,63.5,825.5,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
CUST123,47,Male,41,86.2,3534.2,Two year,DSL,Yes,Yes,Credit card,No
CUST124,30,Female,8,54.8,438.4,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST125,58,Male,64,103.4,6617.6,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST126,25,Female,3,43.2,129.6,Month-to-month,DSL,No,No,Mailed check,Yes
CUST127,53,Male,52,95.4,4960.8,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST128,34,Female,15,64.2,963.0,Month-to-month,DSL,No,No,Electronic check,Yes
CUST129,46,Male,37,82.1,3037.7,One year,Fiber optic,No,Yes,Credit card,No
CUST130,29,Female,7,53.6,375.2,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST131,57,Male,63,104.6,6589.8,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST132,22,Female,1,35.3,35.3,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST133,50,Male,49,93.2,4566.8,Two year,DSL,Yes,Yes,Credit card,No
CUST134,35,Female,18,70.1,1261.8,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST135,48,Male,40,88.3,3532.0,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST136,31,Female,9,57.4,516.6,Month-to-month,DSL,No,Yes,Mailed check,Yes
CUST137,59,Male,68,107.8,7330.4,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST138,27,Female,5,50.5,252.5,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST139,54,Male,58,100.9,5852.2,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST140,38,Female,21,72.6,1524.6,Month-to-month,DSL,No,Yes,Electronic check,No
CUST141,43,Male,30,80.7,2421.0,One year,Fiber optic,Yes,No,Credit card,No
CUST142,30,Female,8,55.1,,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST143,56,Male,61,102.8,6270.8,Two year,DSL,Yes,Yes,Bank transfer,No
CUST144,24,Female,2,41.9,83.8,Month-to-month,DSL,No,No,Electronic check,Yes
CUST145,51,Male,54,98.6,5324.4,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST146,28,Female,6,52.4,314.4,Month-to-month,DSL,No,No,Mailed check,Yes
CUST147,60,Male,71,111.3,7902.3,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST148,33,Female,12,62.8,753.6,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST149,47,Male,43,89.4,3844.2,Two year,DSL,Yes,Yes,Credit card,No
CUST150,29,Female,7,54.3,380.1,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
CUST151,55,Male,57,98.8,5631.6,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST152,23,Female,1,36.5,36.5,Month-to-month,No,No internet service,No internet service,Electronic check,Yes
CUST153,49,Male,46,91.7,4218.2,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST154,36,Female,19,71.8,1364.2,Month-to-month,DSL,No,No,Electronic check,Yes
CUST155,52,Male,52,96.2,5002.4,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST156,27,Female,5,48.6,243.0,Month-to-month,DSL,No,No,Mailed check,Yes
CUST157,58,Male,65,105.9,6883.5,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST158,32,Female,11,60.7,667.7,Month-to-month,Fiber optic,No,Yes,Electronic check,No
CUST159,45,Male,35,81.8,2863.0,One year,Fiber optic,Yes,Yes,Bank transfer,No
CUST160,26,Female,4,47.1,188.4,Month-to-month,DSL,No,No,Electronic check,Yes
CUST161,53,Male,55,99.6,5478.0,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST162,37,Female,20,73.4,1468.0,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST163,42,Male,28,79.5,2226.0,One year,DSL,Yes,Yes,Bank transfer,No
CUST164,31,Female,9,58.9,530.1,Month-to-month,Fiber optic,No,No,Electronic check,Yes
CUST165,57,Male,63,106.1,6684.3,Two year,Fiber optic,Yes,Yes,Credit card,No
CUST166,25,Female,3,44.8,134.4,Month-to-month,DSL,No,No,Mailed check,Yes
CUST167,50,Male,49,94.5,4630.5,Two year,Fiber optic,Yes,Yes,Bank transfer,No
CUST168,34,Female,15,66.7,1000.5,Month-to-month,DSL,No,Yes,Electronic check,Yes
CUST169,46,Male,39,87.6,3416.4,One year,Fiber optic,No,Yes,Credit card,No
