customer_id,amount,transaction_date,status
"123",  125.60,2023-03-05,completed
234," 890.00 ",2023-03-06,completed
"456", 45.30 ,2023-03-07,pending
123,"  89.50",2023-03-08,completed
"234",150.75  ,2023-03-09,completed
456,"  230.00 ",2023-03-10,completed
"345"," 420.80",2023-03-11,failed
123,  95.20 ,2023-03-12,completed
"234","  670.30",2023-03-13,completed
456," 155.90",2023-03-14,completed
"178",  380.00,2023-03-15,pending
234,"120.45 ",2023-03-16,completed
"456","  95.75",2023-03-17,completed
123," 200.00 ",2023-04-01,completed
"345",  510.60,2023-04-02,completed
178," 75.30 ",2023-04-03,completed
"234","  340.80",2023-04-04,completed
456,  125.50 ,2023-04-05,completed
"289","  890.00",2023-04-06,completed
123," 145.75",2023-04-07,pending
"234",  280.90,2023-04-08,completed
345," 65.40 ",2023-04-09,failed
"456","  175.20",2023-04-10,completed
178,  220.00 ,2023-04-11,completed
"412","  560.75",2023-04-12,completed
123," 88.30",2023-04-13,completed
"234","  195.50",2023-04-14,completed
456,  310.00 ,2023-04-15,completed
"289"," 45.60",2023-05-01,completed
178,"  155.80",2023-05-02,completed
"345",  275.40,2023-05-03,completed
123," 110.90 ",2023-05-04,completed
"234","  420.60",2023-05-05,completed
456," 88.75",2023-05-06,failed
"412",  340.50,2023-05-07,completed
178," 92.30",2023-05-08,completed
"289","  180.00",2023-05-09,completed
123,  75.80 ,2023-05-10,completed
"234"," 215.40",2023-05-11,completed
456,"  245.90",2023-05-12,completed
"345",  130.20,2023-05-13,completed
178," 68.50 ",2023-05-14,pending
"412","  195.80",2023-05-15,completed
289,  420.30 ,2023-05-16,completed
"123"," 95.60",2023-05-17,completed
234,"  380.25",2023-05-18,completed
"456",  142.80,2023-05-19,completed
345," 85.90",2023-05-20,completed
"178","  105.70",2023-05-21,completed
412,  275.40 ,2023-05-22,completed
