customer_id,amount,transaction_date,status
"123"," 150.50",2023-01-15,completed
456, 200.75 ,2023-01-16,pending
"123",  99.99  ,2023-01-17,completed
"234", 450.00 ,2023-01-18,completed
456,"  320.50",2023-01-19,completed
"123"," 275.25",2023-01-20,failed
789,  550.00  ,2023-01-21,completed
"234","  180.75",2023-01-22,pending
456, 125.50 ,2023-01-23,completed
"321",  75.00  ,2023-01-24,completed
"123"," 410.80",2023-01-25,completed
789, 95.50 ,2023-01-26,pending
"234","  220.00",2023-01-27,completed
456,  88.25  ,2023-01-28,completed
"123", 165.75 ,2023-01-29,completed
"321","  520.00",2023-01-30,completed
789, 380.50 ,2023-01-31,completed
"234",  95.00  ,2023-02-01,pending
456," 145.75",2023-02-02,completed
"123","  200.50",2023-02-03,completed
"400", 680.00 ,2023-02-04,completed
789,  125.25  ,2023-02-05,completed
"234"," 175.50",2023-02-06,completed
"321",  88.00  ,2023-02-07,failed
456, 310.00 ,2023-02-08,completed
"123","  125.00",2023-02-09,completed
"400", 425.75 ,2023-02-10,completed
789,  265.00  ,2023-02-11,completed
"234"," 340.25",2023-02-12,completed
456,  195.50  ,2023-02-13,pending
"123", 78.50 ,2023-02-14,completed
"500","  750.00",2023-02-15,completed
"321", 205.75 ,2023-02-16,completed
789,  450.00  ,2023-02-17,completed
"234"," 115.50",2023-02-18,completed
456, 280.25 ,2023-02-19,completed
"123","  95.75",2023-02-20,completed
"400",  180.50  ,2023-02-21,completed
"500"," 320.00",2023-02-22,pending
789, 155.75 ,2023-02-23,completed
"234","  88.00",2023-02-24,completed
456,  225.50  ,2023-02-25,completed
"123", 140.25 ,2023-02-26,completed
"321","  310.00",2023-02-27,completed
"400", 95.75 ,2023-02-28,failed
789,  520.00  ,2023-03-01,completed
"234"," 205.00",2023-03-02,completed
456, 165.75 ,2023-03-03,completed
"500","  280.50",2023-03-04,completed
"123", 88.00 ,2023-03-05,completed
