humidity,pressure,wind_speed,temperature
65.2,1013.5,12.3,22.1
72.8,1008.2,8.5,19.4
58.3,1018.7,15.2,24.3
81.5,995.4,6.8,16.2
45.2,1022.3,18.9,26.7
69.4,1005.8,10.1,20.5
54.7,1019.2,14.6,25.1
78.9,998.7,7.3,17.8
62.1,1015.4,11.8,23.2
48.6,1024.1,17.5,27.3
75.3,1002.3,9.2,18.9
56.8,1020.5,13.4,25.8
83.2,993.8,5.9,15.4
41.7,1025.7,19.8,28.1
67.5,1011.2,10.9,21.7
52.9,1021.8,16.3,26.4
79.6,997.5,8.1,17.2
63.4,1014.9,12.7,22.8
46.1,1023.4,18.2,27.6
71.2,1006.7,9.6,19.8
57.5,1019.8,14.1,25.5
82.4,994.6,6.5,15.9
43.8,1024.9,19.2,27.9
68.7,1009.3,11.4,21.2
55.3,1020.9,15.7,26.1
77.1,999.8,7.8,18.1
61.9,1016.2,12.1,23.5
49.4,1023.6,17.8,27.1
74.6,1003.5,9.7,19.3
59.2,1018.1,13.9,24.7
80.8,996.2,6.2,16.5
44.5,1025.2,18.6,28.3
66.3,1012.8,11.2,22.4
53.6,1021.3,15.9,26.2
78.2,998.9,7.6,17.6
64.7,1014.1,12.5,22.9
47.3,1024.7,18.4,27.8
70.9,1007.4,10.3,20.2
56.1,1019.5,14.8,25.3
81.7,995.1,6.7,16.1
42.9,1025.5,19.5,28.2
67.8,1010.6,11.6,21.5
54.2,1020.2,15.4,25.9
76.5,1000.7,8.4,18.5
62.6,1015.7,12.9,23.1
48.9,1023.9,17.1,27.4
73.4,1004.8,9.4,19.6
58.7,1018.4,14.3,24.9
82.1,994.9,6.1,15.7
43.2,1025.8,19.1,28.4
66.9,1011.9,10.7,21.9
55.8,1020.6,15.1,25.7
77.8,999.3,7.9,17.9
63.1,1015.3,12.4,22.7
46.7,1024.3,18.7,27.7
72.5,1005.9,9.8,19.7
57.9,1019.1,14.5,25.2
80.3,996.7,6.4,16.4
44.1,1024.5,19.4,28.1
68.2,1010.1,11.3,21.4
52.4,1021.7,16.1,26.5
79.1,998.2,7.5,17.5
61.5,1016.8,12.2,23.4
49.8,1023.2,17.9,27.2
75.7,1002.6,9.1,18.8
59.6,1017.9,13.7,24.6
83.5,993.5,5.8,15.2
42.3,1026.1,19.7,28.5
67.1,1012.4,11.1,22.1
54.9,1020.4,15.6,25.8
76.9,1001.2,8.2,18.3
64.3,1014.6,12.6,22.6
47.6,1024.1,18.1,27.5
71.8,1006.3,10.2,20.1
56.4,1019.7,14.7,25.4
81.2,995.8,6.6,16.3
43.5,1025.3,19.3,28.3
66.6,1011.5,11.8,21.8
53.1,1021.5,15.3,26.3
78.5,998.6,7.7,17.7
62.3,1015.9,12.8,23.3
48.2,1023.7,17.6,27.6
74.1,1004.1,9.5,19.5
58.1,1018.6,14.2,25.1
82.7,994.3,6.3,15.8
41.9,1025.9,19.6,28.6
68.5,1009.8,11.5,21.3
55.6,1020.1,15.8,25.6
77.4,1000.4,8.3,18.2
63.8,1014.3,12.3,22.5
46.9,1024.6,18.5,27.9
73.2,1005.2,9.9,19.9
57.3,1019.3,14.9,25.7
80.6,996.5,6.9,16.7
44.8,1024.8,18.9,28.2
67.4,1011.7,10.8,21.6
52.7,1021.9,16.4,26.6
