timestamp,temperature,pressure,humidity,ph_level
2024-01-15T08:00:00Z,18.5,1015.3,68.2,7.0
2024-01-15T09:00:00Z,19.8,1014.8,66.5,7.1
2024-01-15T10:00:00Z,21.2,1013.9,64.8,7.2
2024-01-15T11:00:00Z,23.4,1012.5,62.3,7.3
2024-01-15T12:00:00Z,25.6,1011.2,59.7,7.4
2024-01-15T13:00:00Z,27.3,1010.4,57.2,7.3
2024-01-15T14:00:00Z,28.9,1009.8,55.6,7.2
2024-01-15T15:00:00Z,29.5,1009.3,54.1,7.1
2024-01-15T16:00:00Z,28.7,1009.7,56.3,7.0
2024-01-15T17:00:00Z,26.8,1010.5,59.8,6.9
2024-01-15T18:00:00Z,24.3,1011.8,63.4,6.8
2024-01-15T19:00:00Z,22.1,1013.2,67.2,6.9
2024-01-15T20:00:00Z,20.4,1014.5,71.5,7.0
2024-01-15T21:00:00Z,19.2,1015.7,74.8,7.1
2024-01-15T22:00:00Z,18.3,1016.4,77.3,7.2
2024-01-15T23:00:00Z,17.6,1017.1,79.5,7.3
2024-01-16T00:00:00Z,17.1,1017.8,81.2,7.2
2024-01-16T01:00:00Z,16.8,1018.3,82.6,7.1
2024-01-16T02:00:00Z,16.5,1018.9,83.8,7.0
2024-01-16T03:00:00Z,16.2,1019.4,84.5,6.9
2024-01-16T04:00:00Z,15.9,1019.8,85.1,6.8
2024-01-16T05:00:00Z,15.7,1020.1,85.7,6.9
2024-01-16T06:00:00Z,15.5,1020.5,86.2,7.0
2024-01-16T07:00:00Z,16.3,1020.2,84.9,7.1
2024-01-16T08:00:00Z,17.8,1019.6,82.3,7.2
2024-01-16T09:00:00Z,19.6,1018.8,78.6,7.3
2024-01-16T10:00:00Z,21.7,1017.9,74.2,7.4
2024-01-16T11:00:00Z,23.9,1016.7,69.5,7.5
2024-01-16T12:00:00Z,26.1,1015.3,64.8,7.4
2024-01-16T13:00:00Z,28.2,1014.1,60.2,7.3
2024-01-16T14:00:00Z,30.1,1013.2,56.7,7.2
2024-01-16T15:00:00Z,31.4,1012.6,53.9,7.1
2024-01-16T16:00:00Z,32.1,1012.3,51.8,7.0
2024-01-16T17:00:00Z,31.8,1012.5,52.4,6.9
2024-01-16T18:00:00Z,30.2,1013.1,55.6,6.8
2024-01-16T19:00:00Z,27.9,1014.3,60.1,6.7
2024-01-16T20:00:00Z,25.4,1015.6,65.3,6.8
2024-01-16T21:00:00Z,23.2,1016.9,70.4,6.9
2024-01-16T22:00:00Z,21.5,1017.8,74.8,7.0
2024-01-16T23:00:00Z,20.1,1018.6,78.2,7.1
2024-01-17T00:00:00Z,19.3,1019.2,80.5,7.2
2024-01-17T01:00:00Z,18.7,1019.7,82.1,7.3
2024-01-17T02:00:00Z,18.2,1020.1,83.4,7.2
2024-01-17T03:00:00Z,17.9,1020.4,84.3,7.1
2024-01-17T04:00:00Z,17.5,1020.8,85.0,7.0
2024-01-17T05:00:00Z,17.3,1021.1,85.6,6.9
2024-01-17T06:00:00Z,17.1,1021.3,86.1,6.8
2024-01-17T07:00:00Z,18.0,1021.0,84.5,6.9
2024-01-17T08:00:00Z,19.4,1020.4,81.7,7.0
2024-01-17T09:00:00Z,21.3,1019.5,77.9,7.1
2024-01-17T10:00:00Z,23.5,1018.4,73.2,7.2
2024-01-17T11:00:00Z,25.8,1017.1,67.8,7.3
2024-01-17T12:00:00Z,27.9,1015.8,62.5,7.4
2024-01-17T13:00:00Z,29.7,1014.6,57.9,7.5
2024-01-17T14:00:00Z,31.2,1013.7,54.2,7.6
2024-01-17T15:00:00Z,32.3,1013.1,51.6,7.5
2024-01-17T16:00:00Z,32.8,1012.8,49.8,7.4
2024-01-17T17:00:00Z,32.4,1013.0,50.5,7.3
2024-01-17T18:00:00Z,31.1,1013.6,53.1,7.2
2024-01-17T19:00:00Z,28.6,1014.7,58.3,7.1
2024-01-17T20:00:00Z,26.2,1015.9,64.2,7.0
