date,temperature_f,sales_dollars
2024-08-14,72.3,13245.80
2024-08-15,75.8,14102.35
2024-08-16,78.2,14856.90
2024-08-17,76.5,14320.45
2024-08-18,74.1,13678.20
2024-08-19,71.9,13156.75
2024-08-20,69.4,12534.60
2024-08-21,73.6,13589.40
2024-08-22,77.9,14723.85
2024-08-23,80.3,15234.50
2024-08-24,82.1,15876.30
2024-08-25,84.5,16345.90
2024-08-26,81.7,15512.40
2024-08-27,79.8,15067.80
2024-08-28,77.3,14456.25
2024-08-29,75.6,14023.70
2024-08-30,73.2,13489.55
2024-08-31,70.8,12967.40
2024-09-01,68.5,12345.80
2024-09-02,71.2,13087.65
2024-09-03,74.7,13945.20
2024-09-04,76.9,14567.35
2024-09-05,79.4,15123.70
2024-09-06,81.8,15678.45
2024-09-07,83.2,16089.60
2024-09-08,85.6,16723.80
2024-09-09,87.3,17234.55
2024-09-10,89.1,17689.90
2024-09-11,86.4,16934.70
2024-09-12,83.7,16156.35
2024-09-13,80.9,15423.80
2024-09-14,78.4,14789.45
2024-09-15,75.1,13967.20
2024-09-16,72.8,13345.65
2024-09-17,70.3,12734.90
2024-09-18,67.9,12089.35
2024-09-19,65.4,11456.80
2024-09-20,68.7,12367.45
2024-09-21,72.1,13178.90
2024-09-22,74.8,13867.55
2024-09-23,77.6,14623.70
2024-09-24,80.2,15267.40
2024-09-25,82.9,15934.85
2024-09-26,85.1,16534.60
2024-09-27,87.8,17289.75
2024-09-28,90.2,17856.30
2024-09-29,92.5,18423.90
2024-09-30,89.7,17645.20
2024-10-01,86.3,16823.55
2024-10-02,83.1,16034.70
2024-10-03,79.7,15156.45
2024-10-04,76.2,14234.80
2024-10-05,72.6,13367.25
2024-10-06,69.1,12534.70
2024-10-07,65.8,11789.35
2024-10-08,62.4,10967.80
2024-10-09,59.7,10234.55
2024-10-10,63.5,11156.90
2024-10-11,67.3,12089.40
2024-10-12,70.9,12956.75
2024-10-13,74.4,13756.30
2024-10-14,77.1,14467.85
2024-10-15,79.8,15178.60
2024-10-16,82.4,15823.45
2024-10-17,84.9,16456.90
2024-10-18,87.2,17067.35
2024-10-19,89.6,17678.80
2024-10-20,91.8,18234.55
2024-10-21,88.9,17489.70
2024-10-22,85.5,16634.25
2024-10-23,81.9,15756.80
2024-10-24,78.3,14878.45
2024-10-25,74.5,13934.60
2024-10-26,70.7,12989.75
2024-10-27,67.2,12134.90
2024-10-28,63.8,11267.35
2024-10-29,60.1,10389.80
2024-10-30,56.9,9634.55
2024-10-31,53.2,8967.20
2024-11-01,57.6,10123.45
2024-11-02,61.4,11034.70
2024-11-03,65.8,11923.85
2024-11-04,69.5,12756.40
2024-11-05,73.1,13534.95
2024-11-06,76.7,14367.50
2024-11-07,80.3,15189.65
2024-11-08,83.6,15967.80
2024-11-09,86.8,16734.25
2024-11-10,89.4,17456.70
2024-11-11,91.9,18089.35
