customer_id,transaction_id,purchase_date,product_name,amount,quantity
1001,TXN001,2023-01-15,Laptop,1299.99,1
1001,TXN002,2023-03-22,Mouse,29.99,2
1002,TXN003,2023-01-18,Keyboard,89.99,1
1002,TXN004,2023-04-10,Monitor,449.99,1
1003,TXN005,2023-02-05,Headphones,129.99,1
1003,TXN006,2023-05-12,Laptop,1499.99,1
1003,TXN007,2023-08-20,Mouse,24.99,1
1004,TXN008,2023-02-14,Monitor,399.99,1
1005,TXN009,2023-03-01,Keyboard,79.99,1
1005,TXN010,2023-06-15,Headphones,159.99,1
1006,TXN011,2023-03-10,Laptop,1199.99,1
1007,TXN012,2023-03-25,Mouse,34.99,2
1007,TXN013,2023-07-18,Keyboard,99.99,1
1008,TXN014,2023-04-05,Monitor,549.99,1
1008,TXN015,2023-09-12,Headphones,199.99,1
1009,TXN016,2023-04-20,Laptop,1399.99,1
1010,TXN017,2023-05-08,Mouse,19.99,3
1010,TXN018,2023-08-25,Monitor,479.99,1
1011,TXN019,2023-05-15,Keyboard,69.99,1
1012,TXN020,2023-06-01,Headphones,89.99,2
1012,TXN021,2023-10-10,Laptop,1599.99,1
1013,TXN022,2023-06-12,Mouse,29.99,1
1013,TXN023,2023-09-20,Keyboard,119.99,1
1014,TXN024,2023-06-28,Monitor,629.99,1
1015,TXN025,2023-07-05,Headphones,149.99,1
1015,TXN026,2023-11-15,Laptop,1249.99,1
1016,TXN027,2023-07-18,Mouse,39.99,1
1016,TXN028,2023-10-22,Monitor,499.99,1
1017,TXN029,2023-08-02,Keyboard,89.99,2
1018,TXN030,2023-08-15,Headphones,179.99,1
1018,TXN031,2023-12-01,Laptop,1449.99,1
1019,TXN032,2023-08-28,Mouse,24.99,2
1020,TXN033,2023-09-05,Monitor,399.99,1
1020,TXN034,2023-11-20,Keyboard,79.99,1
1021,TXN035,2023-09-18,Headphones,139.99,1
1022,TXN036,2023-10-01,Laptop,1349.99,1
1022,TXN037,2023-12-15,Mouse,34.99,1
1023,TXN038,2023-10-12,Monitor,559.99,1
1024,TXN039,2023-10-25,Keyboard,99.99,1
1024,TXN040,2024-01-10,Headphones,169.99,1
1025,TXN041,2023-11-05,Laptop,1199.99,1
1025,TXN042,2024-02-14,Mouse,29.99,2
1026,TXN043,2023-11-18,Monitor,449.99,1
1027,TXN044,2023-12-02,Keyboard,89.99,1
1027,TXN045,2024-03-05,Headphones,119.99,1
1028,TXN046,2023-12-15,Laptop,1499.99,1
1029,TXN047,2024-01-08,Mouse,19.99,3
1029,TXN048,2024-03-22,Monitor,529.99,1
1030,TXN049,2024-01-20,Keyboard,79.99,1
1030,TXN050,2024-04-10,Headphones,189.99,1
1031,TXN051,2024-02-02,Laptop,1299.99,1
1032,TXN052,2024-02-15,Mouse,39.99,1
1033,TXN053,2024-02-28,Monitor,599.99,1
1033,TXN054,2024-05-15,Keyboard,109.99,1
1034,TXN055,2024-03-10,Headphones,159.99,1
1035,TXN056,2024-03-25,Laptop,1399.99,1
1035,TXN057,2024-06-20,Mouse,24.99,2
1036,TXN058,2024-04-05,Monitor,479.99,1
1037,TXN059,2024-04-18,Keyboard,89.99,1
1037,TXN060,2024-07-10,Headphones,149.99,1
1038,TXN061,2024-05-01,Laptop,1549.99,1
1039,TXN062,2024-05-15,Mouse,34.99,1
1039,TXN063,2024-08-05,Monitor,449.99,1
1040,TXN064,2024-06-02,Keyboard,99.99,1
1041,TXN065,2024-06-18,Headphones,179.99,1
1041,TXN066,2024-09-12,Laptop,1249.99,1
1042,TXN067,2024-07-01,Mouse,29.99,2
1043,TXN068,2024-07-15,Monitor,559.99,1
1043,TXN069,2024-10-20,Keyboard,79.99,1
1044,TXN070,2024-08-02,Headphones,139.99,1
1045,TXN071,2024-08-18,Laptop,1449.99,1
1045,TXN072,2024-11-05,Mouse,19.99,3
1046,TXN073,2024-09-01,Monitor,499.99,1
1047,TXN074,2024-09-15,Keyboard,89.99,1
1047,TXN075,2024-11-22,Headphones,169.99,1
1048,TXN076,2024-10-02,Laptop,1599.99,1
1049,TXN077,2024-10-18,Mouse,39.99,1
1049,TXN078,2024-12-01,Monitor,629.99,1
1050,TXN079,2024-11-01,Keyboard,109.99,1
1050,TXN080,2024-12-15,Headphones,199.99,1
1001,TXN081,2023-06-10,Monitor,399.99,1
1002,TXN082,2023-09-05,Headphones,129.99,1
1003,TXN083,2023-11-20,Keyboard,89.99,1
1004,TXN084,2024-01-15,Laptop,1349.99,1
1004,TXN085,2024-04-22,Mouse,24.99,1
1005,TXN086,2023-10-10,Monitor,479.99,1
1006,TXN087,2023-12-18,Headphones,159.99,1
1006,TXN088,2024-03-25,Keyboard,79.99,1
1007,TXN089,2024-02-08,Laptop,1299.99,1
1008,TXN090,2024-05-12,Mouse,34.99,2
1009,TXN091,2023-12-05,Monitor,549.99,1
1009,TXN092,2024-06-18,Headphones,149.99,1
1010,TXN093,2024-07-22,Keyboard,99.99,1
1011,TXN094,2023-08-15,Laptop,1499.99,1
1011,TXN095,2024-01-28,Mouse,29.99,1
1012,TXN096,2024-08-10,Monitor,599.99,1
1013,TXN097,2024-09-15,Headphones,179.99,1
1014,TXN098,2023-11-08,Keyboard,89.99,2
1014,TXN099,2024-04-20,Laptop,1399.99,1
1015,TXN100,2024-10-05,Mouse,19.99,3
1016,TXN101,2023-09-22,Monitor,449.99,1
1017,TXN102,2024-02-28,Headphones,139.99,1
1017,TXN103,2024-07-15,Keyboard,79.99,1
1018,TXN104,2024-11-18,Laptop,1549.99,1
1019,TXN105,2023-10-30,Mouse,39.99,1
1019,TXN106,2024-05-22,Monitor,529.99,1
1020,TXN107,2024-08-28,Headphones,169.99,1
1021,TXN108,2023-07-12,Keyboard,109.99,1
1021,TXN109,2024-03-18,Laptop,1249.99,1
1022,TXN110,2024-09-25,Mouse,24.99,2
1023,TXN111,2023-12-20,Monitor,479.99,1
1024,TXN112,2024-06-08,Headphones,189.99,1
1025,TXN113,2024-10-15,Keyboard,89.99,1
1026,TXN114,2023-08-28,Laptop,1449.99,1
1026,TXN115,2024-02-12,Mouse,34.99,1
1027,TXN116,2024-11-28,Monitor,559.99,1
1028,TXN117,2023-09-15,Headphones,149.99,1
1028,TXN118,2024-04-30,Keyboard,99.99,1
1029,TXN119,2024-12-10,Laptop,1599.99,1
1030,TXN120,2023-11-25,Mouse,29.99,2
1031,TXN121,2024-07-08,Monitor,449.99,1
1032,TXN122,2023-10-18,Headphones,159.99,1
1032,TXN123,2024-05-28,Keyboard,79.99,1
1033,TXN124,2024-09-10,Laptop,1349.99,1
1034,TXN125,2023-12-28,Mouse,19.99,3
1034,TXN126,2024-08-15,Monitor,499.99,1
1035,TXN127,2024-11-12,Headphones,179.99,1
1036,TXN128,2023-07-25,Keyboard,89.99,1
1036,TXN129,2024-02-20,Laptop,1299.99,1
1037,TXN130,2024-10-28,Mouse,39.99,1
1038,TXN131,2023-09-08,Monitor,629.99,1
1039,TXN132,2024-03-15,Headphones,139.99,1
1039,TXN133,2024-12-05,Keyboard,109.99,1
1040,TXN134,2023-11-12,Laptop,1499.99,1
1040,TXN135,2024-06-25,Mouse,24.99,2
1041,TXN136,2024-09-18,Monitor,549.99,1
1042,TXN137,2023-08-05,Headphones,169.99,1
1043,TXN138,2024-01-22,Keyboard,89.99,1
1044,TXN139,2024-07-28,Laptop,1399.99,1
1044,TXN140,2024-11-30,Mouse,34.99,1
1045,TXN141,2023-10-15,Monitor,479.99,1
1046,TXN142,2024-04-08,Headphones,149.99,1
1046,TXN143,2024-08-22,Keyboard,79.99,1
1047,TXN144,2024-12-18,Laptop,1549.99,1
1048,TXN145,2023-12-08,Mouse,29.99,2
1049,TXN146,2024-05-18,Monitor,599.99,1
1050,TXN147,2024-09-28,Headphones,189.99,1
1050,TXN148,2024-10-30,Keyboard,99.99,1
