person_id,movie_id,relationship_type
1,1,ACTED_IN
2,1,ACTED_IN
3,1,ACTED_IN
21,1,DIRECTED
1,2,ACTED_IN
4,2,ACTED_IN
5,2,ACTED_IN
22,2,DIRECTED
1,3,ACTED_IN
2,3,ACTED_IN
6,3,ACTED_IN
23,3,DIRECTED
1,4,ACTED_IN
7,4,ACTED_IN
8,4,ACTED_IN
21,4,DIRECTED
1,5,ACTED_IN
9,5,ACTED_IN
10,5,ACTED_IN
24,5,DIRECTED
1,6,ACTED_IN
11,6,ACTED_IN
12,6,ACTED_IN
25,6,DIRECTED
1,7,ACTED_IN
13,7,ACTED_IN
14,7,ACTED_IN
21,7,DIRECTED
1,8,ACTED_IN
15,8,ACTED_IN
16,8,ACTED_IN
26,8,DIRECTED
1,9,ACTED_IN
17,9,ACTED_IN
18,9,ACTED_IN
27,9,DIRECTED
1,10,ACTED_IN
19,10,ACTED_IN
20,10,ACTED_IN
21,10,DIRECTED
2,11,ACTED_IN
4,11,ACTED_IN
7,11,ACTED_IN
22,11,DIRECTED
2,12,ACTED_IN
5,12,ACTED_IN
9,12,ACTED_IN
23,12,DIRECTED
2,13,ACTED_IN
6,13,ACTED_IN
11,13,ACTED_IN
24,13,DIRECTED
2,14,ACTED_IN
8,14,ACTED_IN
13,14,ACTED_IN
25,14,DIRECTED
2,15,ACTED_IN
10,15,ACTED_IN
15,15,ACTED_IN
26,15,DIRECTED
3,16,ACTED_IN
4,16,ACTED_IN
5,16,ACTED_IN
27,16,DIRECTED
3,17,ACTED_IN
6,17,ACTED_IN
7,17,ACTED_IN
21,17,DIRECTED
3,18,ACTED_IN
8,18,ACTED_IN
9,18,ACTED_IN
22,18,DIRECTED
3,19,ACTED_IN
10,19,ACTED_IN
11,19,ACTED_IN
23,19,DIRECTED
3,20,ACTED_IN
12,20,ACTED_IN
13,20,ACTED_IN
24,20,DIRECTED
4,21,ACTED_IN
5,21,ACTED_IN
14,21,ACTED_IN
25,21,DIRECTED
4,22,ACTED_IN
6,22,ACTED_IN
15,22,ACTED_IN
26,22,DIRECTED
4,23,ACTED_IN
7,23,ACTED_IN
16,23,ACTED_IN
27,23,DIRECTED
4,24,ACTED_IN
8,24,ACTED_IN
17,24,ACTED_IN
21,24,DIRECTED
5,25,ACTED_IN
9,25,ACTED_IN
18,25,ACTED_IN
22,25,DIRECTED
5,26,ACTED_IN
10,26,ACTED_IN
19,26,ACTED_IN
23,26,DIRECTED
5,27,ACTED_IN
11,27,ACTED_IN
20,27,ACTED_IN
24,27,DIRECTED
6,28,ACTED_IN
12,28,ACTED_IN
14,28,ACTED_IN
25,28,DIRECTED
6,29,ACTED_IN
13,29,ACTED_IN
15,29,ACTED_IN
26,29,DIRECTED
7,30,ACTED_IN
16,30,ACTED_IN
17,30,ACTED_IN
27,30,DIRECTED
7,31,ACTED_IN
18,31,ACTED_IN
19,31,ACTED_IN
21,31,DIRECTED
8,32,ACTED_IN
20,32,ACTED_IN
14,32,ACTED_IN
22,32,DIRECTED
8,33,ACTED_IN
15,33,ACTED_IN
16,33,ACTED_IN
23,33,DIRECTED
9,34,ACTED_IN
17,34,ACTED_IN
18,34,ACTED_IN
24,34,DIRECTED
9,35,ACTED_IN
19,35,ACTED_IN
20,35,ACTED_IN
25,35,DIRECTED
10,36,ACTED_IN
14,36,ACTED_IN
15,36,ACTED_IN
26,36,DIRECTED
10,37,ACTED_IN
16,37,ACTED_IN
17,37,ACTED_IN
27,37,DIRECTED
11,38,ACTED_IN
18,38,ACTED_IN
19,38,ACTED_IN
21,38,DIRECTED
11,39,ACTED_IN
20,39,ACTED_IN
14,39,ACTED_IN
22,39,DIRECTED
12,40,ACTED_IN
15,40,ACTED_IN
16,40,ACTED_IN
23,40,DIRECTED
12,41,ACTED_IN
