id,title,year,rating
1,The Matrix,1999,8.7
2,Inception,2010,8.8
3,The Dark Knight,2008,9.0
4,Interstellar,2014,8.6
5,Parasite,2019,8.5
6,The Shawshank Redemption,1994,9.3
7,The Godfather,1972,9.2
8,Pulp Fiction,1994,8.9
9,Forrest Gump,1994,8.8
10,Fight Club,1999,8.8
11,The Lord of the Rings: The Return of the King,2003,8.9
12,The Empire Strikes Back,1980,8.7
13,Goodfellas,1990,8.7
14,The Silence of the Lambs,1991,8.6
15,Saving Private Ryan,1998,8.6
16,The Green Mile,1999,8.6
17,Se7en,1995,8.6
18,The Usual Suspects,1995,8.5
19,The Prestige,2006,8.5
20,The Departed,2006,8.5
21,Gladiator,2000,8.5
22,The Lion King,1994,8.5
23,American History X,1998,8.5
24,The Pianist,2002,8.5
25,Terminator 2: Judgment Day,1991,8.5
26,Back to the Future,1985,8.5
27,Whiplash,2014,8.5
28,The Intouchables,2011,8.5
29,Modern Times,1936,8.5
30,City of God,2002,8.6
31,Spirited Away,2001,8.6
32,Life Is Beautiful,1997,8.6
33,Django Unchained,2012,8.4
34,The Dark Knight Rises,2012,8.4
35,Avengers: Endgame,2019,8.4
36,Avengers: Infinity War,2018,8.4
37,Spider-Man: Into the Spider-Verse,2018,8.4
38,Coco,2017,8.4
39,Joker,2019,8.4
40,1917,2019,8.3
41,The Wolf of Wall Street,2013,8.2
42,Mad Max: Fury Road,2015,8.1
43,Inside Out,2015,8.1
44,Room,2015,8.1
45,Spotlight,2015,8.1
46,La La Land,2016,8.0
47,Arrival,2016,7.9
48,Dunkirk,2017,7.8
49,Blade Runner 2049,2017,8.0
50,The Shape of Water,2017,7.3
51,Get Out,2017,7.7
52,Baby Driver,2017,7.6
53,Three Billboards Outside Ebbing Missouri,2017,8.1
54,The Grand Budapest Hotel,2014,8.1
55,Her,2013,8.0
56,Gravity,2013,7.7
57,12 Years a Slave,2013,8.1
58,Captain Phillips,2013,7.8
59,Argo,2012,7.7
60,The Artist,2011,7.9
61,The King's Speech,2010,8.0
62,Black Swan,2010,8.0
63,Toy Story 3,2010,8.3
64,Shutter Island,2010,8.2
65,True Grit,2010,7.6
66,The Social Network,2010,7.7
67,The Fighter,2010,7.8
68,127 Hours,2010,7.5
69,Blue Valentine,2010,7.3
70,Scott Pilgrim vs. the World,2010,7.5
71,Avatar,2009,7.8
72,District 9,2009,7.9
73,Up,2009,8.2
74,The Hurt Locker,2009,7.5
75,Inglourious Basterds,2009,8.3
76,A Serious Man,2009,7.0
77,Star Trek,2009,7.9
78,Zombieland,2009,7.6
79,The Hangover,2009,7.7
80,Gran Torino,2008,8.1
81,WALL-E,2008,8.4
82,Slumdog Millionaire,2008,8.0
83,Iron Man,2008,7.9
84,In Bruges,2008,7.9
85,Tropic Thunder,2008,7.0
86,No Country for Old Men,2007,8.1
87,There Will Be Blood,2007,8.2
88,Juno,2007,7.4
89,Ratatouille,2007,8.0
90,Zodiac,2007,7.7
91,The Bourne Ultimatum,2007,8.0
92,Hot Fuzz,2007,7.8
93,Casino Royale,2006,8.0
94,Pan's Labyrinth,2006,8.2
95,Children of Men,2006,7.9
96,The Pursuit of Happyness,2006,8.0
97,V for Vendetta,2005,8.1
98,Batman Begins,2005,8.2
99,Crash,2004,7.7
100,Eternal Sunshine of the Spotless Mind,2004,8.3
