epoch,loss,accuracy,val_loss,val_accuracy,learning_rate
1,2.1847,0.6523,2.4892,0.6012,0.0005
2,1.9234,0.6891,2.2156,0.6334,0.0005
3,1.7456,0.7123,2.0487,0.6589,0.0005
4,1.6012,0.7345,1.9123,0.6756,0.0005
5,1.4823,0.7534,1.8012,0.6912,0.0005
6,1.3891,0.7689,1.7145,0.7045,0.0005
7,1.3045,0.7823,1.6423,0.7156,0.0005
8,1.2312,0.7934,1.5789,0.7267,0.0005
9,1.1678,0.8034,1.5234,0.7345,0.0005
10,1.1123,0.8123,1.4756,0.7423,0.0005
11,1.0634,0.8201,1.4334,0.7489,0.0005
12,1.0198,0.8267,1.3956,0.7556,0.0005
13,0.9812,0.8334,1.3612,0.7612,0.0005
14,0.9456,0.8389,1.3298,0.7667,0.0005
15,0.9134,0.8445,1.3012,0.7723,0.0005
16,0.8834,0.8501,1.2745,0.7778,0.0005
17,0.8556,0.8556,1.2498,0.7823,0.0005
18,0.8298,0.8601,1.2267,0.7867,0.0005
19,0.8056,0.8645,1.2056,0.7912,0.0005
20,0.7834,0.8689,1.1856,0.7956,0.0005
21,0.7623,0.8734,1.1667,0.7989,0.0004
22,0.7423,0.8778,1.1489,0.8023,0.0004
23,0.7234,0.8812,1.1323,0.8056,0.0004
24,0.7056,0.8845,1.1167,0.8089,0.0004
25,0.6889,0.8878,1.1023,0.8123,0.0004
26,0.6734,0.8912,1.0889,0.8156,0.0004
27,0.6589,0.8945,1.0767,0.8189,0.0004
28,0.6456,0.8978,1.0656,0.8223,0.0004
29,0.6334,0.9001,1.0556,0.8256,0.0004
30,0.6223,0.9023,1.0467,0.8289,0.0004
31,0.6123,0.9045,1.0389,0.8312,0.0004
32,0.6034,0.9067,1.0323,0.8334,0.0004
33,0.5956,0.9089,1.0267,0.8356,0.0004
34,0.5889,0.9112,1.0223,0.8378,0.0004
35,0.5834,0.9134,1.0189,0.8401,0.0004
36,0.5789,0.9156,1.0167,0.8423,0.0004
37,0.5756,0.9178,1.0156,0.8445,0.0004
38,0.5734,0.9201,1.0156,0.8467,0.0004
39,0.5723,0.9223,1.0167,0.8478,0.0004
40,0.5712,0.9234,1.0189,0.8489,0.0004
41,0.5634,0.9245,1.0123,0.8501,0.0003
42,0.5556,0.9256,1.0067,0.8512,0.0003
43,0.5478,0.9267,1.0012,0.8523,0.0003
44,0.5401,0.9278,0.9967,0.8534,0.0003
45,0.5334,0.9289,0.9923,0.8545,0.0003
46,0.5267,0.9301,0.9889,0.8556,0.0003
47,0.5201,0.9312,0.9856,0.8567,0.0003
48,0.5134,0.9323,0.9823,0.8578,0.0003
49,0.5067,0.9334,0.9789,0.8589,0.0003
50,0.5001,0.9345,0.9756,0.8601,0.0003
51,0.4934,0.9356,0.9723,0.8612,0.0003
52,0.4867,0.9367,0.9689,0.8623,0.0003
53,0.4801,0.9378,0.9656,0.8634,0.0003
54,0.4734,0.9389,0.9623,0.8645,0.0003
55,0.4667,0.9401,0.9589,0.8656,0.0003
56,0.4601,0.9412,0.9556,0.8667,0.0003
57,0.4534,0.9423,0.9523,0.8678,0.0003
58,0.4467,0.9434,0.9489,0.8689,0.0003
59,0.4401,0.9445,0.9456,0.8701,0.0003
60,0.4334,0.9456,0.9423,0.8712,0.0003
61,0.4267,0.9467,0.9389,0.8723,0.0002
62,0.4201,0.9478,0.9356,0.8734,0.0002
63,0.4134,0.9489,0.9323,0.8745,0.0002
64,0.4067,0.9501,0.9289,0.8756,0.0002
65,0.4001,0.9512,0.9256,0.8767,0.0002
66,0.3934,0.9523,0.9223,0.8778,0.0002
67,0.3867,0.9534,0.9189,0.8789,0.0002
68,0.3801,0.9545,0.9156,0.8801,0.0002
69,0.3734,0.9556,0.9123,0.8812,0.0002
70,0.3667,0.9567,0.9089,0.8823,0.0002
71,0.3545,0.9578,0.8967,0.8834,0.0001
72,0.3423,0.9589,0.8845,0.8845,0.0001
73,0.3301,0.9601,0.8723,0.8856,0.0001
74,0.3178,0.9612,0.8601,0.8867,0.0001
75,0.3056,0.9623,0.8478,0.8878,0.0001
76,0.2934,0.9634,0.8356,0.8889,0.0001
77,0.2812,0.9645,0.8234,0.8901,0.0001
78,0.2689,0.9656,0.8112,0.8912,0.0001
79,0.2567,0.9667,0.7989,0.8923,0.0001
80,0.2445,0.9678,0.7867,0.8934,0.0001
81,0.2389,0.9689,0.7756,0.8945,0.00005
82,0.2334,0.9701,0.7645,0.8956,0.00005
83,0.2278,0.9712,0.7534,0.8967,0.00005
84,0.2223,0.9723,0.7423,0.8978,0.00005
85,0.2167,0.9734,0.7312,0.8989,0.00005
86,0.2112,0.9745,0.7201,0.9001,0.00005
87,0.2056,0.9756,0.7089,0.9012,0.00005
88,0.2001,0.9767,0.6978,0.9023,0.00005
89,0.1945,0.9778,0.6867,0.9034,0.00005
90,0.1889,0.9789,0.6756,0.9045,0.00005
91,0.1834,0.9801,0.6645,0.9056,0.00005
92,0.1778,0.9812,0.6534,0.9067,0.00005
93,0.1723,0.9823,0.6423,0.9078,0.00005
94,0.1667,0.9834,0.6312,0.9089,0.00005
95,0.1612,0.9845,0.6201,0.9101,0.00005
96,0.1556,0.9856,0.6089,0.9112,0.00005
97,0.1501,0.9867,0.5978,0.9123,0.00005
98,0.1445,0.9878,0.5867,0.9134,0.00005
99,0.1389,0.9889,0.5756,0.9145,0.00005
100,0.1334,0.9901,0.5645,0.9156,0.00005
