read_id,is_duplicate,x_coordinate,y_coordinate
A00123:1:H5VKJDSXY:1:1101:1234:5678,false,1234,5678
A00123:1:H5VKJDSXY:1:1101:8900:12000,false,8900,12000
A00123:1:H5VKJDSXY:1:1102:15000:20000,false,15000,20000
A00123:1:H5VKJDSXY:1:1103:25000:30000,false,25000,30000
A00123:1:H5VKJDSXY:1:1104:35000:40000,false,35000,40000
A00123:1:H5VKJDSXY:1:1101:5000:10000,true,5000,10000
A00123:1:H5VKJDSXY:1:1101:5050:10050,true,5050,10050
A00123:1:H5VKJDSXY:1:1101:5070:10070,true,5070,10070
A00123:1:H5VKJDSXY:1:1102:12000:15000,true,12000,15000
A00123:1:H5VKJDSXY:1:1102:12060:15060,true,12060,15060
A00123:1:H5VKJDSXY:1:1103:8000:9000,true,8000,9000
A00123:1:H5VKJDSXY:1:1103:8070:9050,true,8070,9050
A00123:1:H5VKJDSXY:1:1104:20000:25000,true,20000,25000
A00123:1:H5VKJDSXY:1:1104:20055:25055,true,20055,25055
A00123:1:H5VKJDSXY:1:1101:30000:35000,true,30000,35000
A00123:1:H5VKJDSXY:1:1101:30065:35065,true,30065,35065
A00123:1:H5VKJDSXY:1:1105:2000:3000,false,2000,3000
A00123:1:H5VKJDSXY:1:1105:18000:22000,false,18000,22000
A00123:1:H5VKJDSXY:1:1106:7000:8000,false,7000,8000
A00123:1:H5VKJDSXY:1:1107:16000:19000,false,16000,19000
A00123:1:H5VKJDSXY:1:1105:45000:48000,true,45000,48000
A00123:1:H5VKJDSXY:1:1105:10000:15000,true,10000,15000
A00123:1:H5VKJDSXY:1:1106:25000:28000,true,25000,28000
A00123:1:H5VKJDSXY:1:1107:5000:6000,true,5000,6000
A00123:1:H5VKJDSXY:1:1108:12000:14000,false,12000,14000
A00123:1:H5VKJDSXY:1:1109:33000:37000,false,33000,37000
A00123:1:H5VKJDSXY:1:1110:4000:5000,false,4000,5000
A00123:1:H5VKJDSXY:1:1101:40000:42000,true,40000,42000
A00123:1:H5VKJDSXY:1:1101:40075:42075,true,40075,42075
A00123:1:H5VKJDSXY:1:1102:28000:31000,true,28000,31000
A00123:1:H5VKJDSXY:1:1102:28080:31060,true,28080,31060
A00123:1:H5VKJDSXY:1:1111:9000:11000,false,9000,11000
A00123:1:H5VKJDSXY:1:1112:21000:24000,false,21000,24000
A00123:1:H5VKJDSXY:1:1113:14000:17000,false,14000,17000
A00123:1:H5VKJDSXY:1:1103:35000:38000,true,35000,38000
A00123:1:H5VKJDSXY:1:1103:35050:38050,true,35050,38050
A00123:1:H5VKJDSXY:1:1104:6000:8000,true,6000,8000
A00123:1:H5VKJDSXY:1:1104:6065:8065,true,6065,8065
A00123:1:H5VKJDSXY:1:1114:27000:29000,false,27000,29000
A00123:1:H5VKJDSXY:1:1115:38000:41000,false,38000,41000
A00123:1:H5VKJDSXY:1:1116:11000:13000,false,11000,13000
A00123:1:H5VKJDSXY:1:1105:32000:36000,true,32000,36000
A00123:1:H5VKJDSXY:1:1106:41000:44000,true,41000,44000
A00123:1:H5VKJDSXY:1:1107:19000:22000,true,19000,22000
A00123:1:H5VKJDSXY:1:1117:23000:26000,false,23000,26000
A00123:1:H5VKJDSXY:1:1118:8000:10000,false,8000,10000
A00123:1:H5VKJDSXY:1:1119:44000:47000,false,44000,47000
A00123:1:H5VKJDSXY:1:1101:15000:18000,true,15000,18000
A00123:1:H5VKJDSXY:1:1101:15070:18070,true,15070,18070
A00123:1:H5VKJDSXY:1:1102:3000:4000,true,3000,4000
A00123:1:H5VKJDSXY:1:1102:3055:4055,true,3055,4055
A00123:1:H5VKJDSXY:1:1120:17000:20000,false,17000,20000
A00123:1:H5VKJDSXY:1:1121:29000:32000,false,29000,32000
A00123:1:H5VKJDSXY:1:1122:6000:7000,false,6000,7000
A00123:1:H5VKJDSXY:1:1103:22000:25000,true,22000,25000
A00123:1:H5VKJDSXY:1:1103:22065:25065,true,22065,25065
A00123:1:H5VKJDSXY:1:1104:48000:49000,true,48000,49000
A00123:1:H5VKJDSXY:1:1104:48060:49060,true,48060,49060
A00123:1:H5VKJDSXY:1:1123:13000:16000,false,13000,16000
A00123:1:H5VKJDSXY:1:1124:26000:28000,false,26000,28000
A00123:1:H5VKJDSXY:1:1125:39000:42000,false,39000,42000
A00123:1:H5VKJDSXY:1:1105:7000:9000,true,7000,9000
A00123:1:H5VKJDSXY:1:1106:15000:18000,true,15000,18000
A00123:1:H5VKJDSXY:1:1107:28000:31000,true,28000,31000
A00123:1:H5VKJDSXY:1:1126:20000:23000,false,20000,23000
A00123:1:H5VKJDSXY:1:1127:42000:45000,false,42000,45000
A00123:1:H5VKJDSXY:1:1128:10000:12000,false,10000,12000
A00123:1:H5VKJDSXY:1:1101:25000:28000,true,25000,28000
A00123:1:H5VKJDSXY:1:1101:25075:28075,true,25075,28075
A00123:1:H5VKJDSXY:1:1102:38000:40000,true,38000,40000
A00123:1:H5VKJDSXY:1:1102:38050:40050,true,38050,40050
A00123:1:H5VKJDSXY:1:1129:31000:34000,false,31000,34000
A00123:1:H5VKJDSXY:1:1130:5000:7000,false,5000,7000
A00123:1:H5VKJDSXY:1:1131:47000:49000,false,47000,49000
A00123:1:H5VKJDSXY:1:1103:10000:13000,true,10000,13000
A00123:1:H5VKJDSXY:1:1104:32000:35000,true,32000,35000
A00123:1:H5VKJDSXY:1:1105:43000:46000,true,43000,46000
A00123:1:H5VKJDSXY:1:1132:18000:21000,false,18000,21000
A00123:1:H5VKJDSXY:1:1133:36000:39000,false,36000,39000
A00123:1:H5VKJDSXY:1:1134:9000:11000,false,9000,11000
A00123:1:H5VKJDSXY:1:1101:2000:4000,true,2000,4000
A00123:1:H5VKJDSXY:1:1101:2070:4070,true,2070,4070
A00123:1:H5VKJDSXY:1:1102:18000:21000,true,18000,21000
A00123:1:H5VKJDSXY:1:1102:18065:21065,true,18065,21065
A00123:1:H5VKJDSXY:1:1135:24000:27000,false,24000,27000
A00123:1:H5VKJDSXY:1:1136:40000:43000,false,40000,43000
A00123:1:H5VKJDSXY:1:1137:12000:15000,false,12000,15000
A00123:1:H5VKJDSXY:1:1103:45000:47000,true,45000,47000
A00123:1:H5VKJDSXY:1:1104:15000:17000,true,15000,17000
A00123:1:H5VKJDSXY:1:1105:27000:30000,true,27000,30000
A00123:1:H5VKJDSXY:1:1138:33000:36000,false,33000,36000
A00123:1:H5VKJDSXY:1:1139:7000:9000,false,7000,9000
A00123:1:H5VKJDSXY:1:1140:48000:50000,false,48000,50000
A00123:1:H5VKJDSXY:1:1106:8000:10000,true,8000,10000
A00123:1:H5VKJDSXY:1:1107:36000:39000,true,36000,39000
A00123:1:H5VKJDSXY:1:1108:21000:24000,true,21000,24000
A00123:1:H5VKJDSXY:1:1141:16000:19000,false,16000,19000
A00123:1:H5VKJDSXY:1:1142:30000:33000,false,30000,33000
A00123:1:H5VKJDSXY:1:1143:4000:6000,false,4000,6000
A00123:1:H5VKJDSXY:1:1101:48000:49500,true,48000,49500
A00123:1:H5VKJDSXY:1:1101:48055:49555,true,48055,49555
A00123:1:H5VKJDSXY:1:1102:8000:10000,true,8000,10000
A00123:1:H5VKJDSXY:1:1102:8075:10075,true,8075,10075
A00123:1:H5VKJDSXY:1:1144:22000:25000,false,22000,25000
A00123:1:H5VKJDSXY:1:1145:37000:40000,false,37000,40000
A00123:1:H5VKJDSXY:1:1146:11000:14000,false,11000,14000
A00123:1:H5VKJDSXY:1:1103:28000:30000,true,28000,30000
A00123:1:H5VKJDSXY:1:1104:42000:45000,true,42000,45000
A00123:1:H5VKJDSXY:1:1105:14000:16000,true,14000,16000
A00123:1:H5VKJDSXY:1:1147:26000:29000,false,26000,29000
A00123:1:H5VKJDSXY:1:1148:43000:46000,false,43000,46000
A00123:1:H5VKJDSXY:1:1149:8000:11000,false,8000,11000
A00123:1:H5VKJDSXY:1:1106:34000:37000,true,34000,37000
A00123:1:H5VKJDSXY:1:1107:12000:14000,true,12000,14000
A00123:1:H5VKJDSXY:1:1108:46000:48000,true,46000,48000
A00123:1:H5VKJDSXY:1:1150:19000:22000,false,19000,22000
A00123:1:H5VKJDSXY:1:1151:35000:38000,false,35000,38000
A00123:1:H5VKJDSXY:1:1152:6000:8000,false,6000,8000
A00123:1:H5VKJDSXY:1:1101:12000:15000,true,12000,15000
A00123:1:H5VKJDSXY:1:1101:12060:15060,true,12060,15060
A00123:1:H5VKJDSXY:1:1102:42000:44000,true,42000,44000
A00123:1:H5VKJDSXY:1:1102:42070:44070,true,42070,44070
A00123:1:H5VKJDSXY:1:1153:28000:31000,false,28000,31000
A00123:1:H5VKJDSXY:1:1154:41000:44000,false,41000,44000
A00123:1:H5VKJDSXY:1:1155:15000:18000,false,15000,18000
A00123:1:H5VKJDSXY:1:1103:5000:7000,true,5000,7000
A00123:1:H5VKJDSXY:1:1104:24000:27000,true,24000,27000
A00123:1:H5VKJDSXY:1:1105:38000:41000,true,38000,41000
A00123:1:H5VKJDSXY:1:1156:32000:35000,false,32000,35000
A00123:1:H5VKJDSXY:1:1157:10000:13000,false,10000,13000
A00123:1:H5VKJDSXY:1:1158:45000:48000,false,45000,48000
A00123:1:H5VKJDSXY:1:1106:22000:25000,true,22000,25000
A00123:1:H5VKJDSXY:1:1107:2000:5000,true,2000,5000
A00123:1:H5VKJDSXY:1:1108:30000:33000,true,30000,33000
A00123:1:H5VKJDSXY:1:1159:17000:20000,false,17000,20000
A00123:1:H5VKJDSXY:1:1160:39000:42000,false,39000,42000
A00123:1:H5VKJDSXY:1:1161:13000:16000,false,13000,16000
A00123:1:H5VKJDSXY:1:1101:35000:37000,true,35000,37000
A00123:1:H5VKJDSXY:1:1101:35065:37065,true,35065,37065
A00123:1:H5VKJDSXY:1:1102:22000:24000,true,22000,24000
A00123:1:H5VKJDSXY:1:1102:22080:24080,true,22080,24080
A00123:1:H5VKJDSXY:1:1162:25000:28000,false,25000,28000
A00123:1:H5VKJDSXY:1:1163:46000:49000,false,46000,49000
A00123:1:H5VKJDSXY:1:1164:9000:12000,false,9000,12000
A00123:1:H5VKJDSXY:1:1103:38000:41000,true,38000,41000
A00123:1:H5VKJDSXY:1:1104:11000:14000,true,11000,14000
A00123:1:H5VKJDSXY:1:1105:49000:50000,true,49000,50000
A00123:1:H5VKJDSXY:1:1165:21000:24000,false,21000,24000
A00123:1:H5VKJDSXY:1:1166:34000:37000,false,34000,37000
A00123:1:H5VKJDSXY:1:1167:7000:10000,false,7000,10000
A00123:1:H5VKJDSXY:1:1106:48000:49000,true,48000,49000
A00123:1:H5VKJDSXY:1:1107:25000:28000,true,25000,28000
A00123:1:H5VKJDSXY:1:1108:5000:8000,true,5000,8000
A00123:1:H5VKJDSXY:1:1168:30000:33000,false,30000,33000
A00123:1:H5VKJDSXY:1:1169:44000:47000,false,44000,47000
A00123:1:H5VKJDSXY:1:1170:16000:19000,false,16000,19000
A00123:1:H5VKJDSXY:1:1101:20000:23000,true,20000,23000
A00123:1:H5VKJDSXY:1:1101:20050:23050,true,20050,23050
A00123:1:H5VKJDSXY:1:1102:32000:35000,true,32000,35000
A00123:1:H5VKJDSXY:1:1102:32075:35075,true,32075,35075
A00123:1:H5VKJDSXY:1:1171:27000:30000,false,27000,30000
A00123:1:H5VKJDSXY:1:1172:40000:43000,false,40000,43000
A00123:1:H5VKJDSXY:1:1173:14000:17000,false,14000,17000
A00123:1:H5VKJDSXY:1:1103:18000:21000,true,18000,21000
A00123:1:H5VKJDSXY:1:1104:37000:40000,true,37000,40000
A00123:1:H5VKJDSXY:1:1105:3000:6000,true,3000,6000
A00123:1:H5VKJDSXY:1:1174:23000:26000,false,23000,26000
A00123:1:H5VKJDSXY:1:1175:36000:39000,false,36000,39000
A00123:1:H5VKJDSXY:1:1176:10000:13000,false,10000,13000
A00123:1:H5VKJDSXY:1:1106:29000:32000,true,29000,32000
A00123:1:H5VKJDSXY:1:1107:44000:47000,true,44000,47000
A00123:1:H5VKJDSXY:1:1108:16000:19000,true,16000,19000
A00123:1:H5VKJDSXY:1:1177:31000:34000,false,31000,34000
A00123:1:H5VKJDSXY:1:1178:47000:49000,false,47000,49000
A00123:1:H5VKJDSXY:1:1179:19000:22000,false,19000,22000
A00123:1:H5VKJDSXY:1:1180:42000:45000,false,42000,45000
A00123:1:H5VKJDSXY:1:1181:11000:14000,false,11000,14000
A00123:1:H5VKJDSXY:1:1182:38000:41000,false,38000,41000
