transaction_id,store_location,product_category,payment_method,customer_segment,transaction_date,amount
1,Store_23,Electronics,Credit Card,Premium,2023-03-15,234.56
2,Store_47,Clothing,Debit Card,Gold,2023-07-22,89.99
3,Store_05,Food,Cash,Silver,2023-01-08,45.67
4,Store_31,Books,PayPal,Bronze,2023-11-30,123.45
5,Store_12,Toys,Gift Card,New,2023-05-19,67.89
6,Store_44,Home,Credit Card,Regular,2023-09-03,456.78
7,Store_18,Sports,Debit Card,VIP,2023-02-14,234.50
8,Store_09,Beauty,Cash,Student,2023-06-27,78.90
9,Store_36,Automotive,PayPal,Premium,2023-10-11,345.67
10,Store_50,Garden,Gift Card,Gold,2023-04-05,156.78
11,Store_22,Health,Credit Card,Silver,2023-08-18,267.89
12,Store_07,Office,Debit Card,Bronze,2023-12-25,98.76
13,Store_41,Music,Cash,New,2023-01-20,54.32
14,Store_15,Movies,PayPal,Regular,2023-07-09,134.56
15,Store_28,Games,Gift Card,VIP,2023-03-28,189.45
16,Store_03,Jewelry,Credit Card,Student,2023-11-14,678.90
17,Store_49,Shoes,Debit Card,Premium,2023-05-02,234.67
18,Store_33,Furniture,Cash,Gold,2023-09-21,567.89
19,Store_11,Tools,PayPal,Silver,2023-02-07,123.45
20,Store_26,Pet,Gift Card,Bronze,2023-06-16,89.01
21,Store_38,Electronics,Credit Card,New,2023-10-29,456.78
22,Store_14,Clothing,Debit Card,Regular,2023-04-12,178.90
23,Store_45,Food,Cash,VIP,2023-08-25,67.89
24,Store_08,Books,PayPal,Student,2023-12-03,234.56
25,Store_30,Toys,Gift Card,Premium,2023-01-17,345.67
26,Store_19,Home,Credit Card,Gold,2023-07-30,456.78
27,Store_42,Sports,Debit Card,Silver,2023-03-06,189.45
28,Store_01,Beauty,Cash,Bronze,2023-11-19,98.76
29,Store_48,Automotive,PayPal,New,2023-05-24,567.89
30,Store_25,Garden,Gift Card,Regular,2023-09-12,234.50
31,Store_37,Health,Credit Card,VIP,2023-02-25,345.67
32,Store_13,Office,Debit Card,Student,2023-06-08,123.45
33,Store_46,Music,Cash,Premium,2023-10-21,78.90
34,Store_06,Movies,PayPal,Gold,2023-04-14,267.89
35,Store_29,Games,Gift Card,Silver,2023-08-27,456.78
36,Store_16,Jewelry,Credit Card,Bronze,2023-12-10,789.01
37,Store_40,Shoes,Debit Card,New,2023-01-03,234.56
38,Store_21,Furniture,Cash,Regular,2023-07-16,678.90
39,Store_04,Tools,PayPal,VIP,2023-03-29,123.45
40,Store_43,Pet,Gift Card,Student,2023-11-11,89.01
41,Store_32,Electronics,Credit Card,Premium,2023-05-05,567.89
42,Store_17,Clothing,Debit Card,Gold,2023-09-18,178.90
43,Store_50,Food,Cash,Silver,2023-02-01,56.78
44,Store_10,Books,PayPal,Bronze,2023-06-14,234.56
45,Store_27,Toys,Gift Card,New,2023-10-27,345.67
46,Store_39,Home,Credit Card,Regular,2023-04-20,456.78
47,Store_02,Sports,Debit Card,VIP,2023-08-03,234.50
48,Store_47,Beauty,Cash,Student,2023-12-16,98.76
49,Store_24,Automotive,PayPal,Premium,2023-01-29,567.89
