transaction_id,customer_id,amount,transaction_timestamp
TXN001,CUST001,125.50,2024-01-15 10:30:00
TXN002,CUST002,2500.999,01/15/2024 14:22:00
TXN003,CUST999,-50.00,2024-01-16 09:15:00
TXN004,CUST001,15000.00,2024-01-16T11:30:00
TXN005,CUST003,0,2024-01-17 08:00:00
TXN002,CUST002,3000.00,2024-01-18 10:00:00
TXN006,CUST004,450.75,2024-01-18 11:20:00
TXN007,CUST005,1250.5,01/18/2024 13:45:00
TXN008,CUST888,75.00,2024-01-19 09:30:00
TXN009,CUST006,3500.25,2024-01-19T14:15:00
TXN010,CUST007,0.00,2024-01-20 08:00:00
TXN011,CUST001,875.125,01/20/2024 10:30:00
TXN012,CUST008,-125.50,2024-01-20 12:45:00
TXN013,CUST009,6750.99,2024-01-21 09:00:00
TXN014,CUST010,12500.00,2024-01-21T10:30:00
TXN015,CUST002,425.8,01/21/2024 14:20:00
TXN016,CUST011,950.50,2024-01-22 08:15:00
TXN017,CUST777,200.00,2024-01-22 10:00:00
TXN018,CUST003,0,01/22/2024 11:30:00
TXN019,CUST012,-75.25,2024-01-22T13:45:00
TXN020,CUST004,5500.75,2024-01-23 09:20:00
TXN021,CUST013,18000.50,01/23/2024 11:00:00
TXN022,CUST005,325.99,2024-01-23 14:30:00
TXN023,CUST014,1750.5,2024-01-24T08:45:00
TXN024,CUST666,450.00,01/24/2024 10:15:00
TXN025,CUST006,-200.00,2024-01-24 12:00:00
TXN026,CUST015,8900.25,2024-01-25 09:30:00
TXN027,CUST007,625.125,01/25/2024 11:45:00
TXN028,CUST016,0.00,2024-01-25T14:20:00
TXN029,CUST008,3250.50,2024-01-26 08:00:00
TXN030,CUST999,550.75,01/26/2024 10:30:00
TXN031,CUST009,11200.00,2024-01-26 13:15:00
TXN032,CUST017,-300.50,2024-01-27T09:00:00
TXN033,CUST010,2150.99,01/27/2024 11:20:00
TXN034,CUST011,750.5,2024-01-27 14:45:00
TXN035,CUST018,0,2024-01-28 08:30:00
TXN036,CUST001,4500.25,01/28/2024 10:00:00
TXN037,CUST555,850.00,2024-01-28T12:15:00
TXN038,CUST012,16500.75,2024-01-29 09:45:00
TXN039,CUST019,-150.00,01/29/2024 11:30:00
TXN040,CUST013,1950.125,2024-01-29 13:50:00
TXN011,CUST001,925.00,2024-01-29T15:30:00
TXN041,CUST020,6250.50,01/30/2024 08:20:00
TXN042,CUST014,0.00,2024-01-30 10:45:00
TXN043,CUST004,3750.75,2024-01-30T13:00:00
TXN044,CUST021,-425.25,01/31/2024 09:15:00
TXN045,CUST015,8250.99,2024-01-31 11:40:00
TXN046,CUST888,1200.50,2024-01-31 14:25:00
TXN047,CUST005,525.5,2024-02-01T08:50:00
TXN048,CUST022,13750.00,01/01/2024 10:30:00
TXN049,CUST016,0,2024-02-01 12:15:00
TXN050,CUST006,2850.125,2024-02-01T14:45:00
TXN051,CUST023,-95.50,01/02/2024 09:00:00
TXN052,CUST017,4125.75,2024-02-02 11:20:00
TXN053,CUST777,675.00,2024-02-02 13:35:00
TXN054,CUST007,9500.50,01/02/2024 15:10:00
TXN055,CUST024,0.00,2024-02-03T08:25:00
TXN002,CUST002,2750.50,2024-02-03 10:50:00
TXN056,CUST018,22000.99,01/03/2024 12:40:00
TXN057,CUST008,1575.5,2024-02-03 14:55:00
TXN058,CUST025,-175.00,2024-02-04T09:10:00
TXN059,CUST019,5875.25,01/04/2024 11:05:00
TXN060,CUST009,350.125,2024-02-04 13:20:00
TXN061,CUST666,1950.00,2024-02-04T15:35:00
TXN062,CUST026,0,01/05/2024 08:45:00
TXN063,CUST020,7250.75,2024-02-05 10:15:00
TXN064,CUST010,14250.50,2024-02-05 12:30:00
TXN065,CUST027,-250.75,01/05/2024 14:20:00
TXN066,CUST021,4875.99,2024-02-06T09:25:00
TXN067,CUST011,925.5,01/06/2024 11:40:00
TXN068,CUST028,0.00,2024-02-06 13:55:00
TXN069,CUST022,6150.125,2024-02-06T15:45:00
TXN070,CUST012,19500.00,01/07/2024 08:30:00
TXN071,CUST999,1425.50,2024-02-07 10:20:00
TXN072,CUST029,-325.00,2024-02-07 12:35:00
TXN073,CUST013,3450.75,01/07/2024 14:50:00
TXN074,CUST023,8750.5,2024-02-08T09:05:00
TXN075,CUST030,0,01/08/2024 11:15:00
TXN076,CUST014,2275.125,2024-02-08 13:30:00
TXN077,CUST555,750.00,2024-02-08 15:20:00
TXN078,CUST024,-185.50,01/09/2024 08:55:00
TXN079,CUST015,5625.99,2024-02-09T10:40:00
TXN080,CUST031,11750.00,2024-02-09 12:25:00
TXN081,CUST025,1850.5,01/09/2024 14:10:00
TXN082,CUST016,0.00,2024-02-10 09:20:00
TXN041,CUST020,6500.00,2024-02-10T11:35:00
TXN083,CUST026,4225.125,01/10/2024 13:45:00
TXN084,CUST888,925.75,2024-02-10 15:55:00
TXN085,CUST017,-140.00,2024-02-11 08:15:00
TXN086,CUST032,9250.50,01/11/2024 10:30:00
TXN087,CUST027,625.5,2024-02-11T12:50:00
TXN088,CUST018,0,2024-02-11 14:40:00
TXN089,CUST001,3150.75,01/12/2024 09:00:00
TXN090,CUST033,17500.99,2024-02-12 11:10:00
TXN023,CUST014,1825.25,2024-02-12T13:25:00
TXN091,CUST028,5450.125,01/12/2024 15:05:00
TXN092,CUST777,1125.00,2024-02-13 08:35:00
TXN093,CUST019,-210.50,2024-02-13 10:50:00
TXN094,CUST029,7850.5,01/13/2024 12:40:00
TXN095,CUST034,0.00,2024-02-13T14:30:00
TXN096,CUST030,2950.75,2024-02-14 09:15:00
TXN097,CUST020,13250.00,01/14/2024 11:25:00
TXN098,CUST035,4675.99,2024-02-14 13:40:00
TXN099,CUST021,-275.25,2024-02-14T15:20:00
TXN100,CUST031,1525.5,01/15/2024 08:50:00
TXN101,CUST022,0,2024-02-15 10:35:00
TXN102,CUST666,6875.125,2024-02-15 12:45:00
TXN103,CUST032,9950.75,01/15/2024 14:55:00
TXN104,CUST023,325.50,2024-02-16T09:10:00
TXN105,CUST036,21000.00,2024-02-16 11:20:00
TXN106,CUST033,-395.75,01/16/2024 13:30:00
TXN107,CUST024,5250.5,2024-02-16 15:15:00
TXN023,CUST014,1900.00,2024-02-16T16:45:00
TXN108,CUST025,8125.125,01/17/2024 08:25:00
TXN109,CUST034,0.00,2024-02-17 10:40:00
TXN110,CUST026,3575.99,2024-02-17 12:55:00
TXN111,CUST999,1275.50,01/17/2024 14:35:00
TXN112,CUST027,15750.25,2024-02-18T09:00:00
TXN113,CUST035,-160.00,2024-02-18 11:15:00
TXN114,CUST028,4950.75,01/18/2024 13:25:00
TXN115,CUST036,725.5,2024-02-18 15:10:00
TXN116,CUST029,0,2024-02-19 08:45:00
TXN117,CUST037,6425.125,01/19/2024 10:55:00
TXN118,CUST030,12500.50,2024-02-19T12:30:00
TXN119,CUST555,2125.75,2024-02-19 14:20:00
TXN120,CUST031,-225.50,01/20/2024 09:30:00
TXN121,CUST038,9675.99,2024-02-20 11:40:00
TXN122,CUST032,1775.5,2024-02-20 13:50:00
TXN041,CUST020,6750.25,01/20/2024 15:35:00
TXN123,CUST033,0.00,2024-02-21 08:20:00
TXN124,CUST888,5125.125,2024-02-21 10:30:00
TXN125,CUST034,18250.75,01/21/2024 12:45:00
TXN126,CUST039,-315.00,2024-02-21T14:25:00
TXN127,CUST035,3825.50,2024-02-22 09:05:00
TXN128,CUST036,7950.5,01/22/2024 11:20:00
TXN129,CUST037,0,2024-02-22 13:35:00
TXN130,CUST040,4525.75,2024-02-22T15:10:00
