partition_id,customer_count,transaction_count,processing_time_ms
0,1234,8500,2300
1,2100,12000,3200
2,1890,9500,2800
3,1650,11200,3100
4,2300,13500,3600
5,1980,10800,2900
6,2450,14200,3800
7,1720,9800,2700
8,45000,650000,245000
9,1890,11500,3100
10,2200,12800,3400
11,1950,10200,2850
12,2100,13000,3500
13,1780,9200,2600
14,2350,14500,3900
15,38000,580000,220000
16,1920,11000,3000
17,2150,12500,3300
18,1850,10500,2900
19,2280,13800,3700
20,1670,8900,2500
21,2050,11800,3200
22,42000,720000,285000
23,1980,10600,2950
24,2100,12200,3250
25,1830,9700,2750
26,2250,13200,3550
27,1950,11300,3050
28,1740,9400,2650
29,2180,12900,3450
30,1890,10900,3000
31,2320,14000,3750
32,1970,11600,3150
33,48000,780000,298000
34,2050,12400,3350
35,1880,10300,2900
36,2140,11900,3200
37,1760,9600,2700
38,2270,13500,3600
39,1920,11100,3050
40,2080,12600,3400
41,1850,10700,2950
42,2190,13100,3500
43,1680,8800,2550
44,35000,520000,198000
45,2020,11400,3100
46,1950,10800,2980
47,2230,13600,3650
48,1810,9900,2800
49,2160,12300,3300
50,1920,11200,3080
51,41000,685000,262000
52,2070,12700,3420
53,1890,10400,2920
54,2200,13300,3580
55,1750,9300,2680
56,2110,11700,3180
57,1980,10900,3020
58,2290,14100,3780
59,1840,10100,2880
60,2130,12800,3460
61,1920,11500,3120
62,37000,610000,235000
63,2040,12100,3280
64,1870,10600,2940
65,2220,13400,3620
66,1790,9500,2720
67,44000,750000,289000
68,2100,12000,3240
69,1950,11000,3040
70,2180,13700,3680
71,1820,10200,2900
72,2060,11800,3200
73,1930,10700,2980
74,2250,13900,3720
75,1870,10500,2960
76,39000,630000,242000
77,2090,12500,3380
78,1910,11300,3100
79,2170,13000,3520
80,1780,9600,2740
81,2120,12200,3320
82,1990,11100,3060
83,2240,14300,3820
84,1850,10300,2920
85,2110,12600,3400
86,46000,700000,271000
87,2000,11600,3160
88,1940,10800,3000
89,2210,13500,3640
90,1800,9700,2780
91,2140,12400,3360
92,1960,11200,3080
93,2280,14000,3760
94,1880,10600,2960
95,2050,12100,3280
96,1920,11400,3120
97,36000,560000,215000
98,2100,12800,3440
99,1970,11000,3020
