date,product_id,product_name,quantity,price,revenue
2024-01-01,P001,Widget A,5,10.50,52.50
2024-01-01,P002,Widget B,3,25.00,75.00
2024-01-01,P003,Gadget X,7,15.75,110.25
2024-01-01,P004,Tool Pro,2,89.99,179.98
2024-01-01,P005,Device Plus,4,45.50,182.00
2024-01-02,P001,Widget A,8,10.50,84.00
2024-01-02,P002,Widget B,5,25.00,125.00
2024-01-02,P006,Smart Hub,3,120.00,360.00
2024-01-02,P007,Cable Set,10,12.99,129.90
2024-01-02,P008,Adapter Kit,6,18.50,111.00
2024-01-03,P003,Gadget X,12,15.75,189.00
2024-01-03,P004,Tool Pro,4,89.99,359.96
2024-01-03,P009,Power Bank,8,35.00,280.00
2024-01-03,P010,Headphones,5,55.99,279.95
2024-01-03,P001,Widget A,15,10.50,157.50
2024-01-04,P005,Device Plus,7,45.50,318.50
2024-01-04,P006,Smart Hub,2,120.00,240.00
2024-01-04,P011,Keyboard,6,75.00,450.00
2024-01-04,P012,Mouse Pad,20,8.99,179.80
2024-01-04,P002,Widget B,9,25.00,225.00
2024-01-05,P007,Cable Set,15,12.99,194.85
2024-01-05,P008,Adapter Kit,10,18.50,185.00
2024-01-05,P013,Monitor Stand,4,42.50,170.00
2024-01-05,P014,Webcam HD,3,95.00,285.00
2024-01-05,P003,Gadget X,6,15.75,94.50
2024-01-06,P009,Power Bank,11,35.00,385.00
2024-01-06,P010,Headphones,7,55.99,391.93
2024-01-06,P015,Speaker Set,5,110.00,550.00
2024-01-06,P016,USB Drive,25,14.99,374.75
2024-01-06,P004,Tool Pro,3,89.99,269.97
2024-01-07,P011,Keyboard,8,75.00,600.00
2024-01-07,P012,Mouse Pad,30,8.99,269.70
2024-01-07,P017,Laptop Stand,6,65.00,390.00
2024-01-07,P018,Desk Lamp,4,38.50,154.00
2024-01-07,P001,Widget A,12,10.50,126.00
2024-01-08,P013,Monitor Stand,5,42.50,212.50
2024-01-08,P014,Webcam HD,6,95.00,570.00
2024-01-08,P019,Microphone,3,125.00,375.00
2024-01-08,P020,Tablet Case,10,22.99,229.90
2024-01-08,P005,Device Plus,9,45.50,409.50
2024-01-09,P015,Speaker Set,4,110.00,440.00
2024-01-09,P016,USB Drive,18,14.99,269.82
2024-01-09,P021,Phone Charger,15,19.99,299.85
2024-01-09,P022,Screen Protector,20,9.99,199.80
2024-01-09,P002,Widget B,7,25.00,175.00
2024-01-10,P017,Laptop Stand,8,65.00,520.00
2024-01-10,P018,Desk Lamp,6,38.50,231.00
2024-01-10,P023,Wireless Mouse,12,29.99,359.88
2024-01-10,P024,Wireless Keyboard,5,85.00,425.00
2024-01-10,P003,Gadget X,10,15.75,157.50
2024-01-11,P019,Microphone,4,125.00,500.00
2024-01-11,P020,Tablet Case,14,22.99,321.86
2024-01-11,P025,Laptop Bag,7,55.00,385.00
2024-01-11,P026,Travel Adapter,9,24.50,220.50
2024-01-11,P006,Smart Hub,5,120.00,600.00
2024-01-12,P021,Phone Charger,20,19.99,399.80
2024-01-12,P022,Screen Protector,25,9.99,249.75
2024-01-12,P027,Stylus Pen,8,16.99,135.92
2024-01-12,P028,Card Reader,12,11.50,138.00
2024-01-12,P004,Tool Pro,6,89.99,539.94
2024-01-13,P023,Wireless Mouse,15,29.99,449.85
2024-01-13,P024,Wireless Keyboard,8,85.00,680.00
