sensor_id,timestamp,temperature_c,pressure_bar,vibration_hz
1,1672531200,87.5,13.2,45.3
1,1672617600,88.2,13.5,48.1
1,1672704000,89.1,12.8,52.3
1,1672790400,86.5,13.0,49.7
1,1672876800,87.8,12.9,51.2
1,1672963200,88.5,13.1,47.8
1,1673049600,89.2,13.3,50.5
1,1673136000,86.9,12.7,48.9
1,1673222400,87.3,13.4,49.2
1,1673308800,88.7,13.0,51.8
15,1672531200,90.1,12.8,55.2
15,1672617600,91.5,13.1,57.8
15,1672704000,89.8,12.9,54.5
15,1672790400,90.7,13.2,56.1
15,1672876800,92.1,13.5,58.3
15,1672963200,91.3,12.7,55.9
15,1673049600,90.5,13.0,57.2
15,1673136000,89.9,13.3,54.8
15,1673222400,91.8,12.8,56.7
15,1673308800,90.2,13.1,55.4
23,1672531200,86.5,12.9,50.1
23,1672617600,87.8,13.2,52.3
23,1672704000,88.3,12.7,51.7
23,1672790400,86.9,13.4,49.8
23,1672876800,87.5,13.0,50.9
23,1672963200,88.1,12.8,52.1
23,1673049600,86.7,13.1,51.3
23,1673136000,87.3,13.3,50.5
23,1673222400,88.9,12.9,52.8
23,1673308800,87.1,13.5,51.1
7,1672531200,75.0,10.5,65.8
7,1672617600,74.8,10.3,66.2
7,1672704000,76.2,10.7,64.9
7,1672790400,75.5,10.4,65.5
7,1672876800,74.3,10.6,67.1
7,1672963200,75.9,10.5,66.8
7,1673049600,76.1,10.8,65.3
7,1673136000,74.7,10.2,66.5
7,1673222400,75.3,10.5,67.3
7,1673308800,76.5,10.4,64.7
7,1673395200,75.8,10.6,65.9
7,1673481600,74.5,10.3,66.4
7,1673568000,76.3,10.7,67.0
7,1673654400,75.1,10.5,65.6
7,1673740800,74.9,10.4,66.7
7,1673827200,76.7,10.8,64.8
7,1673913600,75.4,10.2,65.2
7,1674000000,74.6,10.6,66.9
7,1674086400,76.0,10.5,67.2
7,1674172800,75.7,10.3,65.4
7,1674259200,74.4,10.7,66.1
7,1674345600,76.4,10.4,67.5
7,1674432000,75.2,10.5,65.7
7,1674518400,74.8,10.6,66.3
7,1674604800,76.1,10.3,64.9
7,1674691200,75.5,10.7,65.8
7,1674777600,74.7,10.4,66.6
7,1674864000,76.2,10.5,67.1
7,1674950400,75.3,10.6,65.5
7,1675036800,74.9,10.2,66.8
7,1675123200,76.5,10.8,64.7
7,1675209600,75.1,10.5,65.3
7,1675296000,74.6,10.4,66.4
7,1675382400,76.3,10.7,67.0
7,1675468800,75.8,10.3,65.9
7,1675555200,74.5,10.6,66.2
7,1675641600,76.0,10.5,67.3
7,1675728000,75.4,10.4,65.6
7,1675814400,74.8,10.7,66.5
7,1675900800,76.6,10.2,64.8
7,1675987200,75.2,10.5,65.7
7,1676073600,74.7,10.6,66.9
7,1676160000,76.1,10.3,67.2
7,1676246400,75.6,10.8,65.4
7,1676332800,74.4,10.4,66.1
7,1676419200,76.4,10.5,67.4
7,1676505600,75.3,10.7,65.8
7,1676592000,74.9,10.2,66.3
7,1676678400,76.2,10.6,64.9
7,1676764800,75.5,10.5,65.5
7,1676851200,74.6,10.4,66.7
7,1676937600,76.3,10.8,67.1
7,1677024000,75.1,10.3,65.2
7,1677110400,74.8,10.6,66.4
7,1677196800,76.5,10.5,67.5
7,1677283200,75.4,10.7,65.6
7,1677369600,74.7,10.2,66.8
7,1677456000,76.0,10.4,64.8
7,1677542400,75.2,10.6,65.9
7,1677628800,74.5,10.5,66.2
7,1677715200,76.4,10.3,67.3
7,1677801600,75.8,10.8,65.7
7,1677888000,74.6,10.4,66.5
7,1677974400,76.1,10.7,67.0
7,1678060800,75.3,10.2,65.4
7,1678147200,74.9,10.5,66.6
7,1678233600,76.6,10.6,64.7
7,1678320000,75.5,10.4,65.8
7,1678406400,74.4,10.3,66.9
7,1678492800,76.2,10.8,67.2
7,1678579200,75.1,10.5,65.3
7,1678665600,74.8,10.6,66.1
7,1678752000,76.3,10.2,67.4
7,1678838400,75.6,10.7,65.5
7,1678924800,74.7,10.4,66.3
7,1679011200,76.5,10.5,64.9
7,1679097600,75.2,10.6,65.7
7,1679184000,74.5,10.3,66.8
7,1679270400,76.1,10.8,67.1
7,1679356800,75.4,10.4,65.6
7,1679443200,74.9,10.5,66.4
7,1679529600,76.4,10.7,67.5
7,1679616000,75.3,10.2,65.2
7,1679702400,74.6,10.6,66.7
7,1679788800,76.2,10.5,64.8
7,1679875200,75.8,10.4,65.9
7,1679961600,74.4,10.3,66.2
7,1680048000,76.0,10.8,67.3
7,1680134400,75.1,10.5,65.4
7,1680220800,74.8,10.6,66.5
7,1680307200,76.6,10.2,67.0
7,1680393600,75.5,10.7,65.8
7,1680480000,74.7,10.4,66.6
7,1680566400,76.3,10.5,64.7
7,1680652800,75.2,10.6,65.3
7,1680739200,74.9,10.3,66.9
7,1680825600,76.1,10.8,67.2
7,1680912000,75.6,10.4,65.5
7,1680998400,74.5,10.5,66.1
42,1672531200,72.3,9.8,62.5
42,1672617600,73.1,9.5,63.8
42,1672704000,71.8,9.7,61.9
42,1672790400,72.6,9.6,62.3
42,1672876800,73.5,9.9,64.1
42,1672963200,72.0,9.4,63.2
42,1673049600,73.8,9.8,61.7
42,1673136000,71.5,9.6,62.9
42,1673222400,72.9,9.7,64.5
42,1673308800,73.2,9.5,63.1
42,1673395200,71.7,9.9,62.0
42,1673481600,72.4,9.3,63.7
42,1673568000,73.6,9.8,64.3
42,1673654400,72.1,9.6,61.8
42,1673740800,73.0,9.7,62.6
42,1673827200,71.9,9.4,63.9
42,1673913600,72.7,9.8,64.2
42,1674000000,73.4,9.5,62.1
42,1674086400,71.6,9.9,63.4
42,1674172800,72.5,9.6,61.6
42,1674259200,73.1,9.7,62.8
42,1674345600,72.2,9.4,64.7
42,1674432000,73.7,9.8,63.3
42,1674518400,71.8,9.5,61.9
42,1674604800,72.8,9.6,62.5
42,1674691200,73.3,9.9,64.0
42,1674777600,71.4,9.3,63.6
42,1674864000,72.6,9.7,62.2
42,1674950400,73.5,9.8,64.4
42,1675036800,72.0,9.4,61.7
42,1675123200,73.9,9.6,63.0
42,1675209600,71.7,9.5,62.7
42,1675296000,72.3,9.9,64.1
42,1675382400,73.2,9.7,63.5
42,1675468800,71.9,9.8,61.8
42,1675555200,72.5,9.4,62.4
42,1675641600,73.6,9.6,64.6
42,1675728000,72.1,9.5,63.2
42,1675814400,73.0,9.9,61.9
42,1675900800,71.6,9.3,62.9
42,1675987200,72.8,9.7,64.3
42,1676073600,73.4,9.8,63.1
42,1676160000,71.5,9.4,61.6
42,1676246400,72.7,9.6,62.6
42,1676332800,73.1,9.5,64.8
42,1676419200,72.2,9.9,63.4
42,1676505600,73.8,9.7,62.0
42,1676592000,71.8,9.8,63.7
42,1676678400,72.4,9.4,64.2
42,1676764800,73.3,9.6,61.7
42,1676851200,72.0,9.5,62.8
42,1676937600,73.5,9.9,64.5
42,1677024000,71.7,9.3,63.3
42,1677110400,72.6,9.7,61.9
42,1677196800,73.2,9.8,62.5
42,1677283200,71.9,9.4,64.1
42,1677369600,72.9,9.6,63.6
42,1677456000,73.7,9.5,61.8
42,1677542400,72.3,9.9,62.2
42,1677628800,73.0,9.7,64.4
42,1677715200,71.6,9.8,63.0
42,1677801600,72.5,9.4,61.6
42,1677888000,73.4,9.6,62.7
42,1677974400,72.1,9.5,64.9
42,1678060800,73.6,9.9,63.5
42,1678147200,71.8,9.3,62.1
42,1678233600,72.8,9.7,63.8
42,1678320000,73.1,9.8,64.3
42,1678406400,72.0,9.4,61.7
42,1678492800,73.9,9.6,62.9
42,1678579200,71.5,9.5,64.6
42,1678665600,72.7,9.9,63.2
42,1678752000,73.3,9.7,61.9
42,1678838400,71.7,9.8,62.4
42,1678924800,72.4,9.4,64.0
42,1679011200,73.5,9.6,63.7
42,1679097600,72.2,9.5,61.8
42,1679184000,73.0,9.9,62.6
42,1679270400,71.9,9.3,64.5
42,1679356800,72.6,9.7,63.1
42,1679443200,73.8,9.8,62.0
42,1679529600,71.6,9.4,63.4
42,1679616000,72.5,9.6,64.2
42,1679702400,73.2,9.5,61.7
