transaction_id,customer_id,amount,timestamp,category
3001,customer_123,245.99,2023-01-05 10:23:15,electronics
3002,customer_456,89.50,2023-01-07 14:32:41,groceries
3003,customer_789,156.75,2023-01-10 09:15:22,clothing
3004,customer_123,432.00,2023-01-12 16:45:33,electronics
3005,customer_234,78.25,2023-01-15 11:20:18,books
3006,customer_567,299.99,2023-01-18 13:55:47,home
3007,customer_456,145.30,2023-01-20 08:40:12,groceries
3008,customer_890,523.45,2023-01-22 15:18:29,electronics
3009,customer_123,67.80,2023-01-25 12:05:55,books
3010,customer_345,198.60,2023-01-28 10:30:44,sports
3011,customer_678,354.20,2023-02-02 09:12:37,clothing
3012,customer_456,92.15,2023-02-05 14:48:21,groceries
3013,customer_901,487.99,2023-02-08 11:25:16,electronics
3014,customer_123,125.40,2023-02-11 16:33:52,groceries
3015,customer_234,276.85,2023-02-14 13:19:08,home
3016,customer_567,88.50,2023-02-17 10:42:34,books
3017,customer_789,415.75,2023-02-20 15:27:49,electronics
3018,customer_456,164.20,2023-02-23 09:55:13,clothing
3019,customer_912,299.00,2023-02-26 12:08:26,sports
3020,customer_123,543.60,2023-03-01 14:22:41,electronics
3021,customer_345,95.75,2023-03-04 11:38:57,groceries
3022,customer_678,227.40,2023-03-07 16:14:22,home
3023,customer_456,187.90,2023-03-10 10:29:38,groceries
3024,customer_923,368.25,2023-03-13 13:45:54,electronics
3025,customer_890,142.60,2023-03-16 09:21:19,books
3026,customer_123,254.80,2023-03-19 15:37:45,clothing
3027,customer_234,498.50,2023-03-22 12:53:01,electronics
3028,customer_567,76.30,2023-03-25 08:18:27,groceries
3029,customer_934,335.70,2023-03-28 14:44:52,sports
3030,customer_456,189.25,2023-03-31 11:09:18,home
3031,customer_789,423.90,2023-04-03 16:35:43,electronics
3032,customer_123,98.40,2023-04-06 13:01:09,books
3033,customer_945,267.55,2023-04-09 09:26:34,clothing
3034,customer_345,154.80,2023-04-12 15:52:00,groceries
