transaction_id,product_id,quantity,unit_price_cents,transaction_status
1001,PROD045,3,12500,completed
1002,PROD012,1,8900,void
1003,PROD087,5,3400,completed
1004,PROD023,2,25000,completed
1005,PROD034,10,1500,completed
1006,PROD056,4,8750,completed
1007,PROD012,1,9500,void
1008,PROD078,7,4200,completed
1009,PROD045,3,12500,pending
1010,PROD091,15,2800,completed
1011,PROD023,2,25000,completed
1012,PROD034,8,1500,completed
1013,PROD056,5,8750,void
1014,PROD067,12,3300,completed
1015,PROD078,6,4200,completed
1016,PROD089,20,1200,completed
1017,PROD012,3,9500,completed
1018,PROD045,4,12500,completed
1019,PROD091,9,2800,completed
1020,PROD023,1,25000,void
1021,PROD034,11,1500,completed
1022,PROD056,3,8750,completed
1023,PROD067,14,3300,completed
1024,PROD078,5,4200,pending
1025,PROD089,18,1200,completed
1026,PROD012,2,9500,completed
1027,PROD045,3,12500,completed
1028,PROD091,10,2800,completed
1029,PROD023,2,25000,completed
1030,PROD034,7,1500,completed
1031,PROD056,4,8750,void
1032,PROD067,13,3300,completed
1033,PROD078,8,4200,completed
1034,PROD089,22,1200,completed
1035,PROD012,1,9500,completed
1036,PROD045,5,12500,completed
1037,PROD091,11,2800,void
1038,PROD023,3,25000,completed
1039,PROD034,9,1500,completed
1040,PROD056,2,8750,completed
1041,PROD067,15,3300,completed
1042,PROD078,7,4200,completed
1043,PROD089,19,1200,pending
1044,PROD012,4,9500,completed
1045,PROD045,2,12500,completed
1046,PROD091,12,2800,completed
1047,PROD023,1,25000,completed
1048,PROD034,10,1500,void
1049,PROD056,5,8750,completed
1050,PROD067,14,3300,completed
1051,PROD078,6,4200,completed
1052,PROD089,21,1200,completed
1053,PROD012,3,9500,completed
1054,PROD045,4,12500,void
1055,PROD091,8,2800,completed
1056,PROD023,2,25000,completed
1057,PROD034,12,1500,completed
1058,PROD056,3,8750,completed
1059,PROD067,16,3300,pending
1060,PROD078,9,4200,completed
1061,PROD089,17,1200,completed
1062,PROD012,2,9500,completed
1063,PROD045,5,12500,completed
1064,PROD091,13,2800,completed
1065,PROD023,3,25000,void
1066,PROD034,8,1500,completed
1067,PROD056,4,8750,completed
1068,PROD067,11,3300,completed
1069,PROD078,7,4200,completed
1070,PROD089,20,1200,completed
1071,PROD012,1,9500,void
1072,PROD045,3,12500,completed
1073,PROD091,10,2800,completed
1074,PROD023,2,25000,completed
1075,PROD034,11,1500,completed
1076,PROD056,5,8750,completed
1077,PROD067,12,3300,completed
1078,PROD078,8,4200,pending
1079,PROD089,18,1200,completed
1080,PROD012,4,9500,completed
1081,PROD045,2,12500,completed
1082,PROD091,9,2800,void
1083,PROD023,1,25000,completed
1084,PROD034,10,1500,completed
1085,PROD056,3,8750,completed
1086,PROD067,15,3300,completed
1087,PROD078,6,4200,completed
1088,PROD089,22,1200,completed
1089,PROD012,3,9500,completed
1090,PROD045,4,12500,completed
1091,PROD091,11,2800,completed
