timestamp,household_id,power_kw,temperature_c,is_weekend
2023-01-15 08:00:00,1,3.45,12.3,false
15/01/2023 09:30,2,5.67,,yes
2023-01-16 14:00:00,3,,18.9,1
16/01/2023 15:45,1,85.3,15.2,no
2023-01-14 22:00:00,4,2.1,8.7,true
2023-01-17 11:00:00,5,7.8,22.1,0
15/01/2023 16:30,3,4.2,16.8,false
2023-01-18 09:15:00,2,12.4,19.5,yes
18/01/2023 13:00,4,6.9,,1
2023-01-15 19:45:00,5,9.3,14.7,no
16/01/2023 08:30,1,3.8,11.2,false
2023-01-19 10:00:00,3,105.7,20.3,0
19/01/2023 14:45,2,8.1,23.4,true
2023-01-14 07:00:00,5,,9.8,yes
14/01/2023 18:30,4,5.4,13.6,1
2023-01-20 12:00:00,1,11.2,25.8,no
20/01/2023 16:15,3,6.7,21.9,false
2023-01-15 21:00:00,2,,17.3,0
15/01/2023 06:45,5,4.9,8.4,true
2023-01-17 15:30:00,4,13.8,26.7,yes
17/01/2023 20:00,1,7.6,15.9,1
2023-01-16 10:30:00,3,5.2,18.5,no
16/01/2023 23:45,2,3.1,,false
2023-01-18 07:15:00,5,8.9,12.7,0
18/01/2023 11:30,4,75.2,19.8,true
2023-01-14 13:00:00,1,6.3,14.2,yes
14/01/2023 17:45,3,9.7,22.6,1
2023-01-19 08:00:00,2,4.5,11.9,no
19/01/2023 12:30,5,10.8,24.3,false
2023-01-20 09:45:00,4,7.2,16.5,0
20/01/2023 14:00,1,,20.1,true
2023-01-15 11:15:00,3,12.6,25.9,yes
15/01/2023 22:30,2,5.8,13.8,1
2023-01-17 06:00:00,5,3.7,9.2,no
17/01/2023 10:45,4,8.4,18.4,false
2023-01-16 19:30:00,1,92.8,22.7,0
16/01/2023 07:15,3,6.1,10.6,true
2023-01-18 15:00:00,2,11.5,,yes
18/01/2023 19:45,5,9.2,19.3,1
2023-01-14 09:30:00,4,4.8,12.1,no
14/01/2023 14:15,1,7.9,16.8,false
2023-01-19 17:00:00,3,13.4,27.4,0
19/01/2023 21:30,2,6.5,14.9,true
2023-01-20 06:45:00,5,,8.7,yes
20/01/2023 11:00,4,10.3,21.2,1
2023-01-15 14:30:00,1,5.6,17.5,no
15/01/2023 20:15,3,8.7,19.8,false
2023-01-17 08:45:00,2,4.3,11.4,0
17/01/2023 13:00,5,12.1,24.8,true
2023-01-16 16:30:00,4,7.8,,yes
16/01/2023 21:15,1,9.6,18.2,1
2023-01-18 10:00:00,3,,15.6,no
18/01/2023 23:30,2,3.9,10.3,false
2023-01-14 11:45:00,5,6.8,13.9,0
14/01/2023 16:00,4,11.7,23.5,true
2023-01-19 07:30:00,1,5.1,9.8,yes
19/01/2023 11:15,3,14.2,26.1,1
2023-01-20 15:45:00,2,8.3,20.7,no
20/01/2023 19:00,5,7.4,17.4,false
2023-01-15 10:00:00,4,10.9,22.8,0
15/01/2023 13:45,1,118.4,14.3,true
2023-01-17 18:30:00,3,6.2,16.9,yes
17/01/2023 22:15,2,4.7,,1
2023-01-16 12:00:00,5,9.8,19.6,no
16/01/2023 05:45,4,3.4,7.9,false
2023-01-18 16:15:00,1,12.8,25.2,0
18/01/2023 20:30,3,7.1,18.7,true
2023-01-14 08:15:00,2,5.3,11.8,yes
14/01/2023 12:00,5,,20.4,1
2023-01-19 15:30:00,4,13.6,27.9,no
19/01/2023 19:15,1,8.9,16.1,false
2023-01-20 10:30:00,3,6.4,13.5,0
20/01/2023 23:45,2,4.1,9.6,true
2023-01-15 17:15:00,5,11.4,23.7,yes
15/01/2023 21:00,4,9.1,19.2,1
2023-01-17 07:45:00,1,,10.9,no
17/01/2023 12:30,3,7.7,21.6,false
2023-01-16 20:00:00,2,5.9,15.8,0
16/01/2023 09:15,5,13.2,24.5,true
2023-01-18 13:45:00,4,8.6,,yes
18/01/2023 17:30,1,6.8,18.3,1
2023-01-14 15:00:00,3,10.5,22.1,no
14/01/2023 19:45,2,4.6,12.7,false
2023-01-19 09:15:00,5,12.9,26.3,0
19/01/2023 13:30,4,7.3,17.9,true
2023-01-20 17:00:00,1,,14.6,yes
20/01/2023 21:45,3,9.4,20.8,1
2023-01-15 07:30:00,2,5.7,10.2,no
15/01/2023 11:45,5,8.2,19.4,false
2023-01-17 16:00:00,4,89.6,28.1,0
17/01/2023 19:30,1,11.3,21.5,true
2023-01-16 13:15:00,3,6.9,16.2,yes
