text,label
"This product is terrible and broke after one day. Complete waste of money and I regret buying it.",0
"Amazing quality! I love this product and would highly recommend it to everyone. Best purchase ever!",1
"The worst purchase I have ever made. Very disappointed with the quality and performance.",0
"Excellent product! Works perfectly and exceeded all my expectations. Worth every penny!",1
"Horrible experience. The item arrived broken and defective. Customer service was terrible too.",0
"Great value for money! This product is fantastic and I use it every single day.",1
"Absolutely terrible! Poor quality and stopped working after just two weeks. Total waste!",0
"I love love love this product! Amazing design and excellent functionality. Highly recommend!",1
"Disappointed with this purchase. Bad quality and not worth the price at all.",0
"Perfect! This is exactly what I needed. Great product and fast shipping too!",1
"Terrible terrible terrible! Broke immediately and the quality is just awful. Don't buy!",0
"Best product ever! I am so happy with this purchase. Excellent quality and great price!",1
"This is garbage. Poor construction and terrible materials. Complete waste of money!",0
"Wonderful product! Love the quality and it works great. Would definitely buy again!",1
"Bad bad bad! This product is defective and useless. Very disappointed!",0
"Excellent purchase! Amazing quality and perfect size. I highly recommend this to everyone!",1
"Worst product ever! Terrible quality and broke after one use. Total disappointment!",0
"Great great great! Love this product so much. Perfect for my needs and excellent value!",1
"Horrible quality! This product is terrible and not worth any money. Very poor!",0
"Amazing! Best purchase I made this year. Excellent quality and works perfectly!",1
"Disappointed disappointed disappointed! Bad quality and terrible design. Don't waste your money!",0
"Perfect product! Great quality and excellent performance. Love it so much!",1
"This is the worst! Terrible product and broke immediately. Poor quality and bad design!",0
"I love this! Amazing product with great features. Excellent quality and highly recommend!",1
"Terrible purchase! Poor quality and stopped working quickly. Complete waste of money!",0
"Best best best! Excellent product and great value. Love it and would buy again!",1
"Bad quality! This product is terrible and defective. Very disappointed with purchase!",0
"Wonderful! Great product with excellent quality. Perfect and highly recommended!",1
"Horrible! Worst purchase ever. Terrible quality and broke after two days!",0
"Amazing product! Love the quality and design. Great value and works perfectly!",1
"Terrible! Poor poor poor quality and bad construction. Total waste of money!",0
"Excellent! Best product for the price. Great quality and I love it so much!",1
"This is awful! Terrible quality and broke right away. Disappointed and angry!",0
"Perfect perfect perfect! Amazing quality and excellent performance. Highly recommend this product!",1
"Worst worst worst! Bad quality and terrible design. Don't buy this product!",0
"Great purchase! Love this product and use it daily. Excellent quality and value!",1
"Horrible product! Terrible quality and broke quickly. Poor construction and bad materials!",0
"Amazing! Best product ever and excellent quality. Love it and highly recommend!",1
"Terrible terrible! Poor quality and stopped working fast. Complete waste and disappointment!",0
"Wonderful product! Great quality and perfect functionality. Excellent purchase and love it!",1
"Bad bad! This product is terrible and defective. Worst purchase and very disappointed!",0
"Excellent excellent! Amazing quality and great design. Perfect product and highly recommended!",1
"Horrible horrible! Terrible quality and broke immediately. Poor product and total waste!",0
"Love this product! Great quality and excellent value. Best purchase and works perfectly!",1
"Worst quality ever! Terrible product and broke fast. Bad design and disappointed!",0
"Perfect! Amazing product with excellent features. Great quality and love it so much!",1
"Terrible quality! Poor construction and broke quickly. Bad product and complete waste!",0
"Great great! Excellent product and wonderful quality. Perfect and highly recommend it!",1
