date,sales_amount,store_region
2023-01-01,68500,North
2023-01-02,52000,South
2023-01-03,71200,West
2023-01-04,54800,North
2023-01-05,47300,South
2023-01-06,63900,West
2023-01-07,82400,North
2023-01-08,89100,South
2023-01-09,62100,West
2023-01-10,56700,North
2023-01-11,49200,South
2023-01-12,68400,West
2023-01-13,58900,North
2023-01-14,83200,South
2023-01-15,95800,West
2023-01-16,61300,North
2023-01-17,51700,South
2023-01-18,72600,West
2023-01-19,59400,North
2023-01-20,48900,South
2023-01-21,87300,West
2023-01-22,91200,North
2023-01-23,54600,South
2023-01-24,69800,West
2023-01-25,71400,North
2023-01-26,63200,South
2023-01-27,84700,West
2023-01-28,92600,North
2023-01-29,78400,South
2023-01-30,96300,West
2023-01-31,88900,North
2023-02-01,55200,South
2023-02-02,67800,West
2023-02-03,58600,North
2023-02-04,86400,South
2023-02-05,93700,West
2023-02-06,62400,North
2023-02-07,51800,South
2023-02-08,70200,West
2023-02-09,57900,North
2023-02-10,49600,South
2023-02-11,85600,West
2023-02-12,88900,North
2023-02-13,53700,South
2023-02-14,120000,West
2023-02-15,60800,North
2023-02-16,50900,South
2023-02-17,71400,West
2023-02-18,89200,North
2023-02-19,82100,South
2023-02-20,66300,West
2023-02-21,56100,North
2023-02-22,48400,South
2023-02-23,69700,West
2023-02-24,58200,North
2023-02-25,75800,South
2023-02-26,91400,West
2023-02-27,86700,North
2023-02-28,79300,South
2023-03-01,73600,West
2023-03-02,59400,North
2023-03-03,51200,South
2023-03-04,92800,West
2023-03-05,87600,North
2023-03-06,54900,South
2023-03-07,68700,West
2023-03-08,60300,North
2023-03-09,49800,South
2023-03-10,71900,West
2023-03-11,84300,North
2023-03-12,90200,South
2023-03-13,63800,West
2023-03-14,57600,North
2023-03-15,50400,South
2023-03-16,69300,West
2023-03-17,58700,North
2023-03-18,85700,South
2023-03-19,94100,West
2023-03-20,61900,North
2023-03-21,52300,South
2023-03-22,70800,West
2023-03-23,59100,North
2023-03-24,48700,South
2023-03-25,81200,West
2023-03-26,88400,North
2023-03-27,76900,South
2023-03-28,92700,West
2023-03-29,85300,North
2023-03-30,77800,South
2023-03-31,95400,West
2023-04-01,88600,North
2023-04-02,55800,South
2023-04-03,68200,West
2023-04-04,58900,North
2023-04-05,50600,South
2023-04-06,72400,West
2023-04-07,59800,North
2023-04-08,86900,South
2023-04-09,93400,West
2023-04-10,62700,North
2023-04-11,51900,South
2023-04-12,69900,West
2023-04-13,58400,North
2023-04-14,49300,South
2023-04-15,84800,West
2023-04-16,89700,North
2023-04-17,54200,South
2023-04-18,67600,West
2023-04-19,60100,North
2023-04-20,50200,South
2023-04-21,71600,West
2023-04-22,85900,North
2023-04-23,91800,South
2023-04-24,64200,West
2023-04-25,73800,North
2023-04-26,77400,South
2023-04-27,88900,West
2023-04-28,90300,North
2023-04-29,81600,South
2023-04-30,96800,West
2023-05-01,63100,North
2023-05-02,52600,South
2023-05-03,70500,West
2023-05-04,59300,North
2023-05-05,49900,South
2023-05-06,87100,West
2023-05-07,92300,North
2023-05-08,55400,South
2023-05-09,68900,West
2023-05-10,60700,North
2023-05-11,51400,South
2023-05-12,72800,West
2023-05-13,86200,North
2023-05-14,94600,South
2023-05-15,64900,West
2023-05-16,58200,North
2023-05-17,50800,South
2023-05-18,71100,West
2023-05-19,59600,North
2023-05-20,87800,South
2023-05-21,95200,West
2023-05-22,62900,North
2023-05-23,52100,South
2023-05-24,69600,West
2023-05-25,74900,North
2023-05-26,78600,South
2023-05-27,89700,West
2023-05-28,91900,North
2023-05-29,82400,South
2023-05-30,97100,West
2023-05-31,88200,North
2023-06-01,54700,South
2023-06-02,68500,West
2023-06-03,89400,North
2023-06-04,93100,South
2023-06-05,61800,West
2023-06-06,58700,North
2023-06-07,51300,South
2023-06-08,72100,West
2023-06-09,60400,North
2023-06-10,88600,South
2023-06-11,94900,West
2023-06-12,63400,North
2023-06-13,52800,South
2023-06-14,70700,West
2023-06-15,59900,North
2023-06-16,50100,South
2023-06-17,85300,West
2023-06-18,90800,North
2023-06-19,55100,South
2023-06-20,68100,West
2023-06-21,60900,North
2023-06-22,51600,South
2023-06-23,73200,West
2023-06-24,87400,North
2023-06-25,77900,South
2023-06-26,90200,West
2023-06-27,92100,North
2023-06-28,83700,South
2023-06-29,96500,West
2023-06-30,89800,North
2023-07-01,56300,South
2023-07-02,69400,West
2023-07-03,61200,North
2023-07-04,180000,South
2023-07-05,73900,West
2023-07-06,60600,North
2023-07-07,51100,South
2023-07-08,88300,West
2023-07-09,93800,North
2023-07-10,54800,South
2023-07-11,69100,West
2023-07-12,61500,North
2023-07-13,52400,South
2023-07-14,72600,West
2023-07-15,86700,North
2023-07-16,95400,South
2023-07-17,64600,West
2023-07-18,58900,North
2023-07-19,51900,South
2023-07-20,71800,West
2023-07-21,60200,North
2023-07-22,88900,South
2023-07-23,96200,West
2023-07-24,63700,North
2023-07-25,76300,South
2023-07-26,89400,West
2023-07-27,91600,North
2023-07-28,83200,South
2023-07-29,97800,West
2023-07-30,90400,North
2023-07-31,82900,South
2023-08-01,70900,West
2023-08-02,61700,North
2023-08-03,52900,South
2023-08-04,73500,West
2023-08-05,87900,North
2023-08-06,94200,South
2023-08-07,65300,West
2023-08-08,59400,North
2023-08-09,51800,South
