datanode_id,disk_path,used_bytes,capacity_bytes
dn-prod-01,/data/disk0,450000000000,500000000000
dn-prod-01,/data/disk1,150000000000,500000000000
dn-prod-01,/data/disk2,180000000000,500000000000
dn-prod-02,/data/disk0,480000000000,500000000000
dn-prod-02,/data/disk1,470000000000,500000000000
dn-prod-02,/data/disk2,465000000000,500000000000
dn-prod-02,/data/disk3,460000000000,500000000000
dn-prod-03,/data/disk0,850000000000,1000000000000
dn-prod-03,/data/disk1,200000000000,1000000000000
dn-prod-03,/data/disk2,250000000000,1000000000000
dn-prod-03,/data/disk3,300000000000,1000000000000
dn-prod-04,/data/disk0,420000000000,500000000000
dn-prod-04,/data/disk1,430000000000,500000000000
dn-prod-04,/data/disk2,425000000000,500000000000
dn-prod-05,/data/disk0,750000000000,1000000000000
dn-prod-05,/data/disk1,780000000000,1000000000000
dn-prod-05,/data/disk2,760000000000,1000000000000
dn-prod-05,/data/disk3,770000000000,1000000000000
dn-prod-05,/data/disk4,765000000000,1000000000000
dn-prod-06,/data/disk0,300000000000,500000000000
dn-prod-06,/data/disk1,310000000000,500000000000
dn-prod-06,/data/disk2,320000000000,500000000000
dn-prod-07,/data/disk0,450000000000,500000000000
dn-prod-07,/data/disk1,340000000000,500000000000
dn-prod-07,/data/disk2,120000000000,500000000000
dn-prod-07,/data/disk3,350000000000,500000000000
dn-prod-08,/data/disk0,550000000000,1000000000000
dn-prod-08,/data/disk1,520000000000,1000000000000
dn-prod-08,/data/disk2,540000000000,1000000000000
dn-prod-09,/data/disk0,380000000000,500000000000
dn-prod-09,/data/disk1,290000000000,500000000000
dn-prod-09,/data/disk2,350000000000,500000000000
dn-prod-09,/data/disk3,360000000000,500000000000
dn-prod-09,/data/disk4,340000000000,500000000000
dn-prod-10,/data/disk0,200000000000,500000000000
dn-prod-10,/data/disk1,210000000000,500000000000
dn-prod-10,/data/disk2,195000000000,500000000000
dn-prod-10,/data/disk3,205000000000,500000000000
