transaction_id,timestamp,customer_id,product_id,product_category,amount,currency,region
TXN-A1B2C3D4,1673785822,EU-CUST-10001,PROD-1001,Consumer Electronics,299.99,EUR,EU
TXN-E5F6G7H8,1673872222,EU-CUST-10002,PROD-1002,Apparel,89.50,EUR,EU
TXN-I9J0K1L2,1673958622,EU-CUST-10003,PROD-1003,Home Goods,156.75,EUR,EU
TXN-M3N4O5P6,1674045022,EU-CUST-10004,PROD-1004,Literature,45.20,EUR,EU
TXN-Q7R8S9T0,1674131422,EU-CUST-10005,PROD-1005,Athletic Equipment,234.00,EUR,EU
TXN-U1V2W3X4,1674217822,EU-CUST-10006,PROD-1006,Consumer Electronics,899.99,EUR,EU
TXN-Y5Z6A7B8,1674304222,EU-CUST-10007,PROD-1007,Apparel,125.30,EUR,EU
TXN-C9D0E1F2,1674390622,EU-CUST-10008,PROD-1008,,78.90,EUR,EU
TXN-G3H4I5J6,1674477022,EU-CUST-10009,PROD-1009,Home Goods,445.60,EUR,EU
TXN-K7L8M9N0,1674563422,EU-CUST-10010,PROD-1010,Literature,32.15,EUR,EU
TXN-O1P2Q3R4,1674649822,EU-CUST-10011,PROD-1011,Athletic Equipment,187.25,EUR,EU
TXN-S5T6U7V8,1674736222,EU-CUST-10012,PROD-1012,Consumer Electronics,1250.75,EUR,EU
TXN-W9X0Y1Z2,1674822622,EU-CUST-10013,PROD-1013,Apparel,67.40,EUR,EU
TXN-A3B4C5D6,1674909022,EU-CUST-10014,PROD-1014,Home Goods,203.85,EUR,EU
TXN-E7F8G9H0,,EU-CUST-10015,PROD-1015,Literature,28.50,EUR,EU
TXN-I1J2K3L4,1675081822,EU-CUST-10016,PROD-1016,Athletic Equipment,345.90,EUR,EU
TXN-M5N6O7P8,1675168222,EU-CUST-10017,PROD-1017,Consumer Electronics,567.30,EUR,EU
TXN-Q9R0S1T2,1675254622,EU-CUST-10018,PROD-1018,Apparel,95.75,EUR,EU
TXN-U3V4W5X6,1675341022,EU-CUST-10019,PROD-1019,,152.40,EUR,EU
TXN-Y7Z8A9B0,1675427422,EU-CUST-10020,PROD-1020,Home Goods,289.60,EUR,EU
TXN-C1D2E3F4,1675513822,EU-CUST-10021,PROD-1021,Literature,41.85,EUR,EU
TXN-G5H6I7J8,1675600222,EU-CUST-10022,PROD-1022,Athletic Equipment,278.50,EUR,EU
TXN-K9L0M1N2,1675686622,EU-CUST-10023,PROD-1023,Consumer Electronics,723.99,EUR,EU
TXN-O3P4Q5R6,1675773022,EU-CUST-10024,PROD-1024,Apparel,112.20,EUR,EU
TXN-S7T8U9V0,1675859422,EU-CUST-10025,PROD-1025,Home Goods,198.75,EUR,EU
TXN-W1X2Y3Z4,1675945822,EU-CUST-10026,PROD-1026,Literature,55.30,EUR,EU
TXN-A5B6C7D8,1676032222,EU-CUST-10027,PROD-1027,Athletic Equipment,412.80,EUR,EU
TXN-E9F0G1H2,1676118622,EU-CUST-10028,PROD-1028,Consumer Electronics,834.50,EUR,EU
TXN-I3J4K5L6,1676205022,EU-CUST-10029,PROD-1029,null,143.65,EUR,EU
TXN-M7N8O9P0,1676291422,EU-CUST-10030,PROD-1030,Home Goods,267.40,EUR,EU
TXN-Q1R2S3T4,1676377822,EU-CUST-10031,PROD-1031,Literature,38.90,EUR,EU
TXN-U5V6W7X8,1676464222,EU-CUST-10032,PROD-1032,Athletic Equipment,523.75,EUR,EU
TXN-Y9Z0A1B2,1676550622,EU-CUST-10033,PROD-1033,Consumer Electronics,645.20,EUR,EU
TXN-C3D4E5F6,1676637022,EU-CUST-10034,PROD-1034,Apparel,88.45,EUR,EU
TXN-G7H8I9J0,1676723422,EU-CUST-10035,PROD-1035,Home Goods,334.90,EUR,EU
TXN-K1L2M3N4,1676809822,EU-CUST-10036,PROD-1036,Literature,47.60,EUR,EU
TXN-O5P6Q7R8,1676896222,EU-CUST-10037,PROD-1037,Athletic Equipment,189.30,EUR,EU
TXN-S9T0U1V2,1676982622,EU-CUST-10038,PROD-1038,Consumer Electronics,978.85,EUR,EU
TXN-W3X4Y5Z6,1677069022,EU-CUST-10039,PROD-1039,Apparel,134.70,EUR,EU
TXN-A7B8C9D0,1677155422,EU-CUST-10040,PROD-1040,Home Goods,245.55,EUR,EU
TXN-E1F2G3H4,1677241822,EU-CUST-10041,PROD-1041,Literature,29.95,EUR,EU
TXN-I5J6K7L8,1677328222,EU-CUST-10042,PROD-1042,Athletic Equipment,367.40,EUR,EU
TXN-M9N0O1P2,1677414622,EU-CUST-10043,PROD-1043,Consumer Electronics,1125.60,EUR,EU
TXN-Q3R4S5T6,1677501022,EU-CUST-10044,PROD-1044,Apparel,76.80,EUR,EU
TXN-U7V8W9X0,1677587422,EU-CUST-10045,PROD-1045,,215.90,EUR,EU
TXN-Y1Z2A3B4,1677673822,EU-CUST-10046,PROD-1046,Home Goods,178.25,EUR,EU
TXN-C5D6E7F8,1677760222,EU-CUST-10047,PROD-1047,Literature,52.40,EUR,EU
TXN-G9H0I1J2,1677846622,EU-CUST-10048,PROD-1048,Athletic Equipment,298.70,EUR,EU
TXN-K3L4M5N6,1677933022,EU-CUST-10049,PROD-1049,Consumer Electronics,756.30,EUR,EU
TXN-O7P8Q9R0,1678019422,EU-CUST-10050,PROD-1050,Apparel,103.55,EUR,EU
TXN-S1T2U3V4,1678105822,EU-CUST-10051,PROD-1051,Home Goods,423.80,EUR,EU
TXN-W5X6Y7Z8,1678192222,EU-CUST-10052,PROD-1052,Literature,36.25,EUR,EU
TXN-A9B0C1D2,1678278622,EU-CUST-10053,PROD-1053,Athletic Equipment,445.95,EUR,EU
TXN-E3F4G5H6,1678365022,EU-CUST-10054,PROD-1054,Consumer Electronics,889.40,EUR,EU
TXN-I7J8K9L0,1678451422,EU-CUST-10055,PROD-1055,Apparel,118.60,EUR,EU
TXN-M1N2O3P4,1678537822,EU-CUST-10056,PROD-1056,Home Goods,267.75,EUR,EU
TXN-Q5R6S7T8,1678624222,EU-CUST-10057,PROD-1057,Literature,44.30,EUR,EU
TXN-U9V0W1X2,1678710622,EU-CUST-10058,PROD-1058,Athletic Equipment,312.85,EUR,EU
TXN-Y3Z4A5B6,1678797022,EU-CUST-10059,PROD-1059,Consumer Electronics,623.50,EUR,EU
TXN-C7D8E9F0,1678883422,EU-CUST-10060,PROD-1060,Apparel,91.20,EUR,EU
TXN-G1H2I3J4,1678969822,EU-CUST-10061,PROD-1061,Home Goods,356.45,EUR,EU
TXN-K5L6M7N8,1679056222,EU-CUST-10062,PROD-1062,Literature,15.00,EUR,EU
TXN-O9P0Q1R2,1679142622,EU-CUST-10063,PROD-1063,Athletic Equipment,198.60,EUR,EU
TXN-S3T4U5V6,1679229022,EU-CUST-10064,PROD-1064,Consumer Electronics,1034.75,EUR,EU
TXN-W7X8Y9Z0,1679315422,EU-CUST-10065,PROD-1065,Apparel,145.90,EUR,EU
TXN-A1B2C3D4,1679401822,EU-CUST-10066,PROD-1066,Home Goods,289.30,EUR,EU
TXN-Z9Y8X7W6,1679488222,EU-CUST-10067,PROD-1067,Consumer Electronics,712.45,EUR,EU
TXN-V5U4T3S2,1679574622,EU-CUST-10068,PROD-1068,Apparel,82.75,EUR,EU
TXN-R1Q0P9O8,1679661022,EU-CUST-10069,PROD-1069,Home Goods,238.50,EUR,EU
TXN-N7M6L5K4,1679747422,EU-CUST-10070,PROD-1070,Athletic Equipment,456.80,EUR,EU
