transaction_id,timestamp,customer_id,product_id,product_category,amount,currency,region
TXN-A1B2C3D4,15/01/2023 14:30:22,ASIA-100234,PROD-1001,ELEC,25000,JPY,ASIA
TXN-E5F6G7H8,16/01/2023 09:15:00,ASIA-100567,PROD-1023,CLTH,150,SGD,ASIA
TXN-I9J0K1L2,17/01/2023 11:45:33,ASIA-100891,PROD-1045,HOME,8500,INR,ASIA
TXN-M3N4O5P6,18/01/2023 16:20:10,ASIA-101234,PROD-1067,BOOK,2500,JPY,ASIA
TXN-Q7R8S9T0,19/01/2023 08:30:45,ASIA-101567,PROD-1089,SPRT,4500,INR,ASIA
TXN-U1V2W3X4,20/01/2023 13:55:20,ASIA-101890,PROD-1101,ELEC,35000,JPY,ASIA
TXN-Y5Z6A7B8,21/01/2023 10:25:30,ASIA-102234,PROD-1123,CLTH,200,SGD,ASIA
TXN-C9D0E1F2,22/01/2023 15:40:15,ASIA-102567,PROD-1145,HOME,12000,INR,ASIA
TXN-G3H4I5J6,23/01/2023 12:10:50,ASIA-102891,PROD-1167,BOOK,1800,JPY,ASIA
TXN-K7L8M9N0,24/01/2023 14:35:25,ASIA-103234,PROD-1189,SPRT,6500,INR,ASIA
TXN-O1P2Q3R4,25/01/2023 09:50:40,ASIA-103567,PROD-1201,ELEC,45000,JPY,ASIA
TXN-S5T6U7V8,26/01/2023 11:20:55,ASIA-103890,PROD-1223,CLTH,N/A,SGD,ASIA
TXN-W9X0Y1Z2,27/01/2023 16:45:10,ASIA-104234,PROD-1245,HOME,15000,INR,ASIA
TXN-A3B4C5D6,28/02/2023 08:15:30,ASIA-104567,PROD-1267,BOOK,3200,JPY,ASIA
TXN-I1J2K3L4,02/03/2023 10:55:20,ASIA-105234,PROD-1301,ELEC,28000,JPY,ASIA
TXN-M5N6O7P8,03/03/2023 15:10:35,ASIA-105567,PROD-1323,CLTH,180,SGD,ASIA
TXN-Q9R0S1T2,04/03/2023 12:40:50,ASIA-105890,PROD-1345,HOME,9500,INR,ASIA
TXN-U3V4W5X6,05/03/2023 09:25:15,ASIA-106234,PROD-1367,BOOK,2800,JPY,ASIA
TXN-Y7Z8A9B0,06/03/2023 14:50:30,ASIA-106567,PROD-1389,SPRT,7200,INR,ASIA
TXN-C1D2E3F4,07/03/2023 11:15:45,ASIA-106891,PROD-1401,ELEC,38000,JPY,ASIA
TXN-G5H6I7J8,08/03/2023 16:30:20,ASIA-107234,PROD-1423,CLTH,220,SGD,ASIA
TXN-K9L0M1N2,09/03/2023 13:45:35,ASIA-107567,PROD-1445,HOME,11500,INR,ASIA
TXN-O3P4Q5R6,10/03/2023 10:20:50,ASIA-107890,PROD-1467,BOOK,3500,JPY,ASIA
TXN-S7T8U9V0,11/03/2023 15:35:25,ASIA-108234,PROD-1489,SPRT,5800,INR,ASIA
TXN-W1X2Y3Z4,12/03/2023 12:50:40,ASIA-108567,PROD-1501,ELEC,32000,JPY,ASIA
TXN-A5B6C7D8,13/03/2023 09:15:55,ASIA-108891,PROD-1523,CLTH,190,SGD,ASIA
TXN-E9F0G1H2,14/03/2023 14:30:10,ASIA-109234,PROD-1545,HOME,13500,INR,ASIA
TXN-M7N8O9P0,16/03/2023 16:20:40,ASIA-109890,PROD-1589,SPRT,6800,INR,ASIA
TXN-Q1R2S3T4,17/03/2023 13:35:55,ASIA-110234,PROD-1601,ELEC,42000,JPY,ASIA
TXN-U5V6W7X8,18/03/2023 10:50:10,ASIA-110567,PROD-1623,CLTH,-50,SGD,ASIA
TXN-Y9Z0A1B2,19/03/2023 15:15:25,ASIA-110891,PROD-1645,HOME,14500,INR,ASIA
TXN-C3D4E5F6,20/03/2023 12:30:40,ASIA-111234,PROD-1667,BOOK,3800,JPY,ASIA
TXN-A1B2C3D4,21/03/2023 09:45:55,ASIA-100234,PROD-1001,ELEC,25000,JPY,ASIA
TXN-G7H8I9J0,22/03/2023 14:10:20,ASIA-111567,PROD-1689,SPRT,7500,INR,ASIA
TXN-K1L2M3N4,23/03/2023 11:25:35,ASIA-111890,PROD-1701,ELEC,36000,JPY,ASIA
TXN-O5P6Q7R8,24/03/2023 16:40:50,ASIA-112234,PROD-1723,CLTH,210,SGD,ASIA
TXN-S9T0U1V2,25/03/2023 13:55:15,ASIA-112567,PROD-1745,HOME,10500,INR,ASIA
TXN-W3X4Y5Z6,26/03/2023 10:10:30,ASIA-112891,PROD-1767,BOOK,3100,JPY,ASIA
TXN-A7B8C9D0,27/03/2023 15:25:45,ASIA-113234,PROD-1789,SPRT,6200,INR,ASIA
TXN-E1F2G3H4,28/03/2023 12:40:20,ASIA-113567,PROD-1801,ELEC,40000,JPY,ASIA
TXN-I5J6K7L8,29/03/2023 09:55:35,ASIA-113890,PROD-1823,CLTH,230,SGD,ASIA
TXN-M9N0O1P2,30/03/2023 14:20:50,ASIA-114234,PROD-1845,HOME,12500,INR,ASIA
TXN-Q3R4S5T6,31/03/2023 11:35:15,ASIA-114567,PROD-1867,BOOK,3400,JPY,ASIA
TXN-U7V8W9X0,01/04/2023 16:50:30,ASIA-114891,PROD-1889,SPRT,8200,INR,ASIA
TXN-Y1Z2A3B4,02/04/2023 13:15:45,ASIA-115234,PROD-1901,ELEC,48000,JPY,ASIA
TXN-G9H0I1J2,04/04/2023 15:45:35,ASIA-115890,PROD-1945,HOME,16500,INR,ASIA
TXN-K3L4M5N6,05/04/2023 12:20:50,ASIA-116234,PROD-1967,BOOK,4200,JPY,ASIA
TXN-O7P8Q9R0,06/04/2023 09:35:15,ASIA-116567,PROD-1989,SPRT,9500,INR,ASIA
TXN-S1T2U3V4,07/04/2023 14:50:30,ASIA-116891,PROD-2001,ELEC,33000,JPY,ASIA
TXN-W5X6Y7Z8,08/04/2023 11:15:45,ASIA-117234,PROD-2023,CLTH,195,SGD,ASIA
TXN-A9B0C1D2,09/04/2023 16:30:20,ASIA-117567,PROD-2045,HOME,11000,INR,ASIA
TXN-E3F4G5H6,10/04/2023 13:45:35,ASIA-117890,PROD-2067,BOOK,3600,JPY,ASIA
TXN-I7J8K9L0,11/04/2023 10:20:50,ASIA-118234,PROD-2089,SPRT,7800,INR,ASIA
TXN-M1N2O3P4,12/04/2023 15:35:15,ASIA-118567,PROD-2101,ELEC,44000,JPY,ASIA
TXN-Q5R6S7T8,13/04/2023 12:50:30,ASIA-118891,PROD-2123,CLTH,240,SGD,ASIA
TXN-U9V0W1X2,14/04/2023 09:15:45,ASIA-119234,PROD-2145,HOME,13000,INR,ASIA
TXN-Y3Z4A5B6,15/04/2023 14:30:20,ASIA-119567,PROD-2167,BOOK,3900,JPY,ASIA
TXN-M7N8O9P0,16/04/2023 11:45:35,ASIA-109890,PROD-1589,SPRT,6800,INR,ASIA
TXN-C7D8E9F0,17/04/2023 16:20:50,ASIA-119890,PROD-2189,SPRT,8800,INR,ASIA
TXN-G1H2I3J4,18/04/2023 13:35:15,ASIA-120234,PROD-2201,ELEC,50000,JPY,ASIA
TXN-K5L6M7N8,19/04/2023 10:50:30,ASIA-120567,PROD-2223,CLTH,260,SGD,ASIA
TXN-O9P0Q1R2,20/04/2023 15:15:45,ASIA-120891,PROD-2245,HOME,14000,INR,ASIA
TXN-S3T4U5V6,21/04/2023 12:30:20,ASIA-121234,PROD-2267,BOOK,4500,JPY,ASIA
TXN-W7X8Y9Z0,22/04/2023 09:45:35,ASIA-121567,PROD-2289,SPRT,9200,INR,ASIA
TXN-A1B2C3D4,23/04/2023 14:10:50,ASIA-121890,PROD-2301,ELEC,37000,JPY,ASIA
TXN-E5F6G7H8,24/04/2023 11:25:15,ASIA-122234,PROD-2323,CLTH,215,SGD,ASIA
TXN-I9J0K1L2,25/04/2023 16:40:30,ASIA-122567,PROD-2345,HOME,15500,INR,ASIA
TXN-M3N4O5P6,26/04/2023 13:55:45,ASIA-122891,PROD-2367,BOOK,4100,JPY,ASIA
TXN-Q7R8S9T0,27/04/2023 10:20:20,ASIA-123234,PROD-2389,SPRT,8500,INR,ASIA
