id,easting,northing
M001,551500.25,4182500.80
M002,410000.00,3770000.00
M003,525000.50,4135000.25
M004,545500.75,4200000.50
M005,480000.00,3900000.00
M006,620000.30,4350000.90
M007,555000.00,4185000.00
M008,430000.00,3820000.00
M009,510000.50,4050000.75
M010,590000.00,4280000.00
M011,465000.25,3950000.50
M012,535000.75,4160000.25
M013,575000.00,4245000.00
M014,440000.50,3855000.75
M015,505000.00,4025000.00
M016,560000.25,4210000.50
M017,495000.00,3975000.00
M018,545000.75,4190000.25
M019,425000.00,3795000.00
M020,515000.50,4085000.75
M021,585000.00,4265000.00
M022,470000.25,3925000.50
M023,530000.00,4145000.00
M024,550000.75,4205000.25
M025,455000.00,3880000.00
M026,520000.50,4110000.75
M027,595000.00,4295000.00
M028,475000.25,3940000.50
M029,540000.00,4170000.00
M030,565000.75,4230000.25
M031,445000.00,3845000.00
M032,500000.50,4010000.75
M033,580000.00,4255000.00
M034,485000.25,3965000.50
M035,525000.00,4125000.00
M036,555000.75,4195000.25
M037,435000.00,3810000.00
M038,510000.50,4065000.75
M039,590000.00,4275000.00
M040,460000.25,3915000.50
M041,535000.00,4155000.00
M042,570000.75,4220000.25
M043,450000.00,3870000.00
M044,515000.50,4095000.75
M045,600000.00,4310000.00
M046,480000.25,3955000.50
M047,530000.00,4140000.00
M048,560000.75,4215000.25
M049,440000.00,3835000.00
M050,505000.50,4045000.75
M051,585000.00,4270000.00
M052,475000.25,3945000.50
M053,540000.00,4175000.00
M054,565000.75,4235000.25
M055,455000.00,3890000.00
M056,520000.50,4115000.75
M057,595000.00,4300000.00
M058,490000.25,3985000.50
M059,535000.00,4165000.00
M060,575000.75,4250000.25
M061,445000.00,3860000.00
M062,510000.50,4075000.75
M063,590000.00,4285000.00
M064,470000.25,3930000.50
M065,540000.00,4180000.00
M066,560000.75,4225000.25
M067,450000.00,3875000.00
M068,515000.50,4100000.75
M069,600000.00,4320000.00
M070,485000.25,3970000.50
M071,530000.00,4150000.00
M072,570000.75,4240000.25
M073,150000.00,2500000.00
M074,850000.00,5200000.00
M075,200000.00,3200000.00
M076,700000.00,5000000.00
M077,551500.30,4182501.00
M078,545500.80,4200000.60
M079,555000.10,4185000.20
M080,535000.75,4160000.35
M081,,4100000.00
M083,abc,4150000.00
M084,525000.00,xyz
M085,465000.50,3948000.75
