S101;6150000.50;2100000.75
S102;6200000.25;2050000.50
S103;6180000.75;2120000.25
S104;6250000.00;2000000.00
S105;6175000.50;2110000.75
S106;6190000.25;2095000.50
S107;6165000.75;2105000.25
S108;6210000.00;2075000.00
S109;6185000.50;2115000.75
S110;6195000.25;2090000.50
S111;6170000.75;2108000.25
S112;6205000.00;2085000.00
S113;6155000.50;2102000.75
S114;6220000.25;2055000.50
S115;6175000.75;2112000.25
S116;6230000.00;2030000.00
S117;6160000.50;2098000.75
S118;6215000.25;2065000.50
S119;6172000.75;2106000.25
S120;6240000.00;2020000.00
S121;6182000.50;2118000.75
S122;6192000.25;2092000.50
S123;6168000.75;2104000.25
S124;6208000.00;2078000.00
S125;6178000.50;2114000.75
S126;6188000.25;2096000.50
S127;6163000.75;2100000.25
S128;6213000.00;2070000.00
S129;6150000.48;2100000.82
S130;6198000.25;2088000.50
S131;6173000.75;2109000.25
S132;6235000.00;2025000.00
S133;6158000.50;2099000.75
S134;6225000.25;2045000.50
S135;6176000.75;2113000.25
S136;6245000.00;2015000.00
S137;6162000.50;2101000.75
S138;6218000.25;2060000.50
S139;6174000.75;2111000.25
S140;6228000.00;2040000.00
S141;6184000.50;2117000.75
S142;6194000.25;2091000.50
S143;6169000.75;2105000.25
S144;6209000.00;2079000.00
S145;6179000.50;2115000.75
S146;6189000.25;2097000.50
S147;6164000.75;2103000.25
S148;6214000.00;2071000.00
S149;6150000.52;2100000.70
S150;6199000.25;2089000.50
S151;6171000.75;2107000.25
S152;6233000.00;2028000.00
S153;6157000.50;2098500.75
S154;6223000.25;2048000.50
S155;6177000.75;2113500.25
S156;6243000.00;2018000.00
S157;6161000.50;2101500.75
S158;6217000.25;2062000.50
S159;6173500.75;2110000.25
S160;6227000.00;2042000.00
S161;6183000.50;2116000.75
S162;6193000.25;2091500.50
S163;6167000.75;2104500.25
S164;6207000.00;2080000.00
S165;6180000.50;2116000.75
S166;6190000.25;2098000.50
S167;6166000.75;2103500.25
S168;6212000.00;2072000.00
S169;6181000.50;2119000.75
S170;6191000.25;2093000.50
S171;6172000.75;2108500.25
S172;6232000.00;2032000.00
S173;6159000.50;2099500.75
S174;6224000.25;2047000.50
S175;5500000.00;1500000.00
S176;7000000.00;2700000.00
S177;6155000.48;2100500.82
S178;-100000.50;2100000.75
S179;6200000.25;-50000.00
S180;9999999.99;9999999.99
