point_id,latitude,longitude
1,37.774929,-122.419416
2,34.052235,-118.243683
3,32.715736,-117.161087
4,37.334606,-121.890583
5,36.746842,-119.772587
6,33.812511,-117.918976
7,38.581572,-121.494400
8,37.338207,-121.886330
9,34.420830,-119.698189
10,36.778259,-119.417931
11,37.774925,-122.419420
12,37.774930,-122.419412
13,34.052240,-118.243680
14,38.037856,-122.284366
15,33.770050,-116.965042
16,39.729432,-121.837916
17,32.534156,-117.116394
18,40.443631,-122.308952
19,35.373291,-119.018713
20,36.329250,-119.292458
21,37.871593,-122.272743
22,34.196425,-119.177735
23,38.555605,-121.423562
24,33.618710,-117.929260
25,37.280650,-121.945154
26,41.289474,-122.308838
27,35.274444,-120.659618
28,36.804530,-119.802181
29,38.252665,-122.041176
30,33.988487,-117.941505
31,37.424106,-122.166077
32,34.420835,-119.698185
33,39.527843,-121.561119
34,32.825578,-116.978597
35,40.801530,-124.163524
36,36.967243,-121.958005
37,33.835293,-118.388228
38,38.689595,-121.365868
39,35.360637,-119.030900
40,37.644865,-120.996737
41,34.100850,-117.289759
42,39.160800,-123.207350
43,32.534160,-117.116390
44,36.885618,-121.778336
45,33.968340,-118.418915
46,38.437933,-122.714637
47,35.482255,-120.669437
48,41.706367,-122.635574
49,34.348709,-119.528843
50,37.968403,-122.511637
51,36.170619,-119.449318
52,33.523598,-117.661742
53,38.690260,-121.181771
54,35.372923,-118.999644
55,40.586553,-122.391670
56,32.835346,-115.566710
57,37.363766,-120.473290
58,34.274146,-119.229034
59,39.267925,-120.972496
60,33.212330,-117.362267
61,36.605301,-121.894676
62,38.289470,-122.458620
63,35.469856,-120.730743
64,41.456843,-120.013535
65,34.063305,-118.359012
66,37.485760,-122.228916
67,33.750670,-118.193739
68,36.738171,-119.786816
69,38.736946,-120.805084
70,32.612896,-115.422632
71,39.745600,-121.617989
72,34.198742,-118.542557
73,37.876091,-122.298306
74,35.626160,-120.690290
75,40.778557,-124.182620
76,33.586042,-117.725472
77,38.018914,-121.945154
78,36.329255,-119.292460
79,34.901991,-120.435712
80,37.969185,-121.290618
81,45.523064,-122.676483
82,47.606209,-122.332069
83,25.761681,-80.191788
84,39.099728,-94.578568
85,37.774933,-122.419418
86,92.123456,-122.419416
87,37.774929,185.123456
88,34.052238,-118.243681
89,32.715738,-117.161085
90,37.774927,-122.419414
91,38.555607,-121.423560
92,36.746845,-119.772585
93,34.420832,-119.698187
94,37.871595,-122.272741
95,33.618712,-117.929258
96,40.443633,-122.308950
97,35.373293,-119.018711
98,37.280652,-121.945152
99,33.988489,-117.941503
100,36.804532,-119.802179
