transaction_id,request_timestamp_ms,response_timestamp_ms,signal_strength_dbm
LGT001,1700000000000,1700000000025,-32.5
LGT002,1700000001000,1700000001038,-28.3
LGT003,1700000002000,1700000002015,-35.2
LGT004,1700000003000,1700000003042,-29.7
LGT005,1700000004000,1700000004033,-31.8
LGT006,1700000005000,1700000005019,-27.4
LGT007,1700000006000,1700000006047,-33.6
LGT008,1700000007000,1700000007028,-30.1
LGT009,1700000008000,1700000008036,-26.9
LGT010,1700000009000,1700000009022,-34.3
LGT011,1700000010000,1700000010041,-29.5
LGT012,1700000011000,1700000011017,-31.2
LGT013,1700000012000,1700000012044,-28.8
LGT014,1700000013000,1700000013029,-32.7
LGT015,1700000014000,1700000014012,-35.9
LGT016,1700000015000,1700000015050,-27.1
LGT017,1700000016000,1700000016034,-30.4
LGT018,1700000017000,1700000017021,-33.8
LGT019,1700000018000,1700000018045,-29.2
LGT020,1700000019000,1700000019026,-31.6
LGT021,1700000020000,1700000020039,-28.5
LGT022,1700000021000,1700000021014,-34.1
LGT023,1700000022000,1700000022048,-30.8
LGT024,1700000023000,1700000023031,-27.6
LGT025,1700000024000,1700000024018,-32.4
LGT026,1700000025000,1700000025043,-29.9
LGT027,1700000026000,1700000026027,-35.5
LGT028,1700000027000,1700000027037,-26.8
LGT029,1700000028000,1700000028020,-31.1
LGT030,1700000029000,1700000029046,-28.7
LGT031,1700000030000,1700000030013,-33.2
LGT032,1700000031000,1700000031035,-30.6
LGT033,1700000032000,1700000032024,-27.3
LGT034,1700000033000,1700000033049,-32.9
LGT035,1700000034000,1700000034030,-29.4
LGT036,1700000035000,1700000035016,-34.7
LGT037,1700000036000,1700000036042,-28.1
LGT038,1700000037000,1700000037023,-31.5
LGT039,1700000038000,1700000038040,-26.5
LGT040,1700000039000,1700000039019,-33.6
LGT041,1700000040000,1700000040045,-30.2
LGT042,1700000041000,1700000041011,-28.9
LGT043,1700000042000,1700000042038,-32.1
LGT044,1700000043000,1700000043026,-35.4
LGT045,1700000044000,1700000044047,-27.8
LGT046,1700000045000,1700000045032,-29.7
LGT047,1700000046000,1700000046015,-31.9
LGT048,1700000047000,1700000047044,-33.3
LGT049,1700000048000,1700000048021,-26.2
LGT050,1700000049000,1700000049036,-30.5
LGT051,1700000050000,1700000050028,-28.4
LGT052,1700000051000,1700000051050,-34.8
LGT053,1700000052000,1700000052017,-29.1
LGT054,1700000053000,1700000053041,-31.7
LGT055,1700000054000,1700000054024,-27.9
LGT056,1700000055000,1700000055033,-32.6
LGT057,1700000056000,1700000056012,-35.1
LGT058,1700000057000,1700000057046,-28.6
LGT059,1700000058000,1700000058029,-30.3
LGT060,1700000059000,1700000059018,-33.9
LGT061,1700000060000,1700000060043,-26.7
LGT062,1700000061000,1700000061025,-31.4
LGT063,1700000062000,1700000062037,-29.8
LGT064,1700000063000,1700000063014,-34.5
LGT065,1700000064000,1700000064048,-27.2
LGT066,1700000065000,1700000065031,-32.8
LGT067,1700000066000,1700000066022,-30.9
LGT068,1700000067000,1700000067040,-28.3
LGT069,1700000068000,1700000068016,-35.6
LGT070,1700000069000,1700000069045,-29.5
LGT071,1700000070000,1700000070027,-31.3
LGT072,1700000071000,1700000071039,-26.4
LGT073,1700000072000,1700000072020,-33.7
LGT074,1700000073000,1700000073049,-30.1
LGT075,1700000074000,1700000074013,-28.8
LGT076,1700000075000,1700000075034,-32.2
LGT077,1700000076000,1700000076026,-35.3
LGT078,1700000077000,1700000077042,-27.5
LGT079,1700000078000,1700000078019,-29.6
LGT080,1700000079000,1700000079047,-31.8
LGT081,1700000080000,1700000080030,-33.4
LGT082,1700000081000,1700000081015,-26.1
LGT083,1700000082000,1700000082041,-30.7
LGT084,1700000083000,1700000083023,-28.2
LGT085,1700000084000,1700000084038,-34.9
LGT086,1700000085000,1700000085017,-29.3
LGT087,1700000086000,1700000086044,-31.6
LGT088,1700000087000,1700000087028,-27.7
LGT089,1700000088000,1700000088035,-32.5
LGT090,1700000089000,1700000089012,-35.2
LGT091,1700000090000,1700000090046,-28.9
LGT092,1700000091000,1700000091021,-30.4
LGT093,1700000092000,1700000092037,-33.1
LGT094,1700000093000,1700000093024,-26.6
LGT095,1700000094000,1700000094050,-31.9
LGT096,1700000095000,1700000095032,-29.2
LGT097,1700000096000,1700000096018,-34.6
LGT098,1700000097000,1700000097043,-27.4
LGT099,1700000098000,1700000098029,-32.3
LGT100,1700000099000,1700000099016,-30.8
LGT101,1700000100000,1700000100040,-28.5
LGT102,1700000101000,1700000101025,-35.7
LGT103,1700000102000,1700000102048,-29.9
LGT104,1700000103000,1700000103033,-31.2
LGT105,1700000104000,1700000104014,-26.3
LGT106,1700000105000,1700000105042,-33.5
LGT107,1700000106000,1700000106027,-30.6
LGT108,1700000107000,1700000107036,-28.1
LGT109,1700000108000,1700000108019,-34.4
LGT110,1700000109000,1700000109045,-27.8
LGT111,1700000110000,1700000110022,-31.7
LGT112,1700000111000,1700000111038,-29.4
LGT113,1700000112000,1700000112015,-32.9
LGT114,1700000113000,1700000113047,-26.9
LGT115,1700000114000,1700000114030,-35.8
LGT116,1700000115000,1700000115011,-28.6
LGT117,1700000116000,1700000116041,-30.3
LGT118,1700000117000,1700000117026,-33.8
LGT119,1700000118000,1700000118034,-27.1
LGT120,1700000119000,1700000119020,-31.5
