transaction_id,order_id,product_id,quantity,unit_price,line_total,discount_percent,discount_amount,final_amount,transaction_date,warehouse_id,fulfillment_status
9001,8001,5023,2,29.99,59.98,10.0,6.00,53.98,2022-06-15 10:23:45,201,fulfilled
9002,8001,5045,1,89.99,89.99,0.0,0.00,89.99,2022-06-15 10:23:45,201,fulfilled
9003,8002,5012,3,15.50,46.50,5.0,2.33,44.17,2022-06-15 14:30:12,203,fulfilled
9004,8003,5067,1,124.99,124.99,15.0,18.75,106.24,2022-06-16 09:15:22,202,fulfilled
9005,8003,5089,2,45.00,90.00,10.0,9.00,81.00,2022-06-16 09:15:22,202,fulfilled
9006,8004,5034,4,12.75,51.00,5.0,2.55,48.45,2022-06-16 11:45:33,204,fulfilled
9007,8005,5102,1,199.99,199.99,20.0,40.00,159.99,2022-06-17 08:20:15,205,fulfilled
9008,8006,5056,3,22.50,67.50,0.0,0.00,67.50,2022-06-17 13:50:44,201,pending
9009,8007,5078,2,67.99,135.98,12.0,16.32,119.66,2022-06-18 10:05:19,206,fulfilled
9010,8008,5091,1,39.99,39.99,5.0,2.00,37.99,2022-06-18 15:30:27,203,fulfilled
9011,8009,5043,5,18.99,94.95,10.0,9.50,85.45,2022-06-19 09:40:55,207,fulfilled
9012,8010,5115,2,156.00,312.00,25.0,78.00,234.00,2022-06-19 14:15:08,202,fulfilled
9013,8011,5029,1,33.50,33.50,0.0,0.00,33.50,2022-06-20 08:55:33,208,fulfilled
9014,8012,5072,3,54.99,164.97,15.0,24.75,140.22,2022-06-20 11:22:41,204,backordered
9015,8013,5088,4,28.75,115.00,8.0,9.20,105.80,2022-06-21 10:10:17,201,fulfilled
9016,8014,5051,1,95.00,95.00,10.0,9.50,85.50,2022-06-21 16:35:29,209,fulfilled
9017,8015,5106,2,42.99,85.98,5.0,4.30,81.68,2022-06-22 09:25:44,205,fulfilled
9018,8016,5037,6,14.25,85.50,0.0,0.00,85.50,2022-06-22 13:48:56,203,fulfilled
9019,8017,5093,1,178.50,178.50,20.0,35.70,142.80,2022-06-23 08:05:12,210,fulfilled
9020,8018,5064,3,31.99,95.97,10.0,9.60,86.37,2022-06-23 14:20:38,206,fulfilled
9021,8019,5019,2,48.00,96.00,12.0,11.52,84.48,2022-06-24 10:55:21,201,fulfilled
9022,8020,5081,4,23.50,94.00,5.0,4.70,89.30,2022-06-24 15:40:15,202,fulfilled
9023,8021,5108,1,134.99,134.99,18.0,24.30,110.69,2022-06-25 09:15:47,207,cancelled
9024,8022,5046,2,59.99,119.98,10.0,12.00,107.98,2022-06-25 12:30:59,204,fulfilled
9025,8023,5073,3,36.75,110.25,8.0,8.82,101.43,2022-06-26 08:45:23,208,fulfilled
9026,8024,5025,5,19.99,99.95,5.0,5.00,94.95,2022-06-26 14:10:36,203,fulfilled
9027,8025,5097,1,210.00,210.00,22.0,46.20,163.80,2022-06-27 10:20:48,205,fulfilled
9028,8026,5062,2,44.50,89.00,10.0,8.90,80.10,2022-06-27 16:05:14,209,fulfilled
9029,8027,5039,4,27.25,109.00,12.0,13.08,95.92,2022-06-28 09:50:27,201,fulfilled
9030,8028,5084,1,72.99,72.99,15.0,10.95,62.04,2022-06-28 13:25:41,206,pending
9031,8029,5118,3,88.00,264.00,20.0,52.80,211.20,2022-06-29 08:35:53,202,fulfilled
9032,8030,5055,2,35.99,71.98,5.0,3.60,68.38,2022-06-29 15:15:08,210,fulfilled
9033,8031,5028,1,51.50,51.50,0.0,0.00,51.50,2022-06-30 10:40:19,204,fulfilled
9034,8032,5091,4,39.99,159.96,10.0,16.00,143.96,2022-06-30 14:55:32,207,fulfilled
9035,8033,5070,2,64.75,129.50,18.0,23.31,106.19,2022-07-01 09:05:45,203,fulfilled
9036,8034,5103,1,145.00,145.00,25.0,36.25,108.75,2022-07-01 12:30:57,208,fulfilled
9037,8035,5042,3,29.99,89.97,8.0,7.20,82.77,2022-07-02 08:20:11,201,backordered
9038,8036,5086,5,16.50,82.50,5.0,4.13,78.37,2022-07-02 16:45:24,205,fulfilled
9039,8037,5059,2,78.99,157.98,12.0,18.96,139.02,2022-07-03 10:10:36,209,fulfilled
9040,8038,5113,1,192.50,192.50,20.0,38.50,154.00,2022-07-03 14:35:48,202,fulfilled
9041,8039,5031,4,24.75,99.00,10.0,9.90,89.10,2022-07-04 09:00:02,206,fulfilled
9042,8040,5076,2,56.00,112.00,15.0,16.80,95.20,2022-07-04 13:25:15,204,fulfilled
9043,8041,5098,3,41.99,125.97,5.0,6.30,119.67,2022-07-05 08:50:27,210,fulfilled
9044,8042,5052,1,83.50,83.50,10.0,8.35,75.15,2022-07-05 15:15:39,203,fulfilled
9045,8043,5021,6,13.99,83.94,0.0,0.00,83.94,2022-07-06 10:40:51,207,fulfilled
9046,8044,5095,2,69.99,139.98,18.0,25.20,114.78,2022-07-06 14:05:04,201,fulfilled
9047,8045,5067,1,124.99,124.99,22.0,27.50,97.49,2022-07-07 09:30:16,208,cancelled
9048,8046,5048,3,32.50,97.50,8.0,7.80,89.70,2022-07-07 12:55:28,205,fulfilled
9049,8047,5110,4,47.25,189.00,12.0,22.68,166.32,2022-07-08 08:20:41,202,fulfilled
9050,8048,5074,2,91.00,182.00,25.0,45.50,136.50,2022-07-08 16:45:53,209,fulfilled
9051,8049,5033,1,38.99,38.99,5.0,1.95,37.04,2022-07-09 10:10:06,204,fulfilled
9052,8050,5087,5,21.50,107.50,10.0,10.75,96.75,2022-07-09 13:35:18,206,fulfilled
9053,8051,5101,2,155.00,310.00,20.0,62.00,248.00,2022-07-10 09:00:31,203,fulfilled
9054,8052,5063,3,49.99,149.97,15.0,22.50,127.47,2022-07-10 15:25:43,210,fulfilled
9055,8053,5026,4,18.25,73.00,5.0,3.65,69.35,2022-07-11 08:50:56,201,pending
9056,8054,5094,1,126.50,126.50,18.0,22.77,103.73,2022-07-11 12:16:08,207,fulfilled
9057,8055,5058,2,53.75,107.50,10.0,10.75,96.75,2022-07-12 10:41:21,208,fulfilled
9058,8056,5117,3,87.99,263.97,12.0,31.68,232.29,2022-07-12 14:06:33,205,fulfilled
9059,8057,5045,1,89.99,89.99,8.0,7.20,82.79,2022-07-13 09:31:46,202,fulfilled
9060,8058,5079,4,34.50,138.00,5.0,6.90,131.10,2022-07-13 16:56:58,209,fulfilled
9061,8059,5036,2,62.00,124.00,20.0,24.80,99.20,2022-07-14 10:22:11,204,backordered
9062,8060,5105,5,28.99,144.95,10.0,14.50,130.45,2022-07-14 13:47:23,206,fulfilled
9063,8061,5071,1,175.00,175.00,25.0,43.75,131.25,2022-07-15 09:12:36,203,fulfilled
9064,8062,5049,3,43.25,129.75,15.0,19.46,110.29,2022-07-15 15:37:48,210,fulfilled
9065,8063,5092,2,71.50,143.00,12.0,17.16,125.84,2022-07-16 10:03:01,201,fulfilled
9066,8064,5022,4,17.99,71.96,5.0,3.60,68.36,2022-07-16 14:28:13,207,fulfilled
9067,8065,5107,1,198.00,198.00,22.0,43.56,154.44,2022-07-17 08:53:26,208,fulfilled
9068,8066,5060,2,55.99,111.98,10.0,11.20,100.78,2022-07-17 12:18:38,205,fulfilled
9069,8067,5085,3,30.75,92.25,8.0,7.38,84.87,2022-07-18 10:43:51,202,fulfilled
9070,8068,5114,5,46.00,230.00,18.0,41.40,188.60,2022-07-18 16:09:03,209,fulfilled
9071,8069,5041,1,84.99,84.99,10.0,8.50,76.49,2022-07-19 09:34:16,204,fulfilled
9072,8070,5096,2,112.50,225.00,20.0,45.00,180.00,2022-07-19 13:59:28,206,fulfilled
9073,8071,5053,4,25.50,102.00,5.0,5.10,96.90,2022-07-20 08:24:41,203,fulfilled
9074,8072,5077,3,68.75,206.25,15.0,30.94,175.31,2022-07-20 15:49:53,210,cancelled
9075,8073,5030,1,37.99,37.99,0.0,0.00,37.99,2022-07-21 10:15:06,201,fulfilled
9076,8074,5100,2,149.00,298.00,25.0,74.50,223.50,2022-07-21 14:40:18,207,fulfilled
9077,8075,5065,6,19.25,115.50,12.0,13.86,101.64,2022-07-22 09:05:31,208,fulfilled
9078,8076,5089,3,45.00,135.00,10.0,13.50,121.50,2022-07-22 12:30:43,205,fulfilled
9079,8077,5116,1,183.50,183.50,18.0,33.03,150.47,2022-07-23 10:55:56,202,fulfilled
9080,8078,5044,2,52.99,105.98,8.0,8.48,97.50,2022-07-23 16:21:08,209,fulfilled
9081,8079,5082,4,33.25,133.00,5.0,6.65,126.35,2022-07-24 09:46:21,204,fulfilled
9082,8080,5057,1,97.50,97.50,20.0,19.50,78.00,2022-07-24 13:11:33,206,pending
9083,8081,5104,3,61.99,185.97,15.0,27.90,158.07,2022-07-25 08:36:46,203,fulfilled
9084,8082,5027,5,22.50,112.50,10.0,11.25,101.25,2022-07-25 15:01:58,210,fulfilled
9085,8083,5090,2,76.00,152.00,12.0,18.24,133.76,2022-07-26 10:27:11,201,fulfilled
9086,8084,5069,1,141.00,141.00,22.0,31.02,109.98,2022-07-26 14:52:23,207,fulfilled
9087,8085,5047,4,29.75,119.00,5.0,5.95,113.05,2022-07-27 09:17:36,208,fulfilled
9088,8086,5111,2,167.50,335.00,25.0,83.75,251.25,2022-07-27 12:42:48,205,backordered
9089,8087,5038,3,40.50,121.50,10.0,12.15,109.35,2022-07-28 10:08:01,202,fulfilled
9090,8088,5083,1,58.99,58.99,8.0,4.72,54.27,2022-07-28 16:33:13,209,fulfilled
9091,8089,5099,5,24.00,120.00,18.0,21.60,98.40,2022-07-29 09:58:26,204,fulfilled
9092,8090,5054,2,88.50,177.00,15.0,26.55,150.45,2022-07-29 13:23:38,206,fulfilled
9093,8091,5120,4,35.99,143.96,12.0,17.28,126.68,2022-07-30 08:48:51,203,fulfilled
9094,8092,5066,1,103.00,103.00,20.0,20.60,82.40,2022-07-30 15:14:03,210,fulfilled
9095,8093,5032,3,26.50,79.50,5.0,3.98,75.52,2022-07-31 10:39:16,201,fulfilled
9096,8094,5109,2,154.99,309.98,10.0,31.00,278.98,2022-07-31 14:04:28,207,fulfilled
9097,8095,5075,1,73.25,73.25,8.0,5.86,67.39,2022-08-01 09:29:41,208,fulfilled
