system_size,timestep,walkers,blocks,steps,energy_error,acceptance_ratio,status
4,0.008,80,85,150,0.28,0.58,success
4,0.012,100,90,180,0.31,0.61,success
6,0.009,95,88,160,0.29,0.59,success
6,0.065,60,70,140,1.85,0.42,poor_convergence
8,0.010,120,100,180,0.31,0.58,success
8,0.011,110,95,170,0.33,0.60,success
8,0.075,80,65,150,2.30,0.38,poor_convergence
10,0.012,140,105,190,0.35,0.59,success
10,0.014,130,100,185,0.38,0.61,success
10,0.090,70,60,120,2.65,0.33,failed
12,0.013,160,110,200,0.39,0.60,success
12,0.015,150,108,195,0.41,0.62,success
12,0.050,90,75,140,1.72,0.44,poor_convergence
14,0.014,180,115,210,0.42,0.59,success
14,0.016,175,112,205,0.44,0.61,success
14,0.008,200,120,220,0.36,0.65,success
16,0.015,210,120,215,0.45,0.60,success
16,0.017,200,118,210,0.47,0.62,success
16,0.100,120,80,150,3.20,0.29,failed
16,0.055,140,90,160,1.95,0.41,poor_convergence
18,0.014,240,125,220,0.44,0.59,success
18,0.016,230,122,215,0.46,0.61,success
18,0.018,220,120,210,0.49,0.63,success
18,0.070,150,85,170,2.15,0.40,poor_convergence
20,0.014,260,130,225,0.45,0.58,success
20,0.016,250,128,220,0.47,0.60,success
20,0.017,245,125,218,0.48,0.62,success
20,0.080,170,90,180,2.45,0.37,poor_convergence
20,0.010,280,135,230,0.38,0.66,success
22,0.014,280,135,230,0.46,0.59,success
22,0.015,275,132,225,0.44,0.61,success
22,0.017,270,130,220,0.48,0.62,success
22,0.016,265,128,218,0.47,0.60,success
22,0.060,180,95,185,2.05,0.43,poor_convergence
22,0.095,140,75,160,2.80,0.32,failed
24,0.015,320,150,200,0.42,0.62,success
24,0.014,310,148,198,0.40,0.60,success
24,0.016,315,145,195,0.44,0.63,success
24,0.015,305,152,202,0.43,0.61,success
24,0.017,310,147,197,0.46,0.64,success
24,0.013,325,155,205,0.39,0.59,success
24,0.016,300,143,193,0.45,0.62,success
24,0.080,100,80,150,2.10,0.35,poor_convergence
24,0.090,120,70,140,2.55,0.31,failed
24,0.050,200,100,170,1.68,0.45,poor_convergence
24,0.012,330,158,208,0.38,0.58,success
24,0.018,295,140,190,0.49,0.65,success
24,0.006,340,165,215,0.35,0.68,success
24,0.035,250,110,175,1.15,0.48,poor_convergence
24,0.100,90,65,130,3.45,0.28,failed
26,0.015,340,155,210,0.44,0.61,success
26,0.016,335,152,208,0.46,0.62,success
26,0.017,330,150,205,0.48,0.63,success
26,0.014,345,158,212,0.42,0.60,success
26,0.070,210,95,180,2.20,0.39,poor_convergence
26,0.085,180,85,165,2.60,0.34,failed
28,0.016,360,160,215,0.47,0.61,success
28,0.017,355,158,213,0.48,0.62,success
28,0.015,365,162,218,0.45,0.60,success
28,0.018,350,156,210,0.49,0.63,success
28,0.075,220,100,185,2.35,0.38,poor_convergence
30,0.017,380,170,225,0.48,0.61,success
30,0.018,375,168,222,0.49,0.62,success
30,0.019,370,165,220,0.51,0.64,success
30,0.016,385,172,228,0.46,0.59,success
30,0.065,240,110,190,2.15,0.41,poor_convergence
32,0.018,400,180,235,0.49,0.61,success
32,0.019,395,178,232,0.50,0.62,success
