pid,datname,usename,application_name,client_addr,state,query_start,state_change,wait_event_type,wait_event,query_snippet
1234,production,app_user,web_app,10.0.1.45,active,2024-01-15 14:30:12,2024-01-15 14:30:12,IO,DataFileRead,SELECT * FROM orders WHERE user_id = 12345
1235,production,app_user,web_app,10.0.1.46,idle,2024-01-15 14:29:45,2024-01-15 14:30:10,Client,ClientRead,<IDLE>
1236,production,app_user,web_app,10.0.1.47,idle,2024-01-15 14:28:33,2024-01-15 14:30:05,Client,ClientRead,<IDLE>
1237,production,app_user,web_app,10.0.1.48,active,2024-01-15 14:30:15,2024-01-15 14:30:15,,,UPDATE users SET last_login = NOW() WHERE id = 9876
1239,production,app_user,web_app,10.0.1.50,idle,2024-01-15 14:27:22,2024-01-15 14:29:58,Client,ClientRead,<IDLE>
1240,production,app_user,web_app,10.0.1.51,idle,2024-01-15 14:28:11,2024-01-15 14:30:03,Client,ClientRead,<IDLE>
1241,production,readonly_user,web_app,10.0.1.52,active,2024-01-15 14:30:14,2024-01-15 14:30:14,IO,DataFileRead,SELECT product_name FROM products WHERE category = 'electronics'
1242,production,app_user,web_app,10.0.1.53,idle,2024-01-15 14:29:01,2024-01-15 14:30:11,Client,ClientRead,<IDLE>
1243,production,app_user,web_app,10.0.1.54,idle in transaction,2024-01-15 14:29:40,2024-01-15 14:29:50,Client,ClientRead,UPDATE inventory SET quantity = quantity - 1 WHERE product_id = 333
1244,production,app_user,api_service,10.0.2.10,active,2024-01-15 14:30:13,2024-01-15 14:30:13,,,SELECT api_key FROM users WHERE username = 'john_doe'
1245,production,app_user,api_service,10.0.2.11,idle,2024-01-15 14:28:45,2024-01-15 14:30:08,Client,ClientRead,<IDLE>
1246,production,app_user,api_service,10.0.2.12,idle,2024-01-15 14:27:55,2024-01-15 14:29:44,Client,ClientRead,<IDLE>
1248,production,app_user,web_app,10.0.1.56,idle,2024-01-15 14:26:30,2024-01-15 14:29:12,Client,ClientRead,<IDLE>
1249,production,app_user,web_app,10.0.1.57,active,2024-01-15 14:30:16,2024-01-15 14:30:16,IO,DataFileRead,SELECT COUNT(*) FROM page_views WHERE date = '2024-01-15'
1250,production,app_user,web_app,10.0.1.58,idle,2024-01-15 14:29:10,2024-01-15 14:30:02,Client,ClientRead,<IDLE>
1251,production,readonly_user,web_app,10.0.1.59,idle,2024-01-15 14:28:05,2024-01-15 14:29:55,Client,ClientRead,<IDLE>
1252,production,app_user,web_app,10.0.1.60,idle in transaction,2024-01-15 14:29:30,2024-01-15 14:29:45,Client,ClientRead,DELETE FROM sessions WHERE expired_at < NOW()
1253,production,app_user,web_app,10.0.1.61,idle,2024-01-15 14:27:48,2024-01-15 14:30:01,Client,ClientRead,<IDLE>
1254,production,analytics_user,background_worker,10.0.3.5,active,2024-01-15 14:30:10,2024-01-15 14:30:10,IO,DataFileRead,SELECT SUM(revenue) FROM orders WHERE created_at > '2024-01-14'
1255,production,app_user,web_app,10.0.1.62,idle,2024-01-15 14:28:20,2024-01-15 14:29:50,Client,ClientRead,<IDLE>
1256,production,app_user,web_app,10.0.1.63,idle in transaction (aborted),2024-01-15 14:28:55,2024-01-15 14:29:25,Client,ClientRead,UPDATE cart SET updated_at = NOW() WHERE user_id = 777
1258,production,app_user,web_app,10.0.1.64,idle,2024-01-15 14:26:12,2024-01-15 14:28:33,Client,ClientRead,<IDLE>
1259,production,readonly_user,web_app,10.0.1.65,idle,2024-01-15 14:29:05,2024-01-15 14:30:07,Client,ClientRead,<IDLE>
1260,production,app_user,web_app,10.0.1.66,active,2024-01-15 14:30:17,2024-01-15 14:30:17,,,SELECT * FROM user_preferences WHERE user_id = 8888
1261,production,app_user,web_app,10.0.1.67,idle,2024-01-15 14:27:39,2024-01-15 14:29:41,Client,ClientRead,<IDLE>
1263,production,app_user,web_app,10.0.1.69,idle,2024-01-15 14:28:42,2024-01-15 14:30:09,Client,ClientRead,<IDLE>
1264,production_readonly,readonly_user,web_app,10.0.1.70,active,2024-01-15 14:30:11,2024-01-15 14:30:11,IO,DataFileRead,SELECT * FROM reports WHERE status = 'completed'
1265,production,app_user,web_app,10.0.1.71,idle,2024-01-15 14:25:55,2024-01-15 14:28:22,Client,ClientRead,<IDLE>
1266,production,app_user,web_app,10.0.1.72,idle in transaction (aborted),2024-01-15 14:29:05,2024-01-15 14:29:40,Client,ClientRead,UPDATE payment_methods SET is_default = true WHERE id = 111
1267,production,app_user,api_service,10.0.2.14,idle,2024-01-15 14:28:35,2024-01-15 14:30:04,Client,ClientRead,<IDLE>
1268,production,app_user,web_app,10.0.1.73,active,2024-01-15 14:30:16,2024-01-15 14:30:16,IO,DataFileRead,SELECT email FROM users WHERE notification_enabled = true
1269,production,app_user,web_app,10.0.1.74,idle,2024-01-15 14:29:22,2024-01-15 14:30:06,Client,ClientRead,<IDLE>
1270,production,app_user,web_app,10.0.1.75,idle,2024-01-15 14:27:11,2024-01-15 14:29:33,Client,ClientRead,<IDLE>
1272,production,analytics_user,background_worker,10.0.3.6,active,2024-01-15 14:30:12,2024-01-15 14:30:12,,,SELECT AVG(session_duration) FROM analytics WHERE date = CURRENT_DATE
1273,production,app_user,web_app,10.0.1.77,idle,2024-01-15 14:28:18,2024-01-15 14:29:52,Client,ClientRead,<IDLE>
