date,product_id,product_name,quantity,unit_price,region
2024-01-05,P001,Laptop Pro,5,1299.99,North
2024-01-08,P002,Wireless Mouse,15,29.99,South
2024-01-10,P003,USB-C Cable,25,12.50,East
2024-01-12,P004,Monitor 27inch,8,449.99,West
2024-01-15,P005,Keyboard Mechanical,12,89.99,Central
2024-01-18,P001,Laptop Pro,3,1299.99,North
2024-01-20,P006,Webcam HD,20,79.99,South
2024-01-22,P007,Docking Station,6,199.99,East
2024-01-25,P002,Wireless Mouse,,-5,West
2024-01-28,P008,Headset Wireless,10,129.99,North
2024-01-30,P003,USB-C Cable,30,12.50,South
2024-02-01,P009,External SSD 1TB,7,159.99,Central
2024-02-03,P004,Monitor 27inch,4,449.99,North
2024-02-05,P010,Mouse Pad XL,40,19.99,East
2024-02-08,P001,Laptop Pro,2,1299.99,South
2024-02-10,P005,Keyboard Mechanical,8,89.99,West
2024-02-12,P006,Webcam HD,15,79.99,Central
2024-02-15,P011,USB Hub 7-Port,18,34.99,North
2024-02-18,P007,Docking Station,5,199.99,East
2024-02-20,P002,Wireless Mouse,22,29.99,South
2024-02-22,P008,Headset Wireless,9,129.99,West
2024-02-25,P003,USB-C Cable,,12.50,Central
2024-02-28,P012,Laptop Stand,14,45.99,North
2024-03-01,P009,External SSD 1TB,6,159.99,South
2024-03-03,P004,Monitor 27inch,3,449.99,East
2024-03-05,P010,Mouse Pad XL,35,19.99,West
2024-03-08,P001,Laptop Pro,4,1299.99,Central
2024-03-10,P013,Wireless Charger,25,39.99,North
2024-03-12,P005,Keyboard Mechanical,10,89.99,South
2024-03-15,P006,Webcam HD,12,79.99,East
2024-03-18,P011,USB Hub 7-Port,16,34.99,West
2024-03-20,P007,Docking Station,7,199.99,Central
2024-03-22,P002,Wireless Mouse,20,29.99,North
2024-03-25,P014,Cable Organizer,50,14.99,South
2024-03-28,P008,Headset Wireless,11,129.99,East
2024-01-07,P003,USB-C Cable,28,12.50,West
2024-01-09,P012,Laptop Stand,13,45.99,Central
2024-01-11,P009,External SSD 1TB,8,159.99,North
2024-01-14,P004,Monitor 27inch,5,449.99,South
2024-01-16,P010,Mouse Pad XL,45,19.99,East
2024-01-19,P001,Laptop Pro,6,1299.99,West
2024-01-21,P013,Wireless Charger,30,39.99,Central
2024-01-23,P005,Keyboard Mechanical,9,89.99,North
2024-01-26,P006,Webcam HD,18,TBD,South
2024-01-29,P011,USB Hub 7-Port,14,34.99,East
2024-02-02,P007,Docking Station,4,199.99,West
2024-02-04,P002,Wireless Mouse,19,29.99,Central
2024-02-06,P014,Cable Organizer,48,14.99,North
2024-02-09,P008,Headset Wireless,13,129.99,South
2024-02-11,P003,USB-C Cable,26,12.50,East
2024-02-14,P012,Laptop Stand,11,45.99,West
2024-02-16,P009,External SSD 1TB,9,159.99,Central
2024-02-19,P004,Monitor 27inch,6,449.99,North
2024-02-21,P010,Mouse Pad XL,38,19.99,South
2024-02-23,P001,Laptop Pro,3,1299.99,East
2024-02-26,P013,Wireless Charger,27,39.99,West
2024-03-02,P005,Keyboard Mechanical,11,89.99,Central
2024-03-04,P006,Webcam HD,16,79.99,North
2024-03-06,P011,USB Hub 7-Port,15,34.99,South
2024-03-09,P007,Docking Station,8,199.99,East
2024-03-11,P002,Wireless Mouse,21,29.99,West
2024-03-14,P014,Cable Organizer,42,14.99,Central
2024-03-16,P008,Headset Wireless,12,129.99,North
2024-03-19,P003,USB-C Cable,32,12.50,South
2024-03-21,P012,Laptop Stand,10,45.99,East
2024-03-24,P009,External SSD 1TB,5,159.99,West
2024-03-27,P004,Monitor 27inch,7,449.99,Central
2024-03-29,P010,Mouse Pad XL,40,19.99,North
2024-01-06,P001,Laptop Pro,4,1299.99,South
2024-01-13,P013,Wireless Charger,28,39.99,East
2024-01-17,P005,Keyboard Mechanical,N/A,89.99,West
2024-01-24,P006,Webcam HD,14,79.99,Central
2024-01-27,P011,USB Hub 7-Port,17,34.99,North
2024-01-31,P007,Docking Station,6,199.99,South
2024-02-07,P002,Wireless Mouse,23,29.99,East
2024-02-13,P014,Cable Organizer,46,14.99,West
2024-02-24,P003,USB-C Cable,29,12.50,North
2024-02-27,P012,Laptop Stand,12,45.99,South
2024-03-07,P009,External SSD 1TB,8,159.99,East
2024-03-13,P004,Monitor 27inch,5,449.99,West
2024-03-17,P010,Mouse Pad XL,37,19.99,Central
2024-03-23,P001,Laptop Pro,2,1299.99,North
2024-03-26,P013,Wireless Charger,26,39.99,South
2024-03-30,P005,Keyboard Mechanical,9,89.99,East
2024-01-04,P006,Webcam HD,19,79.99,West
2024-01-11,P011,USB Hub 7-Port,13,34.99,Central
2024-01-16,P007,Docking Station,5,199.99,North
2024-01-22,P002,Wireless Mouse,24,29.99,South
2024-01-28,P014,Cable Organizer,44,14.99,East
2024-02-03,P008,Headset Wireless,14,0,West
2024-02-09,P003,USB-C Cable,27,12.50,Central
2024-02-15,P012,Laptop Stand,15,45.99,North
2024-02-20,P009,External SSD 1TB,7,159.99,South
2024-02-25,P004,Monitor 27inch,4,449.99,East
2024-03-01,P010,Mouse Pad XL,39,19.99,West
2024-03-08,P001,Laptop Pro,5,1299.99,Central
