PROT_A,PROT_B,PROT_C,PROT_D,PROT_E
1,1,1,0,1
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
1,0,1,0,0
0,0,0,1,1
1,1,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,1,0,0
1,1,0,0,1
0,0,0,1,0
1,0,1,0,1
1,1,1,0,0
0,1,0,1,1
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,0,0,1,0
1,1,1,0,1
1,0,1,0,0
0,0,0,1,1
1,1,1,0,1
0,1,0,0,0
1,1,0,0,1
0,0,1,1,0
1,0,1,0,1
0,0,0,1,0
1,1,1,0,1
1,1,1,0,0
0,0,0,1,1
1,1,1,0,1
0,1,1,1,0
1,1,0,0,1
0,0,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,0
1,1,1,0,1
0,0,0,1,1
1,1,1,0,0
1,0,1,0,1
0,0,0,1,0
1,1,0,0,1
0,1,1,1,0
1,1,1,0,1
0,0,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,1,0,0
1,1,0,0,1
0,0,0,1,1
1,1,1,0,1
0,1,0,1,0
1,0,1,0,0
1,1,1,0,1
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,0,0,1,0
1,1,1,0,1
0,1,0,1,0
1,1,0,0,1
0,0,1,1,1
1,0,1,0,0
1,1,1,0,1
0,0,0,1,0
1,1,1,0,1
0,1,1,0,0
1,1,0,0,1
0,0,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,0
1,1,1,0,1
0,0,1,0,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,0
1,0,1,0,1
0,0,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,1,0,0
1,1,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,1,0,0
1,1,0,0,1
0,0,0,1,0
1,1,1,0,1
1,0,1,0,1
0,0,0,1,1
1,1,1,0,0
0,1,1,1,0
1,1,0,0,1
0,0,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,0
1,1,1,0,1
0,0,1,0,1
1,1,0,0,0
0,1,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,1,0,0
1,1,1,0,1
0,1,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,0,0,1,0
1,1,1,0,1
0,1,1,0,0
1,1,0,0,1
0,0,0,1,1
1,0,1,0,1
1,1,1,0,0
0,0,1,1,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,1,0,0
0,0,1,0,0
1,1,0,0,1
0,1,0,1,1
1,0,1,0,0
1,1,1,0,1
0,0,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,1,0,0
1,1,1,0,1
0,1,1,1,0
1,1,0,0,1
0,0,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,0
1,0,1,0,1
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,1,0,0
0,0,1,0,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,1,0,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,0,0,1,1
1,0,1,0,0
1,1,1,0,1
0,1,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
1,0,1,0,1
0,0,0,1,0
1,1,1,0,1
0,1,1,0,1
1,1,0,0,0
0,0,0,1,1
1,0,1,0,1
1,1,1,0,1
0,0,1,1,0
1,1,0,0,1
0,1,0,1,1
1,1,1,0,1
1,0,1,0,0
0,0,0,1,0
1,1,0,0,1
0,0,1,1,0
1,1,1,0,1
0,1,0,1,0
1,0,1,0,1
1,1,1,0,1
0,0,0,1,1
1,1,1,0,0
0,0,1,0,0
1,1,0,0,1
0,1,0,1,1
1,0,1,0,0
1,1,1,0,1
