gene,condition_A,condition_B,condition_C,condition_D,condition_E
GENE_001,12.3,8.7,15.2,9.4,11.8
GENE_002,18.5,14.2,7.9,20.1,13.6
GENE_003,6.8,11.4,19.3,8.2,16.7
GENE_004,22.1,9.8,12.5,17.3,6.4
GENE_005,10.2,16.9,8.1,13.7,19.5
GENE_006,15.7,7.3,21.4,10.9,14.2
GENE_007,9.1,18.6,11.8,15.4,8.9
GENE_008,19.8,12.4,6.7,22.3,10.5
GENE_009,7.5,20.2,14.9,9.6,17.1
GENE_010,14.9,10.1,18.7,12.8,7.2
GENE_011,11.6,15.8,9.3,19.2,13.4
GENE_012,20.4,8.9,16.1,7.8,21.6
GENE_013,8.3,13.5,20.8,14.1,9.7
GENE_014,16.2,11.7,7.4,18.9,15.3
GENE_015,14.2,8.7,22.1,5.4,11.9
GENE_016,9.8,19.4,13.2,16.7,8.1
GENE_017,21.7,10.3,8.6,14.5,19.8
GENE_018,13.1,17.9,11.4,9.2,22.4
GENE_019,7.9,14.6,19.1,21.3,10.8
GENE_020,17.4,9.5,15.8,11.6,18.2
GENE_021,10.7,21.1,8.9,16.4,12.3
GENE_022,19.3,13.8,17.2,8.5,14.9
GENE_023,12.9,7.1,20.5,15.7,9.4
GENE_024,6.2,16.3,10.9,19.6,23.1
GENE_025,15.5,11.2,13.7,8.8,17.6
