gene,condition_A,condition_B,condition_C,condition_D,condition_E,condition_F
GENE_001,5.2,7.8,6.1,4.9,8.3,5.7
GENE_002,12.4,11.8,13.2,10.9,12.7,11.5
GENE_003,3.1,4.2,5.8,3.9,4.7,5.1
GENE_004,2.0,4.0,6.0,8.0,10.0,12.0
GENE_005,9.7,8.4,7.2,9.1,8.8,7.9
GENE_006,15.3,14.7,16.2,15.8,14.1,15.6
GENE_007,6.8,7.2,6.5,7.9,6.1,7.4
GENE_008,4.5,5.1,4.8,5.3,4.2,5.7
GENE_009,11.2,10.8,12.5,11.7,10.3,12.1
GENE_010,8.9,9.3,8.1,9.7,8.5,9.1
GENE_011,1.0,2.0,3.0,4.0,5.0,6.0
GENE_012,7.3,6.9,7.8,7.1,6.5,7.6
GENE_013,13.5,12.9,14.1,13.2,12.6,13.8
GENE_014,3.7,4.1,3.9,4.5,3.3,4.2
GENE_015,10.1,9.8,11.3,10.6,9.2,10.9
GENE_016,5.8,6.2,5.5,6.7,5.1,6.4
GENE_017,14.2,13.8,15.1,14.5,13.3,14.9
GENE_018,2.5,5.0,7.5,10.0,12.5,15.0
