gene,condition_A,condition_B,condition_C,condition_D,condition_E
GENE_001,2.5,3.8,1.2,5.6,4.1
GENE_002,8.3,2.1,6.7,3.4,9.2
GENE_003,1.8,7.5,4.3,2.9,6.1
GENE_004,5.2,1.6,8.9,4.7,2.3
GENE_005,3.9,6.4,2.8,7.1,5.5
GENE_006,7.6,4.2,9.3,1.5,3.7
GENE_007,2.1,5.9,3.6,8.4,6.8
GENE_008,6.5,3.3,7.2,2.6,4.9
GENE_009,4.7,8.1,1.9,6.3,3.2
GENE_010,9.1,2.8,5.4,4.1,7.6
GENE_011,3.4,6.7,8.5,1.8,5.3
GENE_012,7.8,1.4,4.6,9.2,2.7
GENE_013,2.3,5.1,6.9,3.5,8.6
GENE_014,5.9,7.3,2.4,6.8,4.5
GENE_015,8.7,3.6,5.8,2.2,7.4
GENE_016,1.5,6.2,9.1,5.7,3.9
GENE_017,4.2,8.9,3.1,7.5,1.7
GENE_018,6.8,2.7,7.6,4.3,9.4
GENE_019,3.7,5.5,1.3,8.2,6.6
GENE_020,9.5,4.8,6.1,2.9,5.2
