gene,condition_A,condition_B,condition_C,condition_D,condition_E
GENE_001,5.2,7.8,6.3,4.9,8.1
GENE_002,3.1,4.5,2.9,5.6,3.8
GENE_003,4.2,4.2,4.2,4.2,4.2
GENE_004,9.7,8.3,7.5,6.9,8.8
GENE_005,2.4,3.1,2.8,3.5,2.9
GENE_006,6.8,5.9,7.2,6.4,7.8
GENE_007,4.2,4.2,4.2,4.2,4.2
GENE_008,8.5,9.2,7.9,8.7,9.4
GENE_009,1.3,2.7,1.9,2.4,1.8
GENE_010,7.6,6.8,7.9,8.2,7.3
GENE_011,5.5,4.9,6.1,5.7,6.3
GENE_012,3.3,3.3,3.3,3.3,3.3
GENE_013,4.7,5.8,4.2,6.3,5.1
GENE_014,8.9,7.4,8.6,9.1,7.8
GENE_015,2.8,3.6,2.5,4.1,3.2
GENE_016,6.2,7.5,6.9,7.1,8.3
GENE_017,9.1,8.7,9.5,8.9,9.3
GENE_018,1.9,2.3,1.7,2.6,2.1
