gene,condition_A,condition_B,condition_C,condition_D,condition_E,condition_F
GENE_001,3.2,5.7,2.1,8.4,4.6,6.9
GENE_002,7.8,1.4,9.2,3.5,6.1,2.8
GENE_003,4.5,8.9,1.7,5.3,9.6,3.4
GENE_004,2.9,6.3,7.5,1.8,4.2,8.7
GENE_005,9.1,3.6,4.8,7.2,2.5,5.9
GENE_006,1.6,7.4,5.2,9.3,3.8,6.5
GENE_007,6.7,2.3,8.6,4.1,7.9,1.5
GENE_008,5.4,9.8,3.9,6.8,1.2,4.7
GENE_009,8.3,4.5,6.4,2.7,5.8,9.4
GENE_010,3.7,1.9,7.8,5.6,8.2,2.4
GENE_011,9.5,5.1,2.6,8.9,4.3,7.1
GENE_012,4.8,7.6,9.7,3.2,6.4,1.9
GENE_013,2.2,8.5,4.9,7.7,1.6,5.3
GENE_014,7.3,3.8,6.1,1.4,9.8,4.6
