job_a_id,job_b_id,reason
job_00142,job_00015,Long-waiting job (72+ hours) should outrank newer high-QOS submission
job_00203,job_00187,Small job should get priority to fill idle cores while large job waits
job_00056,job_00231,User with excellent fairshare should rank above user who exceeded allocation
job_00319,job_00064,Age and jobsize factors together should outweigh QOS difference
job_00078,job_00412,Small job with good age should rank above recent large job
job_00334,job_00291,High fairshare user's job should not wait behind poor fairshare user
job_00467,job_00045,Very old job should overcome moderate QOS disadvantage
job_00088,job_00572,Small job with decent fairshare should rank above large low-fairshare job
job_00511,job_00153,Combined age and fairshare should outweigh QOS advantage
job_00099,job_00626,Balanced factors should beat single high factor (QOS only)
